"Name","Avg_Rview","Reviews","Category","Address1","Address 2","Phone","Website"
"","","","","","","",""
"","","","","","","",""
"CARE Hospitals, Visakhapatnam | Best Hospital in Vizag","4.6","(5,344)","Hospital","·","AS Raja Complex, 10-50-11/5, Waltair Main Rd","040 6810 6589","https://www.carehospitals.com/hospital-detail/care-super-specialty-hospital-ramnagar"
"Andhra Hospitals - Bhavanipuram","4.5","(1,387)","Private hospital","·","ZP High School, Moulangar Masjid Rd Opp","0866 241 5757","https://andhrahospitals.org/Bhavanipuram"
"ANDHRA HOSPITALS - VISAKHAPATNAM","4.8","(620)","Hospital","·","15-14-1/1, near Collector Office","089127 24777","http://www.andhrahospitals.org/"
"Help Hospitals | Multi speciality Hospital In Vijayawada, Andhra Pradesh","4.2","(1,037)","Hospital","·","MG Rd, behind Victoria Museum","0866 661 5552","https://helphospitals.com/"
"Anil Neerukonda Hospital","4.7","(2,582)","Hospital","·","Anil Neerukonda Hospital Opposite: Three polamamba temple,Sangivalasa,Tagurapuvalasa","073370 81111","http://anilneerukondahospital.com/"
"Tirumala Vijaya Hospital","4.8","(956)","General hospital","·","MVP Main Rd","089125 78887",""
"Medicover Hospitals | Best Multi-speciality Hospital in Nellore","4.9","(16,600)","Hospital","·","NH-5, Chinthareddypalem Cross road","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/nellore/?utm_source=google&utm_medium=organic&utm_campaign=gmb-nellore"
"Sanjivi Hospitals | Best Hospital In Guntur","4.9","(2,304)","Hospital","·","4th Ln, Near Harihar Cinemas","086808 71234","https://sanjivihospitals.com/"
"Aster Ramesh Hospitals","4.8","(21,278)","General hospital","·","Collector Office Rd, Beside Hindu College Grounds","0863 237 7777","https://www.asterhospitals.in/aster-ramesh-hospitals"
"Andhra Hospitals","4.6","(2,223)","Private hospital","·","C.V.R. Complex, D.NO. 29-14-61, Sheshadri Sastry St","0866 257 4757","http://www.andhrahospitals.org/"
"Life Hospital","4.3","(535)","Specialized hospital","·","Old Club Rd","0863 224 4277","https://www.lifehospitals.in/"
"Unity Hospitals | Multi Speciality Hospital in Vijayawada","4.8","(1,470)","Hospital","·","29-5-8, Cherukupalli vari St","0866 663 3108","https://unityhospitals.in/"
"Andhra Prime Hospitals | Best Multi-speciality Hospital in Guntur","4.2","(153)","Hospital","·","Central plaza, Naaz Center Rd","079954 67346","http://primehospitalsguntur.com/"
"Kamineni Hospitals, Vijayawada","4.7","(4,280)","Specialized hospital","·","GP23+933, 100 Feet New Autonagar Road, Main, Road","0866 246 3333","https://kaminenihospitals.com/vijayawada"
"KIMS - Saveera Hospital","4.9","(19,605)","General hospital","·","1-1348, Srinagar Colony Extension, opposite to Sakshi Office","085542 51234","https://www.kimshospitals.com/anantapur/?utm_source=gmaps&utm_medium=gmaps&utm_campaign=saveera"
"Andhra Hospital Heart And Brain Institute","4.6","(2,327)","Hospital","·","tagore chamber,, 29, Nakkala Rd","0866 244 2333","http://www.andhrahospitals.org/"
"AIIMS Hospital","4.1","(580)","Government hospital","·","CHWP+3GQ","094930 65718","http://aiimsmangalagiri.edu.in/"
