"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","FQ2IWe src","ah5Ghc","eXlrNe","e4rVHe"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/MAHALAKSHMI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb41caea6fb9c5f:0x8c79d182b435a371!8m2!3d14.9080605!4d78.0129481!16s%2Fg%2F11ddx4t40_!19sChIJX5z7pq4ctDsRcaM1tILReYw?authuser=0&hl=en&rclk=1","MAHALAKSHMI LADIES EMPORIUM","4.6","(14)","Clothing Accessories Store","·","Shop-No-35, J C N R M Complex, NTR Circle","Open","⋅ Closes 6 pm","·","099594 24561","https://lh5.googleusercontent.com/p/AF1QipPiCJxNZOHQ6Qs-fxrjz0JI8Y3eEgwRyRPLZDg5=w204-h92-k-no","In-store shopping","",""
"https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb14adb24a991df:0xe26c131c253bb41!8m2!3d14.6818741!4d77.5973904!16s%2Fg%2F11c4p_zfgc!19sChIJ35GpJNtKsTsRQbtTwjHBJg4?authuser=0&hl=en&rclk=1","LADIES EMPORIUM","4.0","(4)","Wedding store","","·","Open","⋅ Closes 8:30 pm","","088865 99945","https://lh5.googleusercontent.com/p/AF1QipOcIn07mxNfSjuSLE_T3TFhs9bcgXOUgyARtUzy=w122-h92-k-no","In-store pick-up","",""
"https://www.google.com/maps/place/Archana+Ladies+Emporium/data=!4m7!3m6!1s0x3a4ac7b506eb2529:0x2376218de127a06f!8m2!3d15.9026437!4d79.5762565!16s%2Fg%2F11bbrfzj_2!19sChIJKSXrBrXHSjoRb6An4Y0hdiM?authuser=0&hl=en&rclk=1","Archana Ladies Emporium","4.3","(27)","Shopping mall","·","WH3G+3G2, Kurichedu Road, Vinukonda - Darsi Rd","Open","⋅ Closes 9:30 pm","","","https://lh5.googleusercontent.com/p/AF1QipMADwOyocAslT05WmTz-jSWUX2T0swbNubj6QOp=w80-h106-k-no","""Super handstock, ossum online business""","",""
"https://www.google.com/maps/place/SRI+VENKATESWARA+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a750070a3c7db:0x6103b0da601cb773!8m2!3d16.3088125!4d80.4391094!16s%2Fg%2F11ld53t1ch!19sChIJ28ejcAB1SjoRc7ccYNqwA2E?authuser=0&hl=en&rclk=1","SRI VENKATESWARA LADIES EMPORIUM","4.8","(8)","Women's clothing store","·","8C5Q+GJH, opposite 2nd Lane, near శ్రీ వేంకటేశ్వర స్వామి దేవస్థానం","Open","⋅ Closes 2 pm ⋅ Reopens 3:30 pm","","","https://lh5.googleusercontent.com/p/AF1QipMI7olPRBVAN9wGfK7oeqsXirLNfKiUgn2f3d1S=w80-h142-k-no","Delivery","",""
"https://www.google.com/maps/place/Arshes+Fashions+And+Ladies+Emporium/data=!4m7!3m6!1s0x3a358b34647e7de5:0x8e9b52932b0c11a9!8m2!3d16.327639!4d80.437878!16s%2Fg%2F11tg8tgf_8!19sChIJ5X1-ZDSLNToRqREMK5NSm44?authuser=0&hl=en&rclk=1","Arshes Fashions And Ladies Emporium","5.0","(112)","Boutique","·","Shop No, 2Balaji Nagar, Amaravathi Rd","Open","⋅ Closes 9 pm","·","098665 96053","https://lh5.googleusercontent.com/p/AF1QipMiR43aZIzsA51zIUnKxyZHdHbLTBAddZxS9tWu=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Alma+ladies+emporium/data=!4m7!3m6!1s0x3bb6c7003cc0016d:0x3f57455d75ff5cb0!8m2!3d14.9465714!4d77.4959895!16s%2Fg%2F11x1vqtwc9!19sChIJbQHAPADHtjsRsFz_dV1FVz8?authuser=0&hl=en&rclk=1","Alma ladies emporium","4.0","(1)","Women's clothing store","·","WFWW+J9H","Open 24 hours","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-fFdnJfRmRV1WB2DHI8ooA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=110.56937&pitch=0&thumbfov=100","","",""
"https://www.google.com/maps/place/MAHIMA+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a35a9d765ce50af:0x584dbfd6e598991a!8m2!3d16.8966861!4d80.1066218!16s%2Fg%2F11pyc3flsl!19sChIJr1DOZdepNToRGpmY5da_TVg?authuser=0&hl=en&rclk=1","MAHIMA LADIES EMPORIUM","4.2","(5)","General store","·","1-21","Open","⋅ Closes 9 pm","·","093923 06733","https://lh5.googleusercontent.com/p/AF1QipMUqagdCDXoJ50rEz9n4OCtA_kjkGalcQXjVis=w122-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Harika+Ladies+Emporium/data=!4m7!3m6!1s0x3a4a75b4cdf2057d:0x823680a5bf9010e9!8m2!3d16.3002549!4d80.4474464!16s%2Fg%2F11pts7_h38!19sChIJfQXyzbR1SjoR6RCQv6WANoI?authuser=0&hl=en&rclk=1","Harika Ladies Emporium","5.0","(5)","Novelty store","·","opposite Police Station","Open","⋅ Closes 9 pm","","","https://lh5.googleusercontent.com/p/AF1QipPgg2ueshtPwY6QyYmAsGO1OZATk3CDeUuX-1M4=w80-h106-k-no","In-store shopping","",""
