Name,Avg_review,Reviews,Category,Address,Phone
"Thirumala Lodge &Hotel kurnool Highway, MYDUKUR",3.6,399,Lodge,"PPQG+V4W, bybass cross",097014 91444
Sri Ramadootha Athidi Nivas lodge,4.9,198,Lodge,,094906 49955
BBN Reddy Deluxe Lodge,4.8,233,Lodge,"Veeranarayanpuram Street, near Veerabrahmendra Swamy Temple",091600 97027
SS Residency Super Deluxe Lodge,3.9,247,Lodge,,099897 69878
"Annapurna Lodge, Hotel",4.3,673,3-star hotel,,0863 222 2979
Vasu fortune inn LODGE ( KVR),4,127,Lodge,JQRG+MWH,
AT International Lodge,3.8,240,1-star hotel,,088866 26298
IRC lodge,4.2,475,Lodge,SH 54,099899 12077
Sri Venkateswara Lodge,3.8,12,Lodge,,
Mamatha Lodge,4.2,345,Lodge,,
Mahendra Lodge,3.5,151,Lodge,,0863 222 1482
ABN RESIDENCY LODGE {Ac and Non Ac Rooms},4.5,34,Lodge,,095052 26999
Vamsi Grand,4.6,122,Lodge,,083097 64255
Manohar Lodge,3.6,124,Lodge,,0863 226 1711
Padma Sri Lodge,3,43,Lodge,"# 13-8-144, Opp.R.T.C.Bus Stand",0863 221 3857
SRI SAI GRAND LODGE,3.9,100,Hotel,,090032 55399
Hotel Sudha Lodge,3.6,292,2-star hotel,,0866 257 2710
SPOT ON Hotel Tirumala Lodge,4.5,10,Lodge,,099591 12448
Sri Vinayaka Lodge a/c,3.9,269,Lodge,,096520 10000
Gokul Residency A/C Lodge,3.8,406,Lodge,,085622 22288
Sri Sathya Sai Lodge A/C,3.7,144,Lodge,"near sri anjaneya swamy temple, opposite kurichedu road",094402 92064
Hyderabad Lodge and Family Restaurant,3.2,197,Hotel,"Viswanadha Puram, Prakasam SH-53, Cumbum Rd",
Surya Grand lodge A/c,4.3,89,Lodge,"Opp Reliance Petrol pump KG Road, to, Kurnool Road",
TULASI GRAND AC LODGE,4.6,98,Lodge,,090101 71740
VIJETHA GRAND LODGE,4.3,71,Lodge,"1-604 Samata, Hospital Rd",099595 96391
Sapthagiri Lodge,3.7,483,Lodge,,085962 22499
Radha Madhavan A/c Lodge,4.3,41,Hotel,"Macherala Road, near HP Petrol Bunk",094410 33326
Sri Krishna Inn lodge,4.1,206,Lodge,"FRCR+PW5, Tirupati Rd",093912 36603
BMR Bala Lodge,4.3,478,Lodge,,091107 29787
National Lodge,2.7,219,Hotel,,094918 44049
Ramaiah Lodge,2.8,161,1-star hotel,,070130 09730
Hotel Sri Sai Lodge,4.4,550,Lodge,,098857 71416
Hotel Tourist Deluxe Lodge,3.4,428,2-star hotel,,099892 46494
Srinivasa Lodge,3.7,30,Lodge,"HJ4Q+J9C, Main Rd, beside Rtc bus stand",
SR LODGE,4.3,64,Lodge,A.T.Agraharam Rd,
Tirumala Paradise Lodge,3.1,277,Lodge,,099491 88345
MCSR LODGE,3.9,45,Lodge,"HPC Dealers Udayagiri, Nellore Rd",
SRI DURGA LODGE,4.6,47,Lodge,near POLERAMMA TEMPLE,094925 46345
Sai Grand Lodge and Function Hall,3.9,124,Lodge,"Narasaraopet Paturu, Old, Palnadu Rd",
Sri Mahalakshmi Towers,4.7,79,Lodge,Sri mahalakshmi towers,086883 97500
Srinivasa Lodge,3,70,Lodge,"14-3-3/1, Government Hospital Rd",0866 257 4320
ABS residency(LODGE),3.9,61,Lodge,"Bustand, Railway, Station Rd",
Eswar lodge,3.8,92,Lodge,Trunk Rd,080992 35354
Sri Malleswari Lodge,2.7,469,Lodge,"11-62-111, Canal Rd",098486 72458
LA Residency,3.6,21,Lodge,,
