Name,Avg_review,Reviews,Category,Address 4,Phone,Maps_url
CMR Central Mall,4.3,"62,971",Outlet mall,"36, 1, Resapuvanipalem Rd",076709 01543,https://www.google.com/maps/place/CMR+Central+Mall/data=!4m7!3m6!1s0x3a3943489108d207:0xc5c280024dd34818!8m2!3d17.7340891!4d83.3183981!16s%2Fg%2F1hhhmr7vy!19sChIJB9IIkUhDOToRGEjTTQKAwsU?authuser=0&hl=en&rclk=1
PVP Square,4.3,"65,599",Shopping mall,"39157, MG Rd",0866 249 8111,https://www.google.com/maps/place/PVP+Square/data=!4m7!3m6!1s0x3a35faaff2c857b3:0xf4c62e93c4842a9b!8m2!3d16.5024438!4d80.6426619!16s%2Fg%2F1v8y2gc_!19sChIJs1fI8q_6NToRmyqExJMuxvQ?authuser=0&hl=en&rclk=1
MGB Felicity Mall,4.6,"51,714",Shopping mall,"Door no 15, 23, Grand Trunk Road",080191 92255,https://www.google.com/maps/place/MGB+Felicity+Mall/data=!4m7!3m6!1s0x3a4cf3275d36ddeb:0xaaacfe8c80f45ed1!8m2!3d14.4321736!4d79.9666998!16s%2Fg%2F1hc17dlgw!19sChIJ6902XSfzTDoR0V70gIzrKo?authuser=0&hl=en&rclk=1
Trendset Mall,4.2,"35,942",Shopping mall,"No. 40, 156, MG Rd",0866 665 6658,https://www.google.com/maps/place/Trendset+Mall/data=!4m7!3m6!1s0x3a35fadd708c3b19:0xb31437547cd84d43!8m2!3d16.4985518!4d80.6534651!16s%2Fg%2F11c52047kj!19sChIJGTuMcN36NToRQ03YfFQ3FLM?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.7,"6,099",Shopping mall,"MG Rd, opposite PVP Square Mall",091333 87124,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a35fb4537786657:0xbce4687083b17f26!8m2!3d16.5019475!4d80.6418282!16s%2Fg%2F11tn0ppbgd!19sChIJV2Z4N0X7NToRJnxg3Bo5Lw?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.6,"17,324",Shopping mall,"# 291521,Main Rd, railway station kotagummam, opposite BSNL OFFICE, near godavari",076709 01457,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a37a3bc25928ff5:0x2f75023c1fbc73ff!8m2!3d17.006238!4d81.7707532!16s%2Fg%2F11f_j2trc3!19sChIJ9YSJbyjNzoR_3O8HzwCdS8?authuser=0&hl=en&rclk=1
82° EAST SRMT Mall & Multiplex,4.4,"21,988",Shopping mall,"421, Pithapuram  Kakinada Rd",0884 668 8001,https://www.google.com/maps/place/82%C2%B0+EAST+SRMT+Mall+%26+Multiplex/data=!4m7!3m6!1s0x3a38284c8b52090b:0x2e9eb38f426242f3!8m2!3d16.9980745!4d82.2436801!16s%2Fg%2F11dx9372rk!19sChIJCwlSi0woODoR80JiQozni4?authuser=0&hl=en&rclk=1
Ravi Priya Mall & Multiplex,3.9,"7,749",Shopping mall,"Old, Guntur Rd",088030 00666,https://www.google.com/maps/place/Ravi+Priya+Mall+%26+Multiplex/data=!4m7!3m6!1s0x3a4b01ae1001ec8f:0x426588bd765da08c!8m2!3d15.5198706!4d80.0473396!16s%2Fg%2F11f01c3lfb!19sChIJjwBEK4BSzoRjKBddr2IZUI?authuser=0&hl=en&rclk=1
TGV Anantha City Square Mall Kurnool,4.3,"4,958",Shopping mall,"D.No.40/37M Sy.No.177 & 192, 4A, New Bus Stand Rd",063038 01585,https://www.google.com/maps/place/TGV+Anantha+City+Square+Mall+Kurnool/data=!4m7!3m6!1s0x3bb5e781f2d7dec7:0x28cdc776d277f36d!8m2!3d15.826733!4d78.0352714!16s%2Fg%2F11h_zryv3k!19sChIJx97X8oHntTsRbfN30nbHzSg?authuser=0&hl=en&rclk=1
Sri Vamsi Shopping Mall | Vizag,3.9,"2,079",Shopping mall,,0891 669 8888,https://www.google.com/maps/place/Sri+Vamsi+Shopping+Mall+%7C+Vizag/data=!4m7!3m6!1s0x3a394318414610d3:0xcfab6ea76dbf4340!8m2!3d17.7187764!4d83.3030529!16s%2Fg%2F11b62z71_z!19sChIJ0xBGQRhDOToRQEO_baduq88?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.7,"3,375",Shopping mall,"D.NO.371167/10, NEAR RTC BUS STAND, TULASI RAM THEATER, Kurnool Rd",076709 00577,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a4b01d8d808a681:0x1d60c0957952dab4!8m2!3d15.5109014!4d80.044673!16s%2Fg%2F11rmrxdvvm!19sChIJgaYI2NgBSzoRtNpSeZXAYB0?authuser=0&hl=en&rclk=1
South India Shopping Mall Textile & Jewellery  Vizianagaram,4.7,"5,892",Outlet mall,"Ward no 21, D no 21197 to 98,Poolbagh Road Maharajupeta",077999 65656,https://www.google.com/maps/place/South+India+Shopping+Mall+Textile+%26+Jewellery++Vizianagaram/data=!4m7!3m6!1s0x3a3be5e37d621d6b:0x23709c134e2306f5!8m2!3d18.1177557!4d83.4151267!16s%2Fg%2F11sbhmrpg9!19sChIJax1ifePlOzoR9QYjThOccCM?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.2,"9,443",Shopping mall,"#28251, Jail Rd, opp. Judge Court",076709 00956,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a394319f78b3af3:0xde59e890f8d7f7cb!8m2!3d17.7147882!4d83.3037224!16s%2Fg%2F1tglxdfr!19sChIJ8zqL9xlDOToRy_fXJDoWd4?authuser=0&hl=en&rclk=1
Reliance Centro,4.1,"11,025",Shopping mall,"27437, Town Kotha Rd",1800 891 0001,https://www.google.com/maps/place/Reliance+Centro/data=!4m7!3m6!1s0x3a39433a2df6e213:0x95c8a6bfaf39bdba!8m2!3d17.708916!4d83.3002264!16s%2Fg%2F11twdllc90!19sChIJEL2LTpDOToRur05r7myJU?authuser=0&hl=en&rclk=1
Subham Grand  Eluru,4.7,"7,733",General store,,090599 85041,https://www.google.com/maps/place/Subham+Grand++Eluru/data=!4m7!3m6!1s0x3a3614cfd8d8e1df:0x9acd06ba30811d06!8m2!3d16.7133562!4d81.1152124!16s%2Fg%2F11bbrg2cd3!19sChIJ3HY2M8UNjoRBh2BMLoGzZo?authuser=0&hl=en&rclk=1
Coastal City center,4.2,"3,860",Shopping mall,GGW9+Q3V,095020 49995,https://www.google.com/maps/place/Coastal+City+center/data=!4m7!3m6!1s0x3a37d2ab114d7d47:0xb6c22ae065402b92!8m2!3d16.5469937!4d81.5176776!16s%2Fg%2F11h6yqj6yy!19sChIJR31NEavSNzoRkitAZeAqwrY?authuser=0&hl=en&rclk=1
LEPL Centro,4.2,"13,496",Shopping mall,"Door No 401146A,opp Murali Fortune, MG Rd",0866 247 5777,https://www.google.com/maps/place/LEPL+Centro/data=!4m7!3m6!1s0x3a35fababdaea9d1:0x4e50682569659d35!8m2!3d16.4998245!4d80.6456146!16s%2Fg%2F1263t5ygf!19sChIJ0amuvbr6NToRNZ1laSVoUE4?authuser=0&hl=en&rclk=1
Swathi Shopping Mall  Ongole,4.9,"3,517",Outlet mall,,076878 99899,https://www.google.com/maps/place/Swathi+Shopping+Mall++Ongole/data=!4m7!3m6!1s0x3a4b01f34ab5a1d7:0x6f0fb886a9bd02ce!8m2!3d15.5103164!4d80.0457971!16s%2Fg%2F11sbfkd_yw!19sChIJ16G1SvMBSzoRzgK9qYa4D28?authuser=0&hl=en&rclk=1
"CMR Shopping Mall, Proddatur",4.7,"7,879",Shopping mall,"14/89, Haji Syed Hussain St",,"https://www.google.com/maps/place/CMR+Shopping+Mall,+Proddatur/data=!4m7!3m6!1s0x3bb479006d4109b3:0xcc1455ecbdf9027d!8m2!3d14.7479805!4d78.5545498!16s%2Fg%2F11lcfkfz5q!19sChIJswlBbQB5tDsRfQL5vexVFMw?authuser=0&hl=en&rclk=1"
Bhupathi Surya Central Mall,4.3,119,Shopping mall,"P7GX+MQJ, Railway New Colony Rd",,https://www.google.com/maps/place/Bhupathi+Surya+Central+Mall/data=!4m7!3m6!1s0x3a3943240631685d:0x67c4871ce095afb1!8m2!3d17.7267137!4d83.2993943!16s%2Fg%2F11f0wpv1p1!19sChIJXWgxBiRDOToRsaV4ByHxGc?authuser=0&hl=en&rclk=1
