"Name","Avg_review","Reviews","Category","doJOZc","Address 1","Address","W4Efsd 7","Phone","Cw1rxd","R8c4Qb","Website","Cw1rxd 2","R8c4Qb 2"
"J STUDIO LUXURY BEAUTY STUDIO: Skin Aesthetics, Hair Salon, Nail Arts & Extensions | VIP Road Vizag | For Men and Women","4.6","(1,107)","Beauty Parlour","","·","1st Floor, 9-29-18, beside new vizag central, VIP Rd, above tvs Showroom","·","098826 89999","","Directions","","",""
"iGRACE Beauty Salon in Vizag - Bridal Makeup In Vizag","4.8","(4,336)","Beauty Parlour","","1st Floor, Opp Masid, VIP Road To Rama Talkies, Corner, VIP Rd","Closed","","089770 81234","","Website","https://www.igracebeauty.com/","","Directions"
"Hair Do A/C Unisex Hair And Beauty Salon","5.0","(220)","Hair salon","","No. 10-8-263, Complex, Prakasam Rd, opp. SBI Bank","·","","084289 35696","","Directions","","",""
"Green Trends Unisex Salon, Mogalrajpuram, Krishna","4.6","(3,372)","Beauty Parlour","","·","Closed","·","0866 247 3147","","Website","https://salons.mygreentrends.in/green-trends/salon-in-krishna/salon-in-mogalrajpuram/green-trends-salon-in-mogalrajpuram-krishna--a6a99a3c-8b69-4694-8225-6a8ecd21bfc6/home","","Directions"
"Mane'a The Salon","4.8","(876)","Beauty Parlour","","·","Anjaneya Restaurant Upstairs, Siva Complex, 3rd floor","·","0866 244 2999","","Directions","","",""
"Green Trends Unisex Salon, MVP Colony, Visakhapatnam","4.7","(2,696)","Beauty Parlour","","·","Closed","·","089127 62232","","Website","https://salons.mygreentrends.in/green-trends/salon-in-visakhapatnam/salon-in-mvp-colony/green-trends-salon-in-mvp-colony-visakhapatnam--4afaebb2-7934-4254-873a-58c308dbc8ff/home","","Directions"
"EVOKE GLAM STUDIO","4.7","(1,270)","Beauty Parlour","","·","Closed","","","","Website","http://wa.me/+919392934129","","Directions"
"Note9 Unisex Hair 'N' Beauty Salon ( Specialization in Hair Fixing )","4.9","(509)","Beauty Parlour","","2nd floor Door No : 4, Gandhi Bomma center, 3-102, Koritepadu Rd, above Jockey Showroom","Closed","","086867 37349","","Website","https://www.note9salon.com/","","Directions"
"Hiwaga Beauty Salon in vizag","4.8","(6,110)","Beauty Parlour","","2nd floor, GRS Paradise, Sampath Vinayaka Temple Rd, beside Airtel office","Closed","","073373 98983","","Website","https://hiwagaindia.com/?utm_source=GMB&utm_medium=listing&utm_campaign=Vizag","","Directions"
"Experts Salon (Family's Hair & Beauty Salon)","4.8","(482)","Hair salon","","D.No. 5-87-50/1 1'st Floor, Lakshmipuram Main Rd, opp. Seetharamaiah High School","·","","099488 54445","","Directions","","",""
"Meg Unisex lounge ( Best Salon or BeautyParlor in Rajahmundry )","4.9","(847)","Beauty Parlour","","·","Closed","·","086219 95999","","Website","https://linktr.ee/megsalon","","Directions"
"Bubbles Hair and Beauty Salon - Guntur","4.6","(2,790)","Hair salon","","·","Closed","·","0863 233 1777","","Website","http://www.bubblesindia.com/","","Directions"
"Naturals Salon","4.8","(645)","Hair salon","","·","Closed","·","075690 18215","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-kothapeta-krishna-307614/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"MANEO Salon Vijayawada - Best Hair & Beauty Salon in Vijayawada","4.6","(1,422)","Beauty Parlour","","4th Floor, 59a-1-5/1, beside Maris Stella College, beside Nissan car showroom","Closed","","092920 55555","","Website","http://maneosalon.in/","","Directions"
"Hiwaga Beauty Clinic","4.9","(5,153)","Beauty Parlour","","·","Closed","·","073373 24983","","Website","https://hiwagaindia.com/?utm_source=GMB&utm_medium=bza","","Directions"
"J STUDIO: Luxury Beauty Parlour, Skin Aesthetics, Hair Salon, Nail Art & Extensions in Pedda Waltair Vizag","4.6","(168)","Beauty Parlour","","J STUDIO DOOR NO 8-3-4/7 ARCADE VIJAYA NAGAR PALACE LAYOUT","Closed","","094913 32227","","Website","http://www.jstudioo.com/","","Directions"
"Green Trends Unisex Hair & Style Salon","4.7","(1,439)","Beauty Parlour","","·","Closed","·","0861 235 4466","","Website","http://www.mygreentrends.in/","","Directions"
"Green Trends Unisex Hair & Style Salon","4.7","(1,602)","Beauty Parlour","","Frist Floor, Door No 76, Shivalayam Centre, Venkata Sai Nilayam, 8-5/2, Swathi Theatre Rd","Closed","","089774 51651","","Website","http://www.mygreentrends.in/","","Directions"
"Jawed Habib International Hair&Beauty Salon For Men And Women","4.5","(1,166)","Hair salon","","·","Closed","·","077991 06359","","Website","https://jawedhabib.org/raju-road-anantapur.html","","Directions"
"Naturals Salon - Best Unisex Beauty Salon in Narasaraopet","4.8","(484)","Hairdresser","","·","Closed","·","096469 34444","","Website","https://naturals.in/","","Directions"
"Naturals Salon","4.5","(2,592)","Beauty Parlour","","·","Closed","·","091004 64646","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-ramachandra-rao-pet-west-godavari-289915/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Green Trends -Unisex Hair & Style Salon Ongole","4.7","(1,974)","Beauty Parlour","","building, 1st floor, Corner, Bhagya Nagar 3rd Ln, opp. Vidyut Bhavan","Closed","","085922 24333","","Website","http://www.mygreentrends.in/","","Directions"
"Evoke Hair and Beauty Salon.","4.4","(474)","Beauty Parlour","","29, 40-6-29, Vijayawada Rd","·","","097014 59964","","Directions","","",""
"Naturals Signature Salon","4.6","(2,182)","Beauty Parlour","","2nd Floor, Laasya Towers, 40-5-4, Tikkle Rd","Closed","","095507 35577","","Website","https://signature.naturals.in//naturals-signature-salon-beauty-salons-benz-circle-vijayawada-319067/Home?utm_source=store_locator&utm_medium=brand_website","","Directions"
