"Name","Avg_review","Reviews","Category","Address 1","Address 2","Phone"
"","","","","","",""
"","","","","","",""
"KSR HANDLOOMS PRIVATE LIMITED-CHIRALA","4.7","(609)","Clothing manufacturer","·","D.No. 2-102-3, VIVEKANANDA NAGAR COLONY, KOTHAPET., Vivekanagar Internal Rd","097013 68531"
"Sitara Handlooms","5.0","(27)","Manufacturer","near Boddurai","",""
"S.S. Handlooms Chirala","4.4","(117)","Saree Shop","R8FW+CWV, Swarna Rd","·","093467 10927"
"Hima venkat handlooms","4.4","(11)","Clothing store","10_772, Saibaba Temple St","·","090309 13231"
"TATA HANDLOOMS","4.8","(50)","Clothing store","RAMRAJ, Trunk Rd","·","089192 89683"
"JSP Handlooms","4.9","(56)","Clothing store","8/47-2, Western street","·","090142 78812"
"Chirala Handlooms","4.3","(26)","Clothing store","","",""
"HYMAVATHI HANDLOOMS","4.3","(23)","Clothing store","Hyma Hospital, road, near gajju center","",""
"Goutham Handlooms","4.3","(112)","Clothing manufacturer","R85P+7JX, Chirala - Ongole Rd","·","098488 14282"
"Sekhar Handlooms","4.9","(9)","Clothing wholesaler","Durga Complex, Somuvari St","",""
"Balaji Handlooms","4.6","(27)","Clothing store","R.K Puram Main Rd","·","096665 64366"
"SRAVANI HANDLOOMS","4.5","(27)","Clothing store","Bapatla Road, Bhavanarushi peta","·","085942 24034"
"AB handlooms","5.0","(9)","Saree Shop","ricemill, 10-104/1, backside Gowrinadh","",""
"Sri Lakshmi Narasimha Swamy Handlooms","4.5","(32)","Saree Shop","room, Hyma Hospital, beside Road, near R.K Puram Main Road","·","099480 25960"
"GSR Handlooms","4.1","(19)","Saree Shop","Bose nagar, d.no 17-20-37","·","096401 04442"
"Apco Handloom House","5.0","(1)","Clothing store","G24X+3RV, Trunk Rd, near Masthan Darga","·","099851 23250"
"BALA Handlooms","4.2","(76)","Women's clothing store","9/3, Chirala - Ongole Rd","·","099499 61431"
"Jayalaxmi handlooms","3.9","(17)","Clothing store","Q8R8+27X","",""
"Sri Durga Handlooms","5.0","(10)","Saree Shop","18-235, Desaipet Panchayat","·","098484 19988"
"SIVAADANAM Handlooms","4.4","(39)","Clothing store","·","R84M+6R8",""
"Lajwanti Handloom Bazaar","4.1","(407)","Clothing store","·","# Do.No.12-25-119,Ganesh Mahal Road","0863 221 2367"
"Chirala Yogambika Hand Looms","4.1","(149)","Clothing store","·","R83J+R7W, Chirala - Ongole Rd","081432 34184"
"Vishnu Handlooms","4.5","(11)","Clothing store","Q8XG+MRP","",""
"VASTRAKALA HANDLOOMS","4.7","(14)","Clothing store","D.NO 12-3-9/1A, near Aakruthi shopping mall","",""
"Deekshana handlooms","5.0","(26)","Saree Shop","Sivalayam street, near andrabank","",""
"Sai Kalyan handlooms","4.1","(76)","Clothing store","Trunk Rd, near KERALA BAKERY","",""
"Vasavi Handlooms","4.9","(20)","Saree Shop","6-156, near Masjid Center","",""
"Sri Kamakshi Handlooms","4.7","(14)","Clothing store","·","","099660 64008"
"Kurapati Handlooms","4.5","(19)","Clothing store","","",""
"Mana Handloom Sarees (Bhavana Handlooms)","4.8","(30)","Saree Shop","Markandey Nagar, near Kodanda Ramalayam","·","099665 40240"
