Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
SUGANDHI CORNER POOJA STORE'S,"Main Road, beside r bandram & sons, opposite polasanapalli departmental store's, Rajamahendravaram, Andhra Pradesh 533101","Main Road, beside r bandram & sons",opposite polasanapalli departmental store's,"Religious goods store,Agricultural service",093976 62999,"093976 62999, +91 93976 62999",YES,1111,4.9,"https://search.google.com/local/reviews?placeid=ChIJdX30q3OkNzoR_DMqZZB2Ld4&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=16009582612916614140,17.001997499999998,81.7710154,,,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipOoOLlM7ptBj-_btqLSRIFrpi7xitQVTxb2HYBM=w113-h92-k-no,16009582612916614140,ChIJdX30q3OkNzoR_DMqZZB2Ld4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SAI CHAITANYA POOJA SAMAGRI STORES,"D NO 24, 2-5, Nageswara Rao Pantulu Rd, near SARADA COLLEGE & MEDPLUS, Gandhi Nagar, Vijayawada, Andhra Pradesh 520003",D NO 24,"2-5, Nageswara Rao Pantulu Rd","Store,General store",092909 37169,"092909 37169, +91 92909 37169",YES,198,4.2,"https://search.google.com/local/reviews?placeid=ChIJC0zwkvjvNToRS2zM8sfofBU&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=1548368317378227275,16.519403,80.631207,,,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipNY__LpnQnhPbhKl0CTUrpImU2l1p0RueoY6ZZM=w80-h126-k-no,1548368317378227275,ChIJC0zwkvjvNToRS2zM8sfofBU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sree Lakshmi Narasimha Pooja Stores,"Simhachalam Main Road, near Govt Hospital, Old Adavivaram, Sri Sai Nagar, Simhachalam, Visakhapatnam, Andhra Pradesh 530028",Simhachalam Main Road,near Govt Hospital,Religious goods store,095154 33974,"095154 33974, +91 95154 33974",YES,17,5,"https://search.google.com/local/reviews?placeid=ChIJOfiptrpnOToROTBtX1XMRvU&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=17674038454707367993,17.7719368,83.2402335,,,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipO26u7tIr4pPcGWYl4D65UGJO5ogEEGuDPkpHKg=w163-h92-k-no,17674038454707367993,ChIJOfiptrpnOToROTBtX1XMRvU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
S.M Agencies Pooja Stores-Wholesale and Retail,"Sannidhanam St, Satyaranayana Puram, Vijayawada, Andhra Pradesh 520011",Sannidhanam St,Satyaranayana Puram,Religious goods store,OSHVZ-rTPIPi4-EPkdmz2A0,,YES,61,4.5,"https://search.google.com/local/reviews?placeid=ChIJLwRNCPjvNToRYLodtolHoJ0&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=11358156917019884128,16.5233903,80.6325043,http://www.smagencies.wordpress.com/,smagencies.wordpress.com,"Saturday:[6:30 am–9:45 pm], Sunday:[6:30 am–9:45 pm], Monday:[6:30 am–9:45 pm], Tuesday:[6:30 am–9:45 pm], Wednesday:[6:30 am–9:45 pm], Thursday:[6:30 am–9:45 pm], Friday:[6:30 am–9:45 pm]",https://lh5.googleusercontent.com/p/AF1QipMEoFr8yVR4I1o1aObGJE2py0oXR4ysK15KzjsJ=w163-h92-k-no,11358156917019884128,ChIJLwRNCPjvNToRYLodtolHoJ0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Karthikeya Pachari & Pooja Stores,"5-50-12, 6/14 St, opp. Mayuri Lakshmi Apartment, Brodipet, Guntur, Andhra Pradesh 522002","5-50-12, 6/14 St",opp. Mayuri Lakshmi Apartment,"Religious goods store,General store",088856 99000,"088856 99000, +91 88856 99000",YES,80,4.3,"https://search.google.com/local/reviews?placeid=ChIJ9SYIwEJ1SjoRbuTGFZf2WS0&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=3267914133399856238,16.304358699999998,80.43176079999999,,,"Saturday:[10 am–10 pm], Sunday:[Closed], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm], Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPdn16tbctmVZDYFDE0_-ozxkW9OTz0FbkIktkx=w80-h142-k-no,3267914133399856238,ChIJ9SYIwEJ1SjoRbuTGFZf2WS0,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sarvalaya- One stop shop for all your spiritual needs.,"AMIT RATHOD: #32-10-29, Yethapeta Road, Captain Rama Rao Junction, 40, Yathapeta, Daba Gardens, Allipuram, Visakhapatnam, Andhra Pradesh 530020","AMIT RATHOD: #32-10-29, Yethapeta Road, Captain Rama Rao Junction, 40","Yathapeta, Daba Gardens, Allipuram",Religious goods store,089127 92555,"089127 92555, +91 89127 92555",YES,699,4.3,"https://search.google.com/local/reviews?placeid=ChIJ2xJteB5DOToR5mb6dH1qYAU&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=387426655019886310,17.714639,83.2952689,http://www.sarvalaya.in/,sarvalaya.in,"Saturday:[9:30 am–9 pm], Sunday:[10 am–2 pm], Monday:[9:30 am–9 pm], Tuesday:[9:30 am–9 pm], Wednesday:[9:30 am–9 pm], Thursday:[9:30 am–9 pm], Friday:[9:30 am–9 pm]",https://lh5.googleusercontent.com/p/AF1QipO0g1hJetQ38OnX_gBSWPr8S8FeXRxbRgWuLJ1C=w122-h92-k-no,387426655019886310,ChIJ2xJteB5DOToR5mb6dH1qYAU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Ayyappa pooja Stores,"Perugu Chettu Center, Main Bazar, Paidichintapadu, Eluru, Andhra Pradesh 534001",Perugu Chettu Center,"Main Bazar, Paidichintapadu","Religious goods store,General store,Wholesaler",093900 54088,"093900 54088, +91 93900 54088",YES,17,4.5,"https://search.google.com/local/reviews?placeid=ChIJT3GnE8UUNjoRcefgI4fYMSw&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=3184564486461777777,16.7070953,81.1067631,,,"Saturday:[9 am–11 pm], Sunday:[9 am–11 pm], Monday:[9 am–11 pm], Tuesday:[9 am–11 pm], Wednesday:[9 am–11 pm], Thursday:[9 am–11 pm], Friday:[9 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipPSf0-m4R4UjWXVSupysMm0B37_2FPkh-9P55Vg=w92-h92-k-no,3184564486461777777,ChIJT3GnE8UUNjoRcefgI4fYMSw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SRI VEDAJANANI POOJA STORES,"5/18, Brodipet, Guntur, Andhra Pradesh 522002",5/18,Brodipet,Store,073820 81040,"073820 81040, +91 73820 81040",YES,81,3.9,"https://search.google.com/local/reviews?placeid=ChIJQ2iEIm91SjoRJmqx-XSxBjE&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=3532706073682209318,16.3047464,80.4297423,,,"Saturday:[10 am–10 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm], Tuesday:[10 am–10 pm], Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipM613co0djcVr7fr5Ii0gnDlUn6aFOjFUozz2dN=w163-h92-k-no,3532706073682209318,ChIJQ2iEIm91SjoRJmqx-XSxBjE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
Sri Polamamba Pooja Samagri,"D.No. 2-6-225, near A.P. Tourism, Appughar, Sector 9, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",D.No. 2-6-225,near A.P. Tourism,Religious goods store,086885 54949,"086885 54949, +91 86885 54949",YES,66,5,"https://search.google.com/local/reviews?placeid=ChIJObHv-uFFOToRzmuNL1V1qDI&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=3650296506714254286,17.7422251,83.34276849999999,,,"Saturday:[9 am–2 pm], Sunday:[9 am–2 pm], Monday:[9 am–2 pm], Tuesday:[9 am–2 pm], Wednesday:[9 am–2 pm], Thursday:[9 am–2 pm], Friday:[9 am–2 pm]",https://lh5.googleusercontent.com/p/AF1QipOw4Xlj0gjCEc4joshcN7P3xxyAmngMjGnLMfFA=w163-h92-k-no,3650296506714254286,ChIJObHv-uFFOToRzmuNL1V1qDI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
SRI SAI POOJA SAMAGRI,"JCF5+FVG, MR Palli Rd, Amaravathi Nagar, Padmavathi Nagar, Tirupati, Andhra Pradesh 517502",JCF5+FVG,MR Palli Rd,Store,063091 30785,"063091 30785, +91 63091 30785",NO,202,4,"https://search.google.com/local/reviews?placeid=ChIJOVVlXhFLTToR-2xRRbS31pI&q=%22pooja+stores%22+,Andhra+Pradesh&authuser=0&hl=en&gl=IN",https://www.google.com/maps?cid=10580846359438519547,13.623679,79.4097034,https://www.srisaipoojasamagri.com/,srisaipoojasamagri.com,"Saturday:[9 am–9 pm], Sunday:[9 am–9 pm], Monday:[9 am–9 pm], Tuesday:[9 am–9 pm], Wednesday:[9 am–9 pm], Thursday:[9 am–9 pm], Friday:[9 am–9 pm]",,10580846359438519547,ChIJOVVlXhFLTToR-2xRRbS31pI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
