index,Name,Address,Category,Phone,Avg_review,Reviews,Website
0,"CARE Hospitals, Visakhapatnam | Best Hospital in Vizag","AS Raja Complex, 105011/5, Waltair Main Rd",Hospital,040 6810 6589,4.6,"5,344",https://www.carehospitals.com/hospitaldetail/caresuperspecialtyhospitalramnagar
1,Andhra Hospitals  Bhavanipuram,"ZP High School, Moulangar Masjid Rd Opp",Private hospital,0866 241 5757,4.5,"1,387",https://andhrahospitals.org/Bhavanipuram
2,ANDHRA HOSPITALS  VISAKHAPATNAM,"15141/1, near Collector Office",Hospital,089127 24777,4.8,620,http://www.andhrahospitals.org/
3,"Help Hospitals | Multi speciality Hospital In Vijayawada, Andhra Pradesh","MG Rd, behind Victoria Museum",Hospital,0866 661 5552,4.2,"1,037",https://helphospitals.com/
4,Anil Neerukonda Hospital,"Anil Neerukonda Hospital Opposite: Three polamamba temple,Sangivalasa,Tagurapuvalasa",Hospital,073370 81111,4.7,"2,582",http://anilneerukondahospital.com/
6,Medicover Hospitals | Best Multispeciality Hospital in Nellore,"NH5, Chinthareddypalem Cross road",Hospital,040 6833 4455,4.9,"16,600",https://www.medicoverhospitals.in/hospitals/andhrapradesh/nellore/?utm_source=google&utm_medium=organic&utm_campaign=gmbnellore
7,Sanjivi Hospitals | Best Hospital In Guntur,"4th Ln, Near Harihar Cinemas",Hospital,086808 71234,4.9,"2,304",https://sanjivihospitals.com/
8,Aster Ramesh Hospitals,"Collector Office Rd, Beside Hindu College Grounds",General hospital,0863 237 7777,4.8,"21,278",https://www.asterhospitals.in/asterrameshhospitals
9,Andhra Hospitals,"C.V.R. Complex, D.NO. 291461, Sheshadri Sastry St",Private hospital,0866 257 4757,4.6,"2,223",http://www.andhrahospitals.org/
10,Life Hospital,Old Club Rd,Specialized hospital,0863 224 4277,4.3,535,https://www.lifehospitals.in/
11,Unity Hospitals | Multi Speciality Hospital in Vijayawada,"2958, Cherukupalli vari St",Hospital,0866 663 3108,4.8,"1,470",https://unityhospitals.in/
12,Andhra Prime Hospitals | Best Multispeciality Hospital in Guntur,"Central plaza, Naaz Center Rd",Hospital,079954 67346,4.2,153,http://primehospitalsguntur.com/
13,"Kamineni Hospitals, Vijayawada","GP23+933, 100 Feet New Autonagar Road, Main, Road",Specialized hospital,0866 246 3333,4.7,"4,280",https://kaminenihospitals.com/vijayawada
14,KIMS  Saveera Hospital,"11348, Srinagar Colony Extension, opposite to Sakshi Office",General hospital,085542 51234,4.9,"19,605",https://www.kimshospitals.com/anantapur/?utm_source=gmaps&utm_medium=gmaps&utm_campaign=saveera
15,Andhra Hospital Heart And Brain Institute,"tagore chamber,, 29, Nakkala Rd",Hospital,0866 244 2333,4.6,"2,327",http://www.andhrahospitals.org/
16,AIIMS Hospital,CHWP+3GQ,Government hospital,094930 65718,4.1,580,http://aiimsmangalagiri.edu.in/
17,Amma Hospital,"Main Road, beside Petrol Pump New",General hospital,097012 18666,4.4,538,https://ammahospitalvizag.com/
18,Manipal Hospital Vijayawada,"Manipal Hospital Vijayawada # 12570, near, Kanakadurga Varadhi",Hospital,1800 102 4647,4.8,"8,921",https://www.manipalhospitals.com/vijayawada/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Vijayawada+Hospital+GMB
19,Medicover Hospitals | Best Multispeciality Hospital in Kakinada,"ADB Rd, near Achampet Junction",Hospital,040 6833 4455,4.8,"6,233",https://www.medicoverhospitals.in/hospitals/andhrapradesh/kakinada/?utm_source=google&utm_medium=organic&utm_campaign=gmbkakinada
20,Nagarjuna Hospitals Private Limited,"Kalyana vedika, NTR Marg, Near Mana",Private hospital,099634 14242,4.5,760,http://www.nagarjunahospitals.com/
21,Andhra Hospitals Eluru,"No 23A, 88, Bendapudi Vari St",Private hospital,088122 22272,4.2,959,http://www.andhrahospitals.org/
22,Medicover Hospitals | Best Multispeciality Hospital in Vizag,"Door No 1183, New Venkojipalem MVP sector 6, NH16, near Hp Petrol Bunk",Hospital,040 6833 4455,4.6,"11,612",https://www.medicoverhospitals.in/hospitals/andhrapradesh/visakhapatnammvp/?utm_source=google&utm_medium=organic&utm_campaign=gmbvizagmvp
23,Aayush Hospitals,48133 3A Ring Road Opp.Siddhartha Medical College,Private hospital,096039 29292,4.2,"2,311",http://www.aayushhospitals.com/
24,Capital Hospitals,"15117/1, Vijayawada Rd",Hospital,085285 19999,4.7,"4,888",http://www.capitalhospitals.in/
25,Medicover Hospitals | Best Women & Child Hospital in Vizag,"1813, KGH Down Rd",Hospital,040 6833 4455,4.8,"8,072",https://www.medicoverhospitals.in/hospitals/andhrapradesh/womanandchildvisakhapatnam/?utm_source=google&utm_medium=organic&utm_campaign=gmbwcvizag
27,Medicover Hospitals | Best Multispeciality Hospital in Kurnool,"D.No: 51/1E2, 51/1E3, 51/1E4, near RTC Bus Stand",Hospital,040 6833 4455,4.9,"29,657",https://www.medicoverhospitals.in/hospitals/andhrapradesh/kurnool/?utm_source=google&utm_medium=organic&utm_campaign=gmbkurnool
30,Medicover Hospitals | Best Multispeciality Hospital in Vizianagaram,"PRS Complex, Tirumala Hospital Rd, near R.T.C. Complex",Hospital,040 6833 4455,4.9,"13,418",https://www.medicoverhospitals.in/hospitals/andhrapradesh/vizianagaram/?utm_source=google&utm_medium=organic&utm_campaign=gmbvizianagaram
32,Latha Super Speciality Hospital,"Road no:5, Prakasham Road, Suryaraopeta",Hospital,098484 09889,4.8,"2,395",https://www.lathasuperspecialityhospital.com/
33,OMNI Hospitals Kurnool,"46/679C, NH40",Hospital,085182 77188,4.7,"1,594",https://omnihospitals.in/kurnool/
35,Harini Hospitals  Best Gastroenterologist & Liver care center in vijayawada | Gastroenterologist In Andhra Pradesh,"# 29, 1451, Prakasam Rd, near Pushpa Hotel Center",Gastroenterologist,098480 44404,4.9,"7,763",https://www.harinihospitals.com/
38,Medicover Hospitals | Best Multispeciality Hospital in Srikakulam,MDR6,Hospital,040 6833 4455,4.8,"5,009",https://www.medicoverhospitals.in/hospitals/andhrapradesh/srikakulam/?utm_source=google&utm_medium=organic&utm_campaign=gmbsrikakulam
40,Apollo Hospitals Ramnagar Vizag,"Door No 10, Executive Court, 5080, Waltair Main Rd, opp. Daspalla",Hospital,1860 500 1066,4.8,"4,057",https://www.apollohospitals.com/vizag/apollohospitalsvizag/
41,St.Joseph's Hospital,"Zilla Parishad Juction, Gokhale Rd, beside Spencer's Neighborhood Store",General hospital,089127 06974,4.2,123,http://www.sjhvsp.org/
42,Arka Multispecialty Hospital,"10/219E, Eluru road  Bypass road, junction, beside Nayara petrol bunk",Hospital,095228 66999,4.9,849,http://www.arkahospitals.in/
43,APIC Hospital  Best Diabetes & General Hospital in Ongole |Female General Physician |Fever Treatment,"Opp. Sai Vijaya diagnostic Center, Sundaraiah Bhavan Rd",Hospital,077779 99565,4.9,239,http://apichospital.com/?utm_source=gmb&utm_medium=referral
