Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
MAHALAKSHMI LADIES EMPORIUM,Clothing Accessories Store,"Shop-No-35, J C N R M Complex, NTR Circle",099594 24561,4.6,14,https://www.google.com/maps/place/MAHALAKSHMI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb41caea6fb9c5f:0x8c79d182b435a371!8m2!3d14.9080605!4d78.0129481!16s%2Fg%2F11ddx4t40_!19sChIJX5z7pq4ctDsRcaM1tILReYw?authuser=0&hl=en&rclk=1
LADIES EMPORIUM,Wedding store,·,088865 99945,4,4,https://www.google.com/maps/place/LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb14adb24a991df:0xe26c131c253bb41!8m2!3d14.6818741!4d77.5973904!16s%2Fg%2F11c4p_zfgc!19sChIJ35GpJNtKsTsRQbtTwjHBJg4?authuser=0&hl=en&rclk=1
Archana Ladies Emporium,Shopping mall,"WH3G+3G2, Kurichedu Road, Vinukonda - Darsi Rd",,4.3,27,https://www.google.com/maps/place/Archana+Ladies+Emporium/data=!4m7!3m6!1s0x3a4ac7b506eb2529:0x2376218de127a06f!8m2!3d15.9026437!4d79.5762565!16s%2Fg%2F11bbrfzj_2!19sChIJKSXrBrXHSjoRb6An4Y0hdiM?authuser=0&hl=en&rclk=1
SRI VENKATESWARA LADIES EMPORIUM,Women's clothing store,"8C5Q+GJH, opposite 2nd Lane, near శ్రీ వేంకటేశ్వర స్వామి దేవస్థానం",,4.8,8,https://www.google.com/maps/place/SRI+VENKATESWARA+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a4a750070a3c7db:0x6103b0da601cb773!8m2!3d16.3088125!4d80.4391094!16s%2Fg%2F11ld53t1ch!19sChIJ28ejcAB1SjoRc7ccYNqwA2E?authuser=0&hl=en&rclk=1
Arshes Fashions And Ladies Emporium,Boutique,"Shop No, 2Balaji Nagar, Amaravathi Rd",098665 96053,5,112,https://www.google.com/maps/place/Arshes+Fashions+And+Ladies+Emporium/data=!4m7!3m6!1s0x3a358b34647e7de5:0x8e9b52932b0c11a9!8m2!3d16.327639!4d80.437878!16s%2Fg%2F11tg8tgf_8!19sChIJ5X1-ZDSLNToRqREMK5NSm44?authuser=0&hl=en&rclk=1
Alma ladies emporium,Women's clothing store,WFWW+J9H,,4,1,https://www.google.com/maps/place/Alma+ladies+emporium/data=!4m7!3m6!1s0x3bb6c7003cc0016d:0x3f57455d75ff5cb0!8m2!3d14.9465714!4d77.4959895!16s%2Fg%2F11x1vqtwc9!19sChIJbQHAPADHtjsRsFz_dV1FVz8?authuser=0&hl=en&rclk=1
MAHIMA LADIES EMPORIUM,General store,Jan-21,093923 06733,4.2,5,https://www.google.com/maps/place/MAHIMA+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3a35a9d765ce50af:0x584dbfd6e598991a!8m2!3d16.8966861!4d80.1066218!16s%2Fg%2F11pyc3flsl!19sChIJr1DOZdepNToRGpmY5da_TVg?authuser=0&hl=en&rclk=1
Harika Ladies Emporium,Novelty store,opposite Police Station,,5,5,https://www.google.com/maps/place/Harika+Ladies+Emporium/data=!4m7!3m6!1s0x3a4a75b4cdf2057d:0x823680a5bf9010e9!8m2!3d16.3002549!4d80.4474464!16s%2Fg%2F11pts7_h38!19sChIJfQXyzbR1SjoR6RCQv6WANoI?authuser=0&hl=en&rclk=1
Gayatri Emporium Exclusive Ladies Fancy,Shopping mall,Mavullama Temple street,099895 66659,3.5,10,https://www.google.com/maps/place/Gayatri+Emporium+Exclusive+Ladies+Fancy/data=!4m7!3m6!1s0x3a37d2aee48773d5:0xf165fec56cb8d1d!8m2!3d16.543029!4d81.5239888!16s%2Fg%2F11c71cxvrc!19sChIJ1XOH5K7SNzoRHY3LVuxfFg8?authuser=0&hl=en&rclk=1
Samrajyam Womens Emporium,Women's clothing store,"Shop Number 1, Kalanagar, 1st Ln",099636 53535,5,2,https://www.google.com/maps/place/Samrajyam+Womens+Emporium/data=!4m7!3m6!1s0x3a35fb30e0e0379f:0x31d36500e11e892b!8m2!3d16.4937544!4d80.6463241!16s%2Fg%2F11sbsgkbc9!19sChIJnzfg4DD7NToRK4ke4QBl0zE?authuser=0&hl=en&rclk=1
BABU EMPORIUM,Shopping mall,·,097045 22225,3.9,541,https://www.google.com/maps/place/BABU+EMPORIUM/data=!4m7!3m6!1s0x3a37b7f90a4a7841:0x8b29d1ae22b17cae!8m2!3d16.7531561!4d81.6872882!16s%2Fg%2F12mkw90zc!19sChIJQXhKCvm3NzoRrnyxIq7RKYs?authuser=0&hl=en&rclk=1
RAJA FANCY & LADIES EMPORIUM,General store,Rajiv Park Rd,096768 38332,5,2,https://www.google.com/maps/place/RAJA+FANCY+%26+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bb3720d330ad3fb:0xa57481369388de94!8m2!3d14.4617232!4d78.8287782!16s%2Fg%2F11tmr_tl1k!19sChIJ-9MKMw1yszsRlN6IkzaBdKU?authuser=0&hl=en&rclk=1
