index,Name,Address,Category,Phone,Avg_review,Reviews
0,"Thirumala Lodge &Hotel kurnool Highway, MYDUKUR","PPQG+V4W, bybass cross",Lodge,097014 91444,3.6,399
1,Sri Ramadootha Athidi Nivas lodge,,Lodge,094906 49955,4.9,198
2,BBN Reddy Deluxe Lodge,"Veeranarayanpuram Street, near Veerabrahmendra Swamy Temple",Lodge,091600 97027,4.8,233
3,SS Residency Super Deluxe Lodge,,Lodge,099897 69878,3.9,247
4,"Annapurna Lodge, Hotel",,3-star hotel,0863 222 2979,4.3,673
5,Vasu fortune inn LODGE ( KVR),JQRG+MWH,Lodge,,4.0,127
6,AT International Lodge,,1-star hotel,088866 26298,3.8,240
7,IRC lodge,SH 54,Lodge,099899 12077,4.2,475
8,Sri Venkateswara Lodge,,Lodge,,3.8,12
9,Mamatha Lodge,,Lodge,,4.2,345
10,Mahendra Lodge,,Lodge,0863 222 1482,3.5,151
11,ABN RESIDENCY LODGE {Ac and Non Ac Rooms},,Lodge,095052 26999,4.5,34
12,Vamsi Grand,,Lodge,083097 64255,4.6,122
13,Manohar Lodge,,Lodge,0863 226 1711,3.6,124
14,Padma Sri Lodge,"# 13-8-144, Opp.R.T.C.Bus Stand",Lodge,0863 221 3857,3.0,43
15,SRI SAI GRAND LODGE,,Hotel,090032 55399,3.9,100
16,Hotel Sudha Lodge,,2-star hotel,0866 257 2710,3.6,292
17,SPOT ON Hotel Tirumala Lodge,,Lodge,099591 12448,4.5,10
18,Sri Vinayaka Lodge a/c,,Lodge,096520 10000,3.9,269
19,Gokul Residency A/C Lodge,,Lodge,085622 22288,3.8,406
20,Sri Sathya Sai Lodge A/C,"near sri anjaneya swamy temple, opposite kurichedu road",Lodge,094402 92064,3.7,144
21,Hyderabad Lodge and Family Restaurant,"Viswanadha Puram, Prakasam SH-53, Cumbum Rd",Hotel,,3.2,197
22,Surya Grand lodge A/c,"Opp Reliance Petrol pump KG Road, to, Kurnool Road",Lodge,,4.3,89
23,TULASI GRAND AC LODGE,,Lodge,090101 71740,4.6,98
24,VIJETHA GRAND LODGE,"1-604 Samata, Hospital Rd",Lodge,099595 96391,4.3,71
25,Sapthagiri Lodge,,Lodge,085962 22499,3.7,483
26,Radha Madhavan A/c Lodge,"Macherala Road, near HP Petrol Bunk",Hotel,094410 33326,4.3,41
27,Sri Krishna Inn lodge,"FRCR+PW5, Tirupati Rd",Lodge,093912 36603,4.1,206
28,BMR Bala Lodge,,Lodge,091107 29787,4.3,478
