index,Name,Address,Category,Phone,Avg_review,Reviews,Website
0,"J STUDIO LUXURY BEAUTY STUDIO: Skin Aesthetics, Hair Salon, Nail Arts & Extensions | VIP Road Vizag | For Men and Women","1st Floor, 9-29-18, beside new vizag central, VIP Rd, above tvs Showroom",Beauty Parlour,098826 89999,4.6,"(1,107)",
1,iGRACE Beauty Salon in Vizag - Bridal Makeup In Vizag,Closed,Beauty Parlour,089770 81234,4.8,"(4,336)",https://www.igracebeauty.com/
2,Hair Do A/C Unisex Hair And Beauty Salon,·,Hair salon,084289 35696,5.0,(220),
3,"Green Trends Unisex Salon, Mogalrajpuram, Krishna",Closed,Beauty Parlour,0866 247 3147,4.6,"(3,372)",https://salons.mygreentrends.in/green-trends/salon-in-krishna/salon-in-mogalrajpuram/green-trends-salon-in-mogalrajpuram-krishna--a6a99a3c-8b69-4694-8225-6a8ecd21bfc6/home
4,Mane'a The Salon,"Anjaneya Restaurant Upstairs, Siva Complex, 3rd floor",Beauty Parlour,0866 244 2999,4.8,(876),
5,"Green Trends Unisex Salon, MVP Colony, Visakhapatnam",Closed,Beauty Parlour,089127 62232,4.7,"(2,696)",https://salons.mygreentrends.in/green-trends/salon-in-visakhapatnam/salon-in-mvp-colony/green-trends-salon-in-mvp-colony-visakhapatnam--4afaebb2-7934-4254-873a-58c308dbc8ff/home
6,EVOKE GLAM STUDIO,Closed,Beauty Parlour,,4.7,"(1,270)",http://wa.me/+919392934129
7,Note9 Unisex Hair 'N' Beauty Salon ( Specialization in Hair Fixing ),Closed,Beauty Parlour,086867 37349,4.9,(509),https://www.note9salon.com/
8,Hiwaga Beauty Salon in vizag,Closed,Beauty Parlour,073373 98983,4.8,"(6,110)",https://hiwagaindia.com/?utm_source=GMB&utm_medium=listing&utm_campaign=Vizag
9,Experts Salon (Family's Hair & Beauty Salon),·,Hair salon,099488 54445,4.8,(482),
10,Meg Unisex lounge ( Best Salon or BeautyParlor in Rajahmundry ),Closed,Beauty Parlour,086219 95999,4.9,(847),https://linktr.ee/megsalon
11,Bubbles Hair and Beauty Salon - Guntur,Closed,Hair salon,0863 233 1777,4.6,"(2,790)",http://www.bubblesindia.com/
12,Naturals Salon,Closed,Hair salon,075690 18215,4.8,(645),https://salons.naturals.in/naturals-salon-beauty-salons-kothapeta-krishna-307614/Home?utm_source=locator&utm_medium=googleplaces
13,MANEO Salon Vijayawada - Best Hair & Beauty Salon in Vijayawada,Closed,Beauty Parlour,092920 55555,4.6,"(1,422)",http://maneosalon.in/
14,Hiwaga Beauty Clinic,Closed,Beauty Parlour,073373 24983,4.9,"(5,153)",https://hiwagaindia.com/?utm_source=GMB&utm_medium=bza
