index,Name,Category,Phone,Reviews,Website
2,Adarsh Public School,CBSE School,089125 11251,56,https://www.adarshpublicschool.org/
3,Geetanjali School (CBSE),CBSE School,063004 95177,221,http://www.geetanjalischool.in/
5,Candor National Public School,General education school,090949 22222,190,https://candornps.com/
6,Rishi Valley School,Private educational institution,085712 80044,287,http://www.rishivalley.org/
7,"Sree Vidyanikethan International School, Tirupati",International school,091609 99966,226,https://www.svis.school/tirupati/
8,Next Gen International School,International school,088863 98996,148,https://nextgenschool.in/
9,Sri Kasturi EM High School | Top School & Best School,High school,094410 85258,146,https://wa.me/c/918121653168
10,The Vizag International School,General education school,099494 01711,61,http://thevizaginternationalschool.org/
11,CHITTURI HIGH SCHOOL,CBSE School,093473 22434,101,http://chs.ac.in/
13,Dr. K.K.R's Happy Valley School,International school,0866 242 8100,334,http://www.kkrhappyvalley.com/
14,St.Joseph's High School (State Syllabus),Private educational institution,0863 221 8668,83,http://www.stjosephschoolgnt.com/
15,RAINBOW SCHOOL,CBSE School,094924 00555,546,http://www.rainbowschoolnellore.com/
16,SHLOKA A BIRLA CBSE RESIDENTIAL & DAY SCHOOL,CBSE School,070366 20222,89,https://www.shlokaschooltirupati.com/
17,Maddi Subba Rao English Medium High School,School,0866 256 5718,69,http://msremhs.edu.in/
18,Akshara School,General education school,0884 236 5053,167,http://www.aksharaschoolkakinada.org/
19,Ameya World School,CBSE School,080992 28212,165,http://www.ameyaworldschool.in/
20,Sri Rama Rural Academy,School,098491 25146,231,http://www.sriramaruralacademy.com/
21,N.St.Mathew's Public School,School,0866 247 6519,527,http://www.nstmathews.org/
22,Accord School,CBSE School,095819 78737,467,http://www.theaccordschool.com/
23,Sri Patibandla Sitaramaiah High School CBSE,High school,091263 33555,120,http://www.spshsem.com/
24,Delhi Public School,CBSE School,0866 284 4844,259,http://www.dpsvijayawada.org/
25,KCP Siddhartha Adarsh Residential Public School,Boarding school,086884 04675,233,http://kcpsarpschool.com/
26,THE HARBOR INTERNATIONAL SCHOOL  THIS,General education school,094938 87644,168,http://www.theharborschool.in/
27,"INTERNATIONAL DELHI PUBLIC SCHOOL, CHERUKUPALLI",General education school,077997 97931,81,http://www.idpscherukupalli.com/
29,Scotspine International School | Best CBSE School in Vijayawada,CBSE School,079936 34999,123,http://www.scotspine.in/
30,Montfort School,CBSE School,079953 51591,110,https://montfortschoolkadapa.org/
32,LKR Global School  CBSE,International school,070361 90444,105,http://www.lkrschools.com/
34,Akshara Vidyalaya,Preschool,099634 77120,103,http://www.aksharavidyalaya.edu.in/
37,Montessori Elite EM School మాంటిస్సోరి ఎలీట్ స్కూల్,CBSE School,083400 38385,136,https://www.montessorieliteschool.com/
38,Sri Poojitha School,General education school,0863 235 9755,58,http://www.sripoojithaschool.com/
39,GIG International School  Best CBSE School in Vijayawada,General education school,091216 99994,116,https://www.gigis.in/
40,Westberry School,CBSE School,096663 11000,173,http://westberry.in/
42,Sri Netaji School MSR,High school,090005 84488,198,http://www.srinetajischoolmsr.com/
44,Ridge School,CBSE School,077996 60088,147,http://www.ridgeschools.org/
45,Sri Prakash Synergy School,General education school,092477 39333,587,http://spss.edu.in/
46,Sri Sri Paramahansa Yogananda Vidyalaya,CBSE School,090000 93133,391,https://www.yoganandavidyalaya.org/
47,V.P.S PUBLIC SCHOOL,General education school,0866 247 1678,325,http://vpspsvja.ac.in/
49,"Academic Heights Public School, Tirupati",CBSE School,078931 71278,213,https://tirupati.academicheights.in/
51,Edify School,General education school,095059 08888,386,http://www.edifyschooltirupati.com/
52,Vignan High School,High school,0863 223 3815,134,http://www.vignanhighschoolguntur.com/
54,Timpany Steel City School.,General education school,089125 17728,132,https://timpanysteelcityschool.in/
58,International Delhi Public School,General education school,090592 22607,64,https://www.idpsproddatur.com/
60,"YASODA CONCEPT SCHOOL, Puttaparthi Road, DHARMAVARAM, ANANTAPUR DISTRICT, A.P.",General education school,090105 08451,68,http://www.yasodaschool.com/
61,Good Shepherd E M School,Private educational institution,092470 47013,308,https://goodshepherdschoolnandyal.in/
62,Dr. Kishore's Ratnam Race International School,Primary school,092464 33550,210,http://drkishoresratnamschools.com/
63,Nalanda Vidyaniketan,School,077997 87810,308,https://nvn.edu.in/
66,The Presidential School,Private educational institution,089787 83153,56,https://thepresidentialschool.in/
68,Dr. Kishore's Ratnam Kids International School,General education school,075693 14521,156,https://drkishoresratnamschools.com/?UTM_source=GMB_listing&UTM_medium=organic
71,Nirmala High School,Higher secondary school,0866 247 2209,285,https://nirmalahighschool.com/
72,ATKINSON HIGH SCHOOL,High school,0866 241 3175,208,https://atkinsongollapudi.edu.in/
73,Samsidh School,General education school,091003 14498,44,https://www.samsidh.in/
78,Nakshathra School Nellore | Focus on Communication and Leadership Skills | Best School in Nellore,General education school,080198 18888,175,http://www.nakshathraschool.com/
79,Bharatiya Vidya Bhavan's Vidyashram (Affiliated to C.B.S.E.),CBSE School,0863 223 4802,83,https://bhavansguntur.com/
83,AMERICAN PUBLIC SCHOOL,General education school,099085 56782,24,http://www.myaps.org/
84,"Delhi Public School, Visakhapatnam",CBSE School,089125 10686,224,http://www.dpsvisakhapatnam.org/
86,Accord School,CBSE School,094038 90888,82,http://www.theaccordschool.com/
87,A.P. Open School Society,Education Councils & Boards Office,0863 223 9151,166,http://apopenschool.org/
88,"Sreeram E.M. High School in Singh Nagar, Vijayawada  Best School in Vijayawada",Higher secondary school,094917 36994,150,https://www.sreeramschool.com/
94,NATCO School of Learning Managed by Hippocampus,CBSE School,086432 36599,59,http://www.natconsl.edu.in/
97,Sadhguru Silver Oaks School Nellore  Best School in Nellore,CBSE School,099851 33339,315,https://www.sadhgurusilveroaks.com/
99,SASI ENGLISH MEDIUM SCHOOL,General education school,091332 65599,510,http://www.sasi.ac.in/
100,Nava Bharath Public School,General education school,0866 252 2214,70,https://m.facebook.com/NavabharatPublicSchool
