index,Name,Address,Category,Phone,Reviews,Website
0,Adarsh Public School,"Opp Appayya Temple, Vuda Colony, opp. Sivalayam, opp. ayyappa temple",CBSE School,089125 11251,56,https://www.adarshpublicschool.org/
1,Geetanjali School (CBSE),,CBSE School,063004 95177,221,http://www.geetanjalischool.in/
2,Aravinda high school CBSE,"Opposit road, Aparna Amaravathi one",Private educational institution,090328 36683,32,
3,Candor National Public School,"Tirupati  Bangalore Highway, Kanipakam  Tirupati Rd",General education school,090949 22222,190,https://candornps.com/
4,Rishi Valley School,JFP3+GHJ,Private educational institution,085712 80044,287,http://www.rishivalley.org/
5,"Sree Vidyanikethan International School, Tirupati",NH 71 Sree Sainath Nagar A.Rangampet,International school,091609 99966,226,https://www.svis.school/tirupati/
6,Next Gen International School,"Kothapatnam Road, Koppole",International school,088863 98996,148,https://nextgenschool.in/
7,Sri Kasturi EM High School | Top School & Best School,"27/53, Chinna Rangaraju St, near one town police station",High school,094410 85258,146,https://wa.me/c/918121653168
8,The Vizag International School,"No.382, Sy, 2, Korukonda Rd",General education school,099494 01711,61,http://thevizaginternationalschool.org/
9,CHITTURI HIGH SCHOOL,,CBSE School,093473 22434,101,http://chs.ac.in/
10,Era International School,"PG6P+HM8, Bellary  Uravakonda  Anantapur Rd",General education school,070953 99991,177,
11,Dr. K.K.R's Happy Valley School,Tadepalli,International school,0866 242 8100,334,http://www.kkrhappyvalley.com/
12,St.Joseph's High School (State Syllabus),"Amaravathi Rd, Opp. A.C College",Private educational institution,0863 221 8668,83,http://www.stjosephschoolgnt.com/
13,RAINBOW SCHOOL,"Dhanalakshmipuram, to",CBSE School,094924 00555,546,http://www.rainbowschoolnellore.com/
14,SHLOKA A BIRLA CBSE RESIDENTIAL & DAY SCHOOL,Banglore Highway,CBSE School,070366 20222,89,https://www.shlokaschooltirupati.com/
15,Maddi Subba Rao English Medium High School,"11178, beside S.K.P.V.V Hindu High School, Kothapet,",School,0866 256 5718,69,http://msremhs.edu.in/
16,Akshara School,NFCL TOWNSHIP,General education school,0884 236 5053,167,http://www.aksharaschoolkakinada.org/
17,Ameya World School,,CBSE School,080992 28212,165,http://www.ameyaworldschool.in/
18,Sri Rama Rural Academy,Tenali Revenue Division Kolluru mandal,School,098491 25146,231,http://www.sriramaruralacademy.com/
19,N.St.Mathew's Public School,,School,0866 247 6519,527,http://www.nstmathews.org/
20,Accord School,"Rc road, Chiguruwada",CBSE School,095819 78737,467,http://www.theaccordschool.com/
