index,Name,Address,Category,Phone,Avg_review,Reviews
0,KSR HANDLOOMS PRIVATE LIMITED-CHIRALA,,Clothing manufacturer,097013 68531,4.7,-609.0
1,Sitara Handlooms,near Boddurai,Manufacturer,,5.0,-27.0
2,S.S. Handlooms Chirala,"R8FW+CWV, Swarna Rd",Saree Shop,093467 10927,4.4,-117.0
3,Hima venkat handlooms,"10_772, Saibaba Temple St",Clothing store,090309 13231,4.4,-11.0
4,TATA HANDLOOMS,"RAMRAJ, Trunk Rd",Clothing store,089192 89683,4.8,-50.0
5,JSP Handlooms,"8/47-2, Western street",Clothing store,090142 78812,4.9,-56.0
6,Chirala Handlooms,,Clothing store,,4.3,-26.0
7,HYMAVATHI HANDLOOMS,"Hyma Hospital, road, near gajju center",Clothing store,,4.3,-23.0
8,Goutham Handlooms,"R85P+7JX, Chirala - Ongole Rd",Clothing manufacturer,098488 14282,4.3,-112.0
9,Sekhar Handlooms,"Durga Complex, Somuvari St",Clothing wholesaler,,4.9,-9.0
10,Balaji Handlooms,R.K Puram Main Rd,Clothing store,096665 64366,4.6,-27.0
11,SRAVANI HANDLOOMS,"Bapatla Road, Bhavanarushi peta",Clothing store,085942 24034,4.5,-27.0
12,AB handlooms,"ricemill, 10-104/1, backside Gowrinadh",Saree Shop,,5.0,-9.0
13,Sri Lakshmi Narasimha Swamy Handlooms,"room, Hyma Hospital, beside Road, near R.K Puram Main Road",Saree Shop,099480 25960,4.5,-32.0
14,GSR Handlooms,"Bose nagar, d.no 17-20-37",Saree Shop,096401 04442,4.1,-19.0
15,Apco Handloom House,"G24X+3RV, Trunk Rd, near Masthan Darga",Clothing store,099851 23250,5.0,-1.0
16,BALA Handlooms,"9/3, Chirala - Ongole Rd",Women's clothing store,099499 61431,4.2,-76.0
17,Jayalaxmi handlooms,Q8R8+27X,Clothing store,,3.9,-17.0
18,Sri Durga Handlooms,"18-235, Desaipet Panchayat",Saree Shop,098484 19988,5.0,-10.0
19,SIVAADANAM Handlooms,,Clothing store,,4.4,-39.0
20,Lajwanti Handloom Bazaar,,Clothing store,0863 221 2367,4.1,-407.0
21,Chirala Yogambika Hand Looms,,Clothing store,081432 34184,4.1,-149.0
22,Vishnu Handlooms,Q8XG+MRP,Clothing store,,4.5,-11.0
23,VASTRAKALA HANDLOOMS,"D.NO 12-3-9/1A, near Aakruthi shopping mall",Clothing store,,4.7,-14.0
24,Deekshana handlooms,"Sivalayam street, near andrabank",Saree Shop,,5.0,-26.0
25,Sai Kalyan handlooms,"Trunk Rd, near KERALA BAKERY",Clothing store,,4.1,-76.0
26,Vasavi Handlooms,"6-156, near Masjid Center",Saree Shop,,4.9,-20.0
27,Sri Kamakshi Handlooms,,Clothing store,099660 64008,4.7,-14.0
28,Kurapati Handlooms,,Clothing store,,4.5,-19.0
29,Mana Handloom Sarees (Bhavana Handlooms),"Markandey Nagar, near Kodanda Ramalayam",Saree Shop,099665 40240,4.8,-30.0
30,Sri Lakshmi Srinivasa Handlooms,"APSRTC BUS STAND APSRTC, Bus Stand",Clothing store,081878 78850,5.0,-1.0
31,Sri Lalitha Handlooms,Pathivari street,Clothing store,081215 22005,3.7,-3.0
32,Ganesh Handlooms,,Clothing store,,4.8,-11.0
33,GV Handlooms,"back side, Chowdeswari temple, 3, rd line, near Vishal mega Mart",Manufacturer,097000 37488,4.6,-9.0
34,Mana Handlooms(GSR Handlooms),"Masid center, Land mark, fish market, Jakkvari street, near perala",Dress store,,4.5,-2.0
35,POURNAMI HANDLOOMS,R9J5+M76,Saree Shop,099667 71605,4.8,-4.0
36,BL Handlooms,"R9H4+PMX BL Handlooms, Rajula Line, 12-05-20, Station Road",Saree Shop,098491 67966,5.0,-6.0
37,Bhargava handlooms,Desaipeta vetapalem mandal bapatla,Clothing store,,4.7,-3.0
38,Kanakadurga Handlooms,"Polavarapupeta, Backside of Old Vegetable Market",Clothing store,,4.8,-5.0
39,Sri Padmavathi Handlooms,near Boddurai,Clothing manufacturer,,5.0,-2.0
40,CHUNDURU HANDLOOM STORES,Cloth Bazaar,Clothing store,0863 222 5240,4.8,-4.0
41,Sai rishith handlooms,,Saree Shop,,5.0,-8.0
42,Meghana Handlooms (Hemanth),,Clothing store,099516 88904,4.5,-6.0
43,HINDUSTAN HANDLOOMS,"MARKAZ STREET, 14-4-1, 3rd Line",Clothing store,099496 91202,4.9,-9.0
44,GUJJARI KRISHNAMURTHY HANDLOOMS,"Ganesh temple line, jakkavari street, Perala Masjid Rd, beside line",Saree Shop,092472 05089,5.0,-11.0
45,Padmavati Handlooms,"D.no.1-185, near Barath petrole bunk",Saree Shop,095421 19603,5.0,-2.0
46,Sri Venkata Durga Handlooms,"Gudanti Puvvada Vari Street, Padmanabunipeta",Clothing store,,4.1,-10.0
47,Srishiridi Sai handlooms,Chandramouli colony,Women's clothing store,,4.0,-2.0
48,Sri Lakshmi Handlooms,"9-10-20/8, Cloth Bazar, Kothapet, Kothapet",Clothing store,0863 222 2588,5.0,-2.0
49,PANNEM HANDLOOMS,"3/124, behind old post office",Saree Shop,075500 83699,5.0,-2.0
50,AV HANDLOOMS,Vetapalem Mandal,Women's clothing store,093816 66849,5.0,-2.0
51,Voice of Handlooms,"Pathamarichetu, Saivari street",Clothing supplier,,5.0,-2.0
52,Sri Santhoshimatha handlooms,"Market back side, Near",Clothing store,,5.0,-2.0
53,Siddhi vinayaka Handlooms,Danthampeta market,Western apparel store,081216 19098,4.3,-4.0
54,Varalakshmi Handloom And Kalamkari,743R+VFW,Clothing store,,4.0,-20.0
55,NAMRATHA HANDLOOMS and fashions,"Vaishnavi venu Polimer, Main Rd",Clothing store,079816 47452,5.0,-5.0
56,Rishitha Devi Handlooms,"opposite Vishal mart, near Hyma Hospital",Saree Shop,095334 64646,5.0,-2.0
57,PAVANA PUTRA HAND LOOMS,Q8WG+QJV,Clothing store,,5.0,-1.0
58,Jayalaxmi handlooms,2-248/1,Saree Shop,,5.0,-1.0
59,Bhanusri Handlooms,15-76-1,Clothing store,,3.0,-4.0
60,SRI POOJITHA HANDLOOMS,"Shop No.1, opp. Beach",Saree Shop,092939 43748,4.0,-4.0
61,SR Handlooms CHIRALA,"Shop No. 282, 283. M. G. C. Market",Clothing store,092908 75717,4.2,-5.0
62,Shiva Handlooms,"12-36, 12-150, near Sivalayam",Saree Shop,,5.0,-4.0
63,Rk HANDLOOMS,"shop.no:1-3, Dr.no:16-21-28",Clothing store,,4.2,-5.0
64,NARAYANA HANDLOOMS,,Clothing store,088860 74132,3.0,-2.0
65,M.L.V Handlooms,"12-36, 12-150",Saree Shop,,5.0,-4.0
66,Srinivasa uniforms and handlooms,"high schools compound, Market road opp vigan mandir Hindu college, market road",Clothing store,094941 36123,4.0,-1.0
67,VIGHNASAI HANDLOOMS,"12--6--5/1, Station Road, near Duggirala Gopalakrishnaiah park",Clothing store,083282 19921,5.0,-1.0
68,Devendra handlooms,"Bestapalem, gayathri towers",Designer Clothing Store,090302 39184,4.5,-2.0
69,MAHALAKSHMI HANDLOOMS,"Mahalakshmi Handlooms, Gandhi Rd",Clothing store,094942 96604,3.0,-1.0
70,Ramesh handlooms,,Clothing manufacturer,,,
71,Sainadh handlooms,May-54,Clothing store,,,
72,Chaitra handlooms,"15-3A, near elementary school",Clothing store,,5.0,-4.0
73,Padmavathi Handlooms - Factory Outlet,Main road Ramapuram Beach Vetapalem Mandal,Saree Shop,092463 19673,5.0,-1.0
74,ANANDA HANDLOOM ఆనంద హ్యాండ్లూమ్,"Door no:6-6, 18, Main Rd, opposite Paris shoe mart",Clothing store,098665 17681,4.9,-18.0
75,Thanusri handlooms,May-53,Clothing store,,,
76,RS HANDLOOMS,,Women's clothing store,,5.0,-2.0
77,Sri Gayatri handlooms,"Tummalacharla ramu ,3-30",Clothing wholesaler,,,
78,sri venkateswara handloom,"13-40/2 Jandrapet,chirala mandal",Saree Shop,,,
79,Sai Rishith Handlooms,"R86Q+GC7, Guntur - Chirala Rd",Clothing store,,5.0,-2.0
80,Anusha Handlooms,siva kumar theater,Saree Shop,,,
81,NEW Yogambika Handlooms,"Vasavi colony, above Anjaneya swamy vigrham",Clothing store,,,
82,District Handlooms and textiles officer,20-98/A,Government office,,,
83,Durga handlooms,"20,janarpeta, Ram Reddy nagar, D.no.16",Saree Shop,,,
84,Natesh Handlooms,2-106,Saree Shop,,,
85,Bala Handlooms,"R9PJ+64M, Road",Dress store,,3.9,-14.0
86,Handlooms sarees weavers,7-18-54/1,Saree Shop,,,
87,Yemmiganur Handlooms textile (Guntur branch),7CRW+MM9,Clothing store,,,
88,Sravanthi handlooms,"D. NO - 2-117, sajjavari street",Saree Shop,,,
89,Venkateswara handlooms chirala,"14-69, Main Rd",Clothing store,,5.0,-6.0
90,GSR Handlooms,11-19B,Clothing store,,,
91,Madhurai khadi Handlooms (మధురై ఖాదీ హ్యాండ్లూమ్స్),Bose Rd,Clothing store,092466 51422,2.0,-2.0
92,Damaru Handlooms,Amodhagiri patnam,Saree Shop,,,
93,Tulasi handlooms,R9WJ+69M,Clothing store,,,
94,SRI GANESH HANDLOOMS,"Shankari towers, Station Road, behind taj lodge",Clothing store,,,
95,Sri Satya Sai handlooms,"Ramireddy nagr, 16 - 65, near Ganesh temple",Saree Shop,,,
96,The Handloom Cloth Merchants Association Kalyana Mandapam,"WX8W+8CV, Sivalayam St",Function room facility,,3.9,-74.0
97,Jyoshnavi Handlooms,,Saree Shop,,,
98,ramanadham handlooms,"23-7-1, Ramalayam St",Women's clothing store,083176 69448,,
99,Gandhi Handloom Sarees,"Brodipet Main Rd, opp. Popular Shoe Mart",Saree Shop,,,
100,Lucky handlooms,"ramireddy nagar jandrapet, 16_102, near Vinayak temple",Clothing store,,,
101,Sri Durga handlooms,"2-57, 2-37A, near railway station",Clothing store,,,
102,Hari Priya Handlooms,main road,Clothing store,,,
103,Lokesh handlooms,3QH4+VFJ,Saree Shop,,,
104,Saroja Handlooms,,Clothing store,,,
105,Hanvitha durga handlooms,03-01-2003,Clothing store,,,
106,Maruthi handlooms,2_183,Saree Shop,,,
107,Handloom unlimited,1-17A,Women's clothing store,098944 44355,,
108,Bhavani handlooms,"BHAVANI HANDLOOMS, BALA TOWERS, beside CORPORATION BANK",Women's clothing store,,5.0,-5.0
109,Niharika handlooms,2_196,Saree Shop,,,
110,Tata kumaraswamy handlooms,170,Clothing store,094406 24892,5.0,-6.0
111,Grand Gandhi Khadi Bhandar,,Clothing store,0863 223 4760,4.1,-389.0
112,TVK Handlooms ( Top Handloom Manufactures in Chirala ),"Mutyalapeta, Mahalakshmamma Chettu Street",Clothing manufacturer,,5.0,-3.0
113,GAYATRI HANDLOOMS,Palnadu Rd,Clothing store,,3.3,-4.0
114,"Venu Handlooms, specialist in pattu sarees",,Saree Shop,,,
115,Rajyalakshmi Handlooms,R9VR+VHM,Clothing store,,5.0,-1.0
116,Pujasri & Rajkumari Handlooms,,Saree Shop,,2.0,-1.0
117,MADINA HANDLOOMS,Somuvari St,Clothing store,099663 73285,,
118,Bhanuteja Handlooms,,Clothing manufacturer,,,
119,Dattu Handlooms,"2-993, markandeyanagar",Saree Shop,,,
