index,Name,Address,Category,Phone,Avg_review,Reviews
2,"Sri Rudra Pooja Store, Nacharam",Nacharam - Mallapur Rd,Religious goods store,089260 23456,4.9,(512)
3,Sri Santhoshi Matha Pooja Samagri Stores,"H-1-110/A/92, Lane, beside Appollo Pharmacy",Religious goods store,062814 30596,5.0,(214)
4,SRI SAI POOJA SAMAGRI,·,Religious goods store,040 2374 5578,4.1,(947)
5,SRI SANTHOSHI MATHA POOJA SAMAGRI STORES,·,Religious goods store,093469 88491,4.9,"(1,195)"
6,Sri Yagnaa Pooja Samagri Stores Ameerpet,"H.no:8-2, 1/6/B, Srinagar Colony Main Rd, opp. Axis Bank",Religious goods store,091004 44933,4.9,(78)
7,AYYAPPA POOJA STORE,"BUS STOP, Rampally Main Rd",Religious goods store,098480 82857,4.9,(170)
8,Sri Sai Pooja Samagri,·,Religious goods store,040 2771 1178,3.9,(348)
9,Ayyappa pooja stores,"5-11-49, Mother Theresa School lane, beside Gopal Jewelry",Religious goods store,099896 77716,5.0,(101)
10,AYYAPPA POOJA STORE,9HWR+8J5,Religious goods store,090002 37731,4.9,(114)
11,Tirumala Pooja Store,·,Religious goods store,097002 10846,4.5,(24)
12,SAMPRADAYA POOJA STORES,"opp: vivekananda park, 6-3-2197/c/691",Religious goods store,090305 67465,4.8,(234)
13,Sri Guru Datta Pooja Stores,"5-29/1/4, Sri Laxmi Nagar colony, opp. to Yati House Restaurant (Aahar Restaurant, near Indira Gandhi Statue",Religious goods store,090525 33555,4.2,(115)
14,Sri Sri Sai Pooja Samagri,·,Religious goods store,076619 46060,4.0,(475)
15,SRI MAYURI POOJA SAMAGRI - Best Pooja Store In Hyderabad,"Sri mayuri pooja samagri, kphb 9th phase, bloomingdale building, ground floor Kphb 9th phase , gokul plots circle",Religious goods store,081850 33999,4.7,(85)
16,Sri Balaji Pooja Samagri,·,Religious goods store,077801 27448,4.7,(205)
17,Sri Pooja Stores,22-78,Store,090639 06480,4.9,(89)
18,Sri Gayatri Pooja Stores,·,Religious goods store,097017 02827,4.0,"(1,141)"
19,"Dhaakshani All Pooja Samagri Wholesale & Retail, Hyderabad, India","back gate, My Home Vihanga Rd",Religious goods store,,4.5,(38)
20,Sri Yagnaa Pooja Samagri Stores Manikonda,"Besides Preetam Hospital, Lanco Hills Rd",Religious goods store,091338 10555,4.6,(138)
