index,Name,Address,Category,Phone,Website,Maps_url
0,Lakshmi Devi Ikkat Silks,"Bhavanarushipeta, B Pochampally, Telangana 508284",Saree shop,075695 28539,,https://www.bing.com/maps?cp=17.346725463867188%7E78.81635284423828&lvl=16.0&q=Lakshmi%20Devi%20Ikkat%20Silks%20%2C%20Bhavanarushipeta%2C%20B%20Pochampally%2C%20Telangana%20508284
1,S.S.R. Silk Sarees,"2-2-34/22/a/1, Mallikarjuna Nagar, Amberpet, Hyderabad, Telangana",Saree shop,,,https://www.bing.com/maps?cp=17.395984649658203%7E78.52837371826172&lvl=16.0&q=S.S.R.%20Silk%20Sarees%20%2C%202-2-34%2F22%2Fa%2F1%2C%20Mallikarjuna%20Nagar%2C%20Amberpet%2C%20Hyderabad%2C%20Telangana
2,Seethara Tie and Dye Silk Sarees,"1\30\9, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=17.963394165039062%7E79.47855377197266&lvl=16.0&q=Seethara%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C30%5C9%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
3,S.R.Silk Sarees,"Godgift Market, 21-1-638, Rikab Gunj, Hyderabad, Telangana 500002",Saree shop,,,https://www.bing.com/maps?cp=17.366960525512695%7E78.47317504882812&lvl=16.0&q=S.R.Silk%20Sarees%20%2C%20Godgift%20Market%2C%2021-1-638%2C%20Rikab%20Gunj%2C%20Hyderabad%2C%20Telangana%20500002
4,Chenna Srinivas Tie and Dye Silk Sarees,"4\64, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.09443473815918%7E78.84947204589844&lvl=16.0&q=Chenna%20Srinivas%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%204%5C64%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
5,Satyanarayana Tie and Dye Silk Sarees,"1\116\27, Siddenki, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.097272872924805%7E78.84941101074219&lvl=16.0&q=Satyanarayana%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C116%5C27%2C%20Siddenki%2C%20Jangaon%2C%20Telangana%20506201
6,Chandra Mouli Tie and Dye Silk Sarees,"3\41, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.107681274414062%7E78.8279800415039&lvl=16.0&q=Chandra%20Mouli%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%203%5C41%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
7,Venkatesh Tie and Dye Silk Sarees,"2\4, Yellamla, Jangaon, Telangana 506201",Saree shop,,,https://www.bing.com/maps?cp=18.107349395751953%7E78.82881927490234&lvl=16.0&q=Venkatesh%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%202%5C4%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
8,Suresh Tie and Dye Silk Sarees,"4\64, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.09443473815918%7E78.84947204589844&lvl=16.0&q=Suresh%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%204%5C64%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
9,Vedavathi Tie and Dye Silk Sarees,"1\119, Siddenki, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=17.70066261291504%7E79.14865112304688&lvl=16.0&q=Vedavathi%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C119%2C%20Siddenki%2C%20Jangaon%2C%20Telangana%20506201
10,Manjula Tie and Dye Silk Sarees,"1\46, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=17.70090675354004%7E79.15103912353516&lvl=16.0&q=Manjula%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C46%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
11,OM Sri Sai Krishna Silk Sarees,"Hyderabad, Durga Nagar, Katedhan, Telangana",Clothing store,,https://om-sri-sai-krishna-silk-sarees.business.site/,https://www.bing.com/maps?cp=17.8006591796875%7E79.00984954833984&lvl=16.0&q=OM%20Sri%20Sai%20Krishna%20Silk%20Sarees%20%2C%20Hyderabad%2C%20Durga%20Nagar%2C%20Katedhan%2C%20Telangana
12,Ravinder Silk Sarees,"1\76, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=17.701005935668945%7E79.15097045898438&lvl=16.0&q=Ravinder%20Silk%20Sarees%20%2C%201%5C76%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
13,Anil Tie and Dye Silk Sarees,"2\99, Yellamla, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.1086368560791%7E78.82884979248047&lvl=16.0&q=Anil%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%202%5C99%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201
14,Srihari Tie and Dye Silk Sarees,"5\3, Siddenki, Jangaon, Telangana 506201",Fabric store,,,https://www.bing.com/maps?cp=18.106689453125%7E78.8295669555664&lvl=16.0&q=Srihari%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%205%5C3%2C%20Siddenki%2C%20Jangaon%2C%20Telangana%20506201
15,Sri Venkata Lakshmi Gadwal Sarees,"Rajaveedhi, Ganjipeta, Gadwal, Telangana",Clothing store,,,https://www.bing.com/maps?cp=16.238670349121094%7E77.79570007324219&lvl=16.0&q=Sri%20Venkata%20Lakshmi%20Gadwal%20Sarees%20%2C%20Rajaveedhi%2C%20Ganjipeta%2C%20Gadwal%2C%20Telangana
16,Sri Santosh Silks And Sarees,"Moula-Ali, Hyderabad, Telangana 500040",Saree shop,077026 26027,https://www.facebook.com/people/Sri-Santosh-Silks-and-Sarees/100067332155024/,https://www.bing.com/maps?cp=17.452425003051758%7E78.56452941894531&lvl=16.0&q=Sri%20Santosh%20Silks%20And%20Sarees%20%2C%20Moula-Ali%2C%20Hyderabad%2C%20Telangana%20500040
17,Lakshmi Kanchi silks.Buy Back Pattu Sarees,"Metro Pillar no, Lakshmi Kanchi Silks, b-Side, 1072, Near RS Brother, Ameerpet, Hyderabad, Telangana",Saree shop,099087 23265,,https://www.bing.com/maps?cp=17.399879455566406%7E78.56024932861328&lvl=16.0&q=Lakshmi%20Kanchi%20silks.Buy%20Back%20Pattu%20Sarees%20%2C%20Metro%20Pillar%20no%2C%20Lakshmi%20Kanchi%20Silks%2C%20b-Side%2C%201072%2C%20Near%20RS%20Brother%2C%20Ameerpet%2C%20Hyderabad%2C%20Telangana
18,Laxmi Ganapathi Silk Sarees,"1-96/3 Mallikarjuna Nagar, Boduppal, Hyderabad, Telangana 500092",Saree shop,080965 66363,,https://www.bing.com/maps?cp=17.41949462890625%7E78.58464813232422&lvl=16.0&q=Laxmi%20Ganapathi%20Silk%20Sarees%20%2C%201-96%2F3%20Mallikarjuna%20Nagar%2C%20Boduppal%2C%20Hyderabad%2C%20Telangana%20500092
19,OnlyPaithani Hyderabad,"6 Road No 3, Secunderabad, Telangana 500047",Clothing store,098337 67750,https://onlypaithani.com/,https://www.bing.com/maps?cp=17.44292449951172%7E78.52555084228516&lvl=16.0&q=OnlyPaithani%20Hyderabad%20%2C%206%20Road%20No%203%2C%20Secunderabad%2C%20Telangana%20500047
20,Gayathri Sarees,"1 Sainikpuri Main Road, Secunderabad, Telangana 500094",Clothing store,088968 00300,https://gayathrisarees.com/,https://www.bing.com/maps?cp=17.48328971862793%7E78.54161834716797&lvl=16.0&q=Gayathri%20Sarees%20%2C%201%20Sainikpuri%20Main%20Road%2C%20Secunderabad%2C%20Telangana%20500094
21,Maa Annapurna Silk Saree Factory,"Gate no 1, 25, Neel Cottage Colony, Varanasi",Clothing store,,https://maa-annapurna-silk-saree-factory.business.site/,https://www.bing.com/maps?cp=17.457429885864258%7E78.54939270019531&lvl=16.0&q=Maa%20Annapurna%20Silk%20Saree%20Factory%20%2C%20Gate%20no%201%2C%2025%2C%20Neel%20Cottage%20Colony%2C%20Varanasi
22,Sri Krishna Silk and Sarees,"Plot NO 10/4, Door NO 3 4 139/1/1, Attapur, Rangareddy, Telangana 500028",Clothing store,091545 63696,,https://www.bing.com/maps?cp=17.32745361328125%7E78.58382415771484&lvl=16.0&q=Sri%20Krishna%20Silk%20and%20Sarees%20%2C%20Plot%20NO%2010%2F4%2C%20Door%20NO%203%204%20139%2F1%2F1%2C%20Attapur%2C%20Rangareddy%2C%20Telangana%20500028
23,Manikanta Ikkath Silks,"H NO: 4-133/1, Bhavanarushi Pets, Bhoodan Pochampally, Nalgonda, Telangana 508284",Saree shop,081433 63282,https://www.facebook.com/ikatwholesale/about/,https://www.bing.com/maps?cp=17.445423126220703%7E78.50389862060547&lvl=16.0&q=Manikanta%20Ikkath%20Silks%20%2C%20H%20NO%3A%204-133%2F1%2C%20Bhavanarushi%20Pets%2C%20Bhoodan%20Pochampally%2C%20Nalgonda%2C%20Telangana%20508284
24,Padmavathi saree house,"Ashok Nagar srt, Jawaharnagar, Beside Andhra Cafe, Hyderabad, Telangana 500020",Saree shop,098480 98269,https://padmavathisarees.com/,https://www.bing.com/maps?cp=17.41087532043457%7E78.49264526367188&lvl=16.0&q=Padmavathi%20saree%20house%20%2C%20Ashok%20Nagar%20srt%2C%20Jawaharnagar%2C%20Beside%20Andhra%20Cafe%2C%20Hyderabad%2C%20Telangana%20500020
25,Unnati Silk Prints Private Limited,"3-4-360, Tobacco Bazar, Secunderabad, Telangana 500003",Saree shop,040 2781 4522,https://www.unnatisilks.com/pages/contact-unnati,https://www.bing.com/maps?cp=17.437488555908203%7E78.48945617675781&lvl=16.0&q=Unnati%20Silk%20Prints%20Private%20Limited%20%2C%203-4-360%2C%20Tobacco%20Bazar%2C%20Secunderabad%2C%20Telangana%20500003
26,Ridhi Sidhi Silk & Sarees,"Shopno 4 5/2/323 Plotno 54, Hyderbasthi, Hyderbasthi Secundrabad, Hyderabad, Telangana 500003",Saree shop,080 4780 4542,,https://www.bing.com/maps?cp=17.434524536132812%7E78.49325561523438&lvl=16.0&q=Ridhi%20Sidhi%20Silk%20%26%20Sarees%20%2C%20Shopno%204%205%2F2%2F323%20Plotno%2054%2C%20Hyderbasthi%2C%20Hyderbasthi%20Secundrabad%2C%20Hyderabad%2C%20Telangana%20500003
27,Shiv Ram Silk and Sarees,"2\4\147, Ramgopalpet, Hyderabad, Telangana 500003",Clothing store,,,https://www.bing.com/maps?cp=17.437227249145508%7E78.48811340332031&lvl=16.0&q=Shiv%20Ram%20Silk%20and%20Sarees%20%2C%202%5C4%5C147%2C%20Ramgopalpet%2C%20Hyderabad%2C%20Telangana%20500003
