"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN4070x17618374317291273337,Fernandez Hospital,"4-1-1230, Bogulkunta, Near Abids, Hyderabad, Telangana 500001",https://www.bing.com/th?id=OLC.M6VTP34hLt2YRg480x360&pid=Local,https://www.bing.com/maps?cp=17.39212989807129%7E78.47957611083984&lvl=16.0&q=Fernandez%20Hospital%20%2C%204-1-1230%2C%20Bogulkunta%2C%20Near%20Abids%2C%20Hyderabad%2C%20Telangana%20500001,17.3921299,78.47957611,4,Facebook (214),Hospital,Open 24 hours,https://www.fernandezhospital.com/,040 4022 2300,"fsn@fernandez.foundation,info@fernandez.foundation,info@fernandezhospital.com,onlineconsultation@fernandez.foundation,telanganamidwives@gmail.com,amina.z@fernandezhospital.com,guestrelations@mgmch.org,doe.j@fernandezhospital.com,john.s@fernandezhospital.com","https://www.facebook.com/fernandez.hospital,https://www.instagram.com/fernandez.hospital,https://twitter.com/fernandezhospit,https://www.youtube.com/c/fernandezfoundation/playlists",https://www.facebook.com/fernandez.hospital,https://www.instagram.com/fernandez.hospital,https://twitter.com/fernandezhospit
ypid:YN4070x10224314008122004433,Prathima Hospitals - Best Hospital,"3-4-3 Kachiguda Station Road, Hyderabad, Telangana 500027",https://www.bing.com/th?id=OLC.96TKd7OfAlwF+w480x360&pid=Local,https://www.bing.com/maps?cp=17.38987922668457%7E78.4947509765625&lvl=16.0&q=Prathima%20Hospitals%20-%20Best%20Hospital%20%2C%203-4-3%20Kachiguda%20Station%20Road%2C%20Hyderabad%2C%20Telangana%20500027,17.38987923,78.49475098,4,Facebook (15),Hospital,Open 24 hours,https://prathimahospitals.com/,040 4345 4345,"info@prathimahospitals.com,gmcorporates@prathimahospitals.com,mktg.kcg@prathimahospitals.com","https://www.facebook.com/sravan.bale.1/posts/360528479157875,https://www.instagram.com/prathimahospitals/,https://www.linkedin.com/company/13307639/,https://twitter.com/prathimahealth,https://www.youtube.com/channel/ucwdye1pcsxisfplxggaxcqw",https://www.facebook.com/sravan.bale.1/posts/360528479157875,https://www.instagram.com/prathimahospitals/,https://twitter.com/prathimahealth
ypid:YN4070x1402713913807862541,Udai Omni Hospital,"5-9-94 Chapel Road, Hyderabad, Telangana 500001",https://www.bing.com/th?id=OLC.VUoxspUOew30xA480x360&pid=Local,https://www.bing.com/maps?cp=17.3964900970459%7E78.47197723388672&lvl=16.0&q=Udai%20Omni%20Hospital%20%2C%205-9-94%20Chapel%20Road%2C%20Hyderabad%2C%20Telangana%20500001,17.3964901,78.47197723,4.5,Facebook (410),Hospital,,,,,"https://www.facebook.com/sonu.pandey.5209/posts/2986394194827992,https://twitter.com/udai_omni,https://linkedin.com/company/udai-clinic---centre-for-advanced-orthopaedics-and-trauma,https://www.youtube.com/channel/uchy2qmpavdevee4jaffyr_g",https://www.facebook.com/sonu.pandey.5209/posts/2986394194827992,,https://twitter.com/udai_omni
ypid:YN4070x516998285,Niloufer Hospital,"Niloufer Hospital Road, Red Hills, Hyderabad, Telangana 500004",https://www.bing.com/th?id=OLC.PP1AyeLarpcw2w480x360&pid=Local,https://www.bing.com/maps?cp=17.398588180541992%7E78.4610595703125&lvl=16.0&q=Niloufer%20Hospital%20%2C%20Niloufer%20Hospital%20Road%2C%20Red%20Hills%2C%20Hyderabad%2C%20Telangana%20500004,17.39858818,78.46105957,3.5,Facebook (2287),Maternity centers,,http://nilouferhospital.in/,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x13992518622131889816,Nampally Government Hospital,"Nampally, Hyderabad, Telangana 500001",https://www.bing.com/th?id=OLC.e177C98qih3PVg480x360&pid=Local,https://www.bing.com/maps?cp=17.39015769958496%7E78.47013092041016&lvl=16.0&q=Nampally%20Government%20Hospital%20%2C%20Nampally%2C%20Hyderabad%2C%20Telangana%20500001,17.3901577,78.47013092,3.5,Facebook (9),Hospital,,http://www.ahnampally.com/,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x11953591373259994086,Care Hospitals,"Exhibition Grounds Road, Hyderabad, Telangana 500001",https://www.bing.com/th?id=OLC.4AV9yUOCZwSSSQ480x360&pid=Local,https://www.bing.com/maps?cp=17.385696411132812%7E78.47413635253906&lvl=16.0&q=Care%20Hospitals%20%2C%20Exhibition%20Grounds%20Road%2C%20Hyderabad%2C%20Telangana%20500001,17.38569641,78.47413635,,,Hospital,Open · Closes 23:30,https://www.carehospitals.com/hospital-detail/care-hospital-nampally,040 3041 7777,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x500176072,Alpha Super Speciality Hospital,"23/1/23 Moghalpura Road, Hyderabad, Telangana 500002",https://www.bing.com/th?id=OLC.OxM/6PdSPTyeEg480x360&pid=Local,https://www.bing.com/maps?cp=17.359588623046875%7E78.47576141357422&lvl=16.0&q=Alpha%20Super%20Speciality%20Hospital%20%2C%2023%2F1%2F23%20Moghalpura%20Road%2C%20Hyderabad%2C%20Telangana%20500002,17.35958862,78.47576141,,,Hospital,,https://alphahospital.in/,040 6671 1111,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x871118644547286811,Nizam Unani Multy Specialty Hospital,"20-4-11 New Road, Hyderabad, Telangana 500002",https://www.bing.com/th?id=OLC.EgOCLSKXPaE4+w480x360&pid=Local,https://www.bing.com/maps?cp=17.354740142822266%7E78.47154998779297&lvl=16.0&q=Nizam%20Unani%20Multy%20Specialty%20Hospital%20%2C%2020-4-11%20New%20Road%2C%20Hyderabad%2C%20Telangana%20500002,17.35474014,78.47154999,,,Hospital,Open · Closes 13:00,https://www.facebook.com/people/Nizam-Unani-Multy-Specialty-Hospital/100063630108575/,093907 08003,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x249912900,Apollo Hospitals,"Jubilee Hills, Hyderabad, Telangana 500033",https://www.bing.com/th?id=OLC.eyZJfxbtyilhuw480x360&pid=Local,https://www.bing.com/maps?cp=17.342668533325195%7E78.50698852539062&lvl=16.0&q=Apollo%20Hospitals%20%2C%20Jubilee%20Hills%2C%20Hyderabad%2C%20Telangana%20500033,17.34266853,78.50698853,,,Hospital,Open 24 hours,https://www.apollohospitals.com/,040 2360 7777,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x4038761231338788431,Government Nizamia General Hospital,"23-1-1, Charminar Rd, Kotla Ali Jah, Hyderabad, Telangana 500002",https://www.bing.com/th?id=OLC.5rgG92ZV81l/Hg480x360&pid=Local,https://www.bing.com/maps?cp=17.36065673828125%7E78.474853515625&lvl=16.0&q=Government%20Nizamia%20General%20Hospital%20%2C%2023-1-1%2C%20Charminar%20Rd%2C%20Kotla%20Ali%20Jah%2C%20Hyderabad%2C%20Telangana%20500002,17.36065674,78.47485352,,,Hospital,,,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
