Name,Category,Address,Phone,Avg_review,Reviews,Maps_url
"SS LADIES EMPORIUM. Tirumala Emeralds Colony, Ragannaguda, Hyderabad",Bangle Shop,"on, Road No 2B, Ragannaguda, Tirumala Emeralds Colony Tirumala Emeralds Colony Ragannaguda Village Road Nagarjuna Sagar Road, line, opposite Ganesh Temple",,5,25,"https://www.google.com/maps/place/SS+LADIES+EMPORIUM.+Tirumala+Emeralds+Colony,+Ragannaguda,+Hyderabad/data=!4m7!3m6!1s0x3bcba14b4f5acc27:0xa4dd47da779c3e7e!8m2!3d17.2598299!4d78.5916869!16s%2Fg%2F11r349tzd0!19sChIJJ8xaT0uhyzsRfj6cd9pH3aQ?authuser=0&hl=en&rclk=1"
HR ladies Emporium,Jewelry store,"5-93, opp. Eenadu Bank",098489 73076,3.8,5,https://www.google.com/maps/place/HR+ladies+Emporium/data=!4m7!3m6!1s0x3bcb9791c8850f45:0x15367b900fe5ac6e!8m2!3d17.3640481!4d78.4254665!16s%2Fg%2F11f9zfwk66!19sChIJRQ-FyJGXyzsRbqzlD5B7NhU?authuser=0&hl=en&rclk=1
Sri laxmi ladies emporium,General store,"JGPV+24P, Market Rd",098667 67083,4.2,6,https://www.google.com/maps/place/Sri+laxmi+ladies+emporium/data=!4m7!3m6!1s0x3a32d095e60f0465:0x763b59e0db87df5c!8m2!3d18.6350975!4d79.5428348!16s%2Fg%2F11cn5k78wf!19sChIJZQQP5pXQMjoRXN-H2-BZO3Y?authuser=0&hl=en&rclk=1
MAHATHI LADIES EMPORIUM & IMITATION JEWELLERY,Women's clothing store,"PVSR PALACE, Golden Temple Rd, opp. CENTRAL BANK OF INDIA",079813 04490,4.9,68,https://www.google.com/maps/place/MAHATHI+LADIES+EMPORIUM+%26+IMITATION+JEWELLERY/data=!4m7!3m6!1s0x3bcb957303d2f46b:0x7585355a2b06df80!8m2!3d17.4003957!4d78.3812419!16s%2Fg%2F11stjfsz0t!19sChIJa_TSA3OVyzsRgN8GK1o1hXU?authuser=0&hl=en&rclk=1
Lakshmi Ladies Emporium,Cosmetics store,"H.No 37, 103, Neredmet X Rd, opp. to BOI and SBI atm",098663 69237,4.6,38,https://www.google.com/maps/place/Lakshmi+Ladies+Emporium/data=!4m7!3m6!1s0x3a27af07389cb377:0xd4d7e512e9e30c3d!8m2!3d17.4813111!4d78.5364294!16s%2Fg%2F11bwf7_tbn!19sChIJd7OcOAevJzoRPQzj6RLl19Q?authuser=0&hl=en&rclk=1
NISSA Ladies Emporium,Shopping mall,,098851 39924,4.8,5,https://www.google.com/maps/place/NISSA+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb987b70000001:0xfee1029346ad2650!8m2!3d17.3487089!4d78.5133454!16s%2Fg%2F11f_b_hrml!19sChIJAQAAcHuYyzsRUCatRpMC4f4?authuser=0&hl=en&rclk=1
LADIES. EMPORIUM,Shopping mall,,,4.1,19,https://www.google.com/maps/place/LADIES.+EMPORIUM/data=!4m7!3m6!1s0x3bcba395dc8288d7:0xd14e3f9b788f58bf!8m2!3d17.3213933!4d78.5652532!16s%2Fg%2F11j4dq8rc7!19sChIJ14iC3JWjyzsRv1iPeJs_TtE?authuser=0&hl=en&rclk=1
Mahalakshmi Ladies Emporium,Cosmetics store,"H 39/A, 1, N Rd Number 11",062810 34119,5,4,https://www.google.com/maps/place/Mahalakshmi+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb993b49885897:0xff364961ff2e1b83!8m2!3d17.3668217!4d78.547278!16s%2Fg%2F11swswf462!19sChIJl1iISTuZyzsRgxsu_2FJNv8?authuser=0&hl=en&rclk=1
Sri Padmavati Ladies Emporium,Clothing store,"Plot no 2724,Telugu Talli Nagar, Qutbullapur",,4.7,3,https://www.google.com/maps/place/Sri+Padmavati+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb8f2bd7b6c9bd:0xbfe00f9542896554!8m2!3d17.5482382!4d78.4384786!16s%2Fg%2F11fq9k3sj9!19sChIJvcm21yuPyzsRVGWJQpUP4L8?authuser=0&hl=en&rclk=1
New Fashion Ladies Emporium,Cosmetics store,"Shop No. 7-81, Satya Laxmi Estate Complex, Santosh Nagar Main Rd, beside pista house",093464 62159,3.7,6,https://www.google.com/maps/place/New+Fashion+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb98706cce9e3d:0x49fd3463cf97502f!8m2!3d17.3462792!4d78.5078408!16s%2Fg%2F1v3_13pn!19sChIJPZ7ObHCYyzsRL1CXz2M0_Uk?authuser=0&hl=en&rclk=1
Neelam Ladies Emporium,Cosmetics store,"4-5-528, Vegetable Market, Badi Chowdi, Sultan Bazar",040 6646 9523,4.4,10,https://www.google.com/maps/place/Neelam+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb99ce13699c5f:0x66298f8e4812628c!8m2!3d17.3883674!4d78.4878588!16s%2Fg%2F11b8z_y37q!19sChIJX5xpE86ZyzsRjGISSI6PKWY?authuser=0&hl=en&rclk=1
Lahari ladies emporium,Bangle Shop,7GGP+PHR,097033 44284,5,4,https://www.google.com/maps/place/Lahari+ladies+emporium/data=!4m7!3m6!1s0x3bcba34fc25e96d1:0x83c669544ec985ae!8m2!3d17.2768625!4d78.5363906!16s%2Fg%2F11sx__q3yz!19sChIJ0ZZewk-jyzsRroXJTlRpxoM?authuser=0&hl=en&rclk=1
Ashwini Ladies Emporium,Wholesaler,,090307 80204,5,1,https://www.google.com/maps/place/Ashwini+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb98703dd77b6b:0x623eaf8ba7d6e6e7!8m2!3d17.3466835!4d78.5078425!16s%2Fg%2F1q5grvrd6!19sChIJa3vXPXCYyzsR5-bWp4uvPmI?authuser=0&hl=en&rclk=1
SAI LADIES EMPORIUM,Cosmetics store,"MCD Heights, Plot No. 1754",099497 66595,5,15,https://www.google.com/maps/place/SAI+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb93db389ae22b:0x8367b5386c1a4eeb!8m2!3d17.4845639!4d78.3810759!16s%2Fg%2F11l23rvpp1!19sChIJK-KaONuTyzsR604abDi1Z4M?authuser=0&hl=en&rclk=1
"Sri Lakshmi Ladies Emporium, Electrical & Gift, General store",Shopping mall,"MGPQ+9X4, Shopping Complex Rd",099497 57009,5,1,"https://www.google.com/maps/place/Sri+Lakshmi+Ladies+Emporium,+Electrical+%26+Gift,+General+store/data=!4m7!3m6!1s0x3a32d14fcd897653:0x12b5d4589621126b!8m2!3d18.6859334!4d79.5399551!16s%2Fg%2F11s98j6wz4!19sChIJU3aJzU_RMjoRaxIhlljUtRI?authuser=0&hl=en&rclk=1"
meenakshe ladies emporium,Women's clothing store,,098485 09345,4.7,125,https://www.google.com/maps/place/meenakshe+ladies+emporium/data=!4m7!3m6!1s0x3bcba1ba0eda588d:0x8fabf066ea62ba54!8m2!3d17.3290259!4d78.573476!16s%2Fg%2F11c5srlh55!19sChIJjVjaDrqhyzsRVLpi6mbwq48?authuser=0&hl=en&rclk=1
H.Radhika ladies emporium,Bangle Shop,"Shop No-5, opp. Hanuman Temple, near bus stop",098490 80288,4.7,14,https://www.google.com/maps/place/H.Radhika+ladies+emporium/data=!4m7!3m6!1s0x3bcb8dff9945f063:0xb322327093691b9d!8m2!3d17.5162622!4d78.3817168!16s%2Fg%2F1pp2vk8s7!19sChIJY_BFmf-NyzsRnRtpk3AyIrM?authuser=0&hl=en&rclk=1
Sai Ladies Emporium,Cosmetics store,"Plot no 546, shop no 4, mainroad, beside DTDC courier, opp. jntu",098483 84072,4.3,21,https://www.google.com/maps/place/Sai+Ladies+Emporium/data=!4m7!3m6!1s0x3bcb8e1d4bf0e4af:0x28af1eefa5ca83c7!8m2!3d17.5168186!4d78.396106!16s%2Fg%2F1pp2vh2_j!19sChIJr-TwSx2OyzsRx4PKpe8eryg?authuser=0&hl=en&rclk=1
Shiva Sai ladies emporium,Cosmetics store,,098497 84816,5,2,https://www.google.com/maps/place/Shiva+Sai+ladies+emporium/data=!4m7!3m6!1s0x3bcbbd15d20b898b:0x80630a9dbc61766c!8m2!3d17.3046548!4d78.4394538!16s%2Fg%2F11s22_6yb7!19sChIJi4kL0hW9yzsRbHZhvJ0KY4A?authuser=0&hl=en&rclk=1
DR LADIES EMPORIUM,Shopping mall,"plot no 206, neaVIBGYOR international school",099512 00498,3.1,7,https://www.google.com/maps/place/DR+LADIES+EMPORIUM/data=!4m7!3m6!1s0x3bcb929ee5d2a83f:0xa5910067a3531e7d!8m2!3d17.5074211!4d78.3193231!16s%2Fg%2F11g70k5mzr!19sChIJP6jS5Z6SyzsRfR5To2cAkaU?authuser=0&hl=en&rclk=1
