"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"","","","","","",""
"","","","","","",""
"https://www.google.com/maps/place/Sri+Rudra+Pooja+Store,+Nacharam/data=!4m7!3m6!1s0x3bcb995cb83e5da1:0x7d16e8f86183cf9d!8m2!3d17.4296733!4d78.552676!16s%2Fg%2F11stvrrqj8!19sChIJoV0-uFyZyzsRnc-DYfjoFn0?authuser=0&hl=en&rclk=1","Sri Rudra Pooja Store, Nacharam","4.9","(512)","Religious goods store","Nacharam - Mallapur Rd","089260 23456"
"https://www.google.com/maps/place/Sri+Santhoshi+Matha+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb9396c3da07ad:0x92ed554f48b860bd!8m2!3d17.4737137!4d78.3636082!16s%2Fg%2F11sj7wyb1k!19sChIJrQfaw5aTyzsRvWC4SE9V7ZI?authuser=0&hl=en&rclk=1","Sri Santhoshi Matha Pooja Samagri Stores","5.0","(214)","Religious goods store","H-1-110/A/92, Lane, beside Appollo Pharmacy","062814 30596"
"https://www.google.com/maps/place/SRI+SAI+POOJA+SAMAGRI/data=!4m7!3m6!1s0x3bcb90c8df927c91:0x2401f575b1206efb!8m2!3d17.4345981!4d78.4481078!16s%2Fg%2F11c139b981!19sChIJkXyS38iQyzsR-24gsXX1ASQ?authuser=0&hl=en&rclk=1","SRI SAI POOJA SAMAGRI","4.1","(947)","Religious goods store","·","040 2374 5578"
"https://www.google.com/maps/place/SRI+SANTHOSHI+MATHA+POOJA+SAMAGRI+STORES/data=!4m7!3m6!1s0x3bcb93bbc4d1628b:0x93201b0a92a842f8!8m2!3d17.4581523!4d78.3656285!16s%2Fg%2F11rn84l5mb!19sChIJi2LRxLuTyzsR-EKokgobIJM?authuser=0&hl=en&rclk=1","SRI SANTHOSHI MATHA POOJA SAMAGRI STORES","4.9","(1,195)","Religious goods store","·","093469 88491"
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Ameerpet/data=!4m7!3m6!1s0x3bcb9143f6a1453d:0x1c0e9976834fff81!8m2!3d17.4297598!4d78.4462349!16s%2Fg%2F11h8j4j2hl!19sChIJPUWh9kORyzsRgf9Pg3aZDhw?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Ameerpet","4.9","(78)","Religious goods store","H.no:8-2, 1/6/B, Srinagar Colony Main Rd, opp. Axis Bank","091004 44933"
"https://www.google.com/maps/place/AYYAPPA+POOJA+STORE/data=!4m7!3m6!1s0x3bcb9d7ffbd61c41:0xf8b38c3aaa82f73!8m2!3d17.4795463!4d78.6226002!16s%2Fg%2F11k42scg47!19sChIJQRzW-3-dyzsRcy-oqsM4iw8?authuser=0&hl=en&rclk=1","AYYAPPA POOJA STORE","4.9","(170)","Religious goods store","BUS STOP, Rampally Main Rd","098480 82857"
"https://www.google.com/maps/place/Sri+Sai+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9a22022cff45:0xa51e1253410569a9!8m2!3d17.435312!4d78.496647!16s%2Fg%2F1vvr4pss!19sChIJRf8sAiKayzsRqWkFQVMSHqU?authuser=0&hl=en&rclk=1","Sri Sai Pooja Samagri","3.9","(348)","Religious goods store","·","040 2771 1178"
"https://www.google.com/maps/place/Ayyappa+pooja+stores/data=!4m7!3m6!1s0x3bcb9bf0b0191bd1:0xf18a19103e45b9fc!8m2!3d17.4539783!4d78.562765!16s%2Fg%2F11h9k2q5pj!19sChIJ0RsZsPCbyzsR_LlFPhAZivE?authuser=0&hl=en&rclk=1","Ayyappa pooja stores","5.0","(101)","Religious goods store","5-11-49, Mother Theresa School lane, beside Gopal Jewelry","099896 77716"
