"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN4070x15616499099267453709,Studio11 Salon & Spa Gachibowli Hyderabad,"1-13/2/1, 4th Floor, Kondapur Main Road, Above Icici Bank, Pjanardhanreddy Nagar, Gachibowli, Hyderabad, Telangana 500032",https://www.bing.com/th?id=OLC.Kw/XCh0Zw0qwjA480x360&pid=Local,https://www.bing.com/maps?cp=17.443679809570312%7E78.36322021484375&lvl=16.0&q=Studio11%20Salon%20%26%20Spa%20Gachibowli%20Hyderabad%20%2C%201-13%2F2%2F1%2C%204th%20Floor%2C%20Kondapur%20Main%20Road%2C%20Above%20Icici%20Bank%2C%20Pjanardhanreddy%20Nagar%2C%20Gachibowli%2C%20Hyderabad%2C%20Telangana%20500032,17.44367981,78.36322021,4.5,Facebook (10),Hair salon,Open · Closes 21:00,https://www.studio11.co/,090303 19193,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x14209230057242290518,Naturals Signature Salon & Spa,"2nd Floor, Aparna Hillpark Road, Above Vijetha Super Market, Complex, Chanda Nagar, Hyderabad, Telangana 500050",https://www.bing.com/th?id=OLC.xFKon/VcyyiitQ480x360&pid=Local,https://www.bing.com/maps?cp=17.50487518310547%7E78.32880401611328&lvl=16.0&q=Naturals%20Signature%20Salon%20%26%20Spa%20%2C%202nd%20Floor%2C%20Aparna%20Hillpark%20Road%2C%20Above%20Vijetha%20Super%20Market%2C%20Complex%2C%20Chanda%20Nagar%2C%20Hyderabad%2C%20Telangana%20500050,17.50487518,78.32880402,,,Hair salon,Open · Closes 21:00,https://naturalshyderabad.com/,079979 97227,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x13457061769362139092,Naturals Salon,"No 103B, 1st Floor, Brundavan Colony, Kompally, Bolarum, Telangana 500014",https://www.bing.com/th?id=OLC.co2HAMpFjsG/4w480x360&pid=Local,https://www.bing.com/maps?cp=17.531705856323242%7E78.48764038085938&lvl=16.0&q=Naturals%20Salon%20%2C%20No%20103B%2C%201st%20Floor%2C%20Brundavan%20Colony%2C%20Kompally%2C%20Bolarum%2C%20Telangana%20500014,17.53170586,78.48764038,,,Hair salon,Open · Closes 21:00,https://salons.naturals.in/naturals-salon-beauty-salons-bolarum-rangareddy-307089/Home,091006 62545,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x13468425545089507095,Naturals Salon,"Plot No 214, Surya Laxmi Complex, Kalyan Nagar, Above Union Bank of India, Hyderabad, Telangana 500038",https://www.bing.com/th?id=OLC.fHrbNBDQFo3tNw480x360&pid=Local,https://www.bing.com/maps?cp=17.44383430480957%7E78.43414306640625&lvl=16.0&q=Naturals%20Salon%20%2C%20Plot%20No%20214%2C%20Surya%20Laxmi%20Complex%2C%20Kalyan%20Nagar%2C%20Above%20Union%20Bank%20of%20India%2C%20Hyderabad%2C%20Telangana%20500038,17.4438343,78.43414307,,,Hair salon,Open · Closes 21:00,https://salons.naturals.in/naturals-salon-beauty-salons-kalyan-nagar-hyderabad-307099/Home,040 4003 5588,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x10919982298605016640,Naturals Salon,"No 4/31/1/1A, 1st Floor, Vision Square, Shamirpet Road, Thumukunta, Above More Supermarket, Rangareddy, Telangana 500078",https://www.bing.com/th?id=OLC.6eVS5EkQ7DWRKQ480x360&pid=Local,https://www.bing.com/maps?cp=17.568374633789062%7E78.55598449707031&lvl=16.0&q=Naturals%20Salon%20%2C%20No%204%2F31%2F1%2F1A%2C%201st%20Floor%2C%20Vision%20Square%2C%20Shamirpet%20Road%2C%20Thumukunta%2C%20Above%20More%20Supermarket%2C%20Rangareddy%2C%20Telangana%20500078,17.56837463,78.5559845,,,Hair salon,Open · Closes 21:00,https://www.naturalshyderabad.com/,090639 06328,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x1641390889612249990,Naturals Salon,"Plot No 92, 3rd Floor, Spring Chambers, Madinaguda., Above Bata Showroom, Hyderabad, Telangana 500049",https://www.bing.com/th?id=OLC.yf5RSTdbUJd+7Q480x360&pid=Local,https://www.bing.com/maps?cp=17.494497299194336%7E78.34446716308594&lvl=16.0&q=Naturals%20Salon%20%2C%20Plot%20No%2092%2C%203rd%20Floor%2C%20Spring%20Chambers%2C%20Madinaguda.%2C%20Above%20Bata%20Showroom%2C%20Hyderabad%2C%20Telangana%20500049,17.4944973,78.34446716,3,Facebook (9),Hair salon,Open · Closes 21:00,http://www.naturals.in/hyderabad,088972 58585,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x6665383989139099949,Naturals Salon,"No 1/77/1/A, Nizampet Rd, Bachupally, Rajiv Gandhi Nagar, Hyderabad, Telangana 500090",https://www.bing.com/th?id=OLC.qeooxWDF0mPB/w480x360&pid=Local,https://www.bing.com/maps?cp=17.537540435791016%7E78.36415100097656&lvl=16.0&q=Naturals%20Salon%20%2C%20No%201%2F77%2F1%2FA%2C%20Nizampet%20Rd%2C%20Bachupally%2C%20Rajiv%20Gandhi%20Nagar%2C%20Hyderabad%2C%20Telangana%20500090,17.53754044,78.364151,,,Hair salon,Open · Closes 21:00,https://salons.naturals.in/naturals-salon-beauty-salons-rajiv-gandhi-ngr-hyderabad-323940/Home,093555 41761,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x1665866293241309385,Lakme Salon Karimnagar,"1546/1, 2-10-1546/1, Jagtial Road, Chaitanyapuri, Karimnagar, Karimnagar, Telangana, Telangana 505001",,https://www.bing.com/maps?cp=18.44959831237793%7E79.11681365966797&lvl=16.0&q=Lakme%20Salon%20Karimnagar%20%2C%201546%2F1%2C%202-10-1546%2F1%2C%20Jagtial%20Road%2C%20Chaitanyapuri%2C%20Karimnagar%2C%20Karimnagar%2C%20Telangana%2C%20Telangana%20505001,18.44959831,79.11681366,,,Hair salon,,https://www.lakmesalon.in/,077993 57888,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x15884062692737003975,Lakme Salon,"First Floor, Beside Green Park & Beema Pride Apartment, Near Gandhi Statue, Beside Decathlon Suchitra Circle, Petbasheerabad, Kompally, Behind Subway, Hyderabad, Telangana 500067",https://www.bing.com/th?id=OLC.eNc1a1ZGGq1Bew480x360&pid=Local,https://www.bing.com/maps?cp=17.508241653442383%7E78.47886657714844&lvl=16.0&q=Lakme%20Salon%20%2C%20First%20Floor%2C%20Beside%20Green%20Park%20%26%20Beema%20Pride%20Apartment%2C%20Near%20Gandhi%20Statue%2C%20Beside%20Decathlon%20Suchitra%20Circle%2C%20Petbasheerabad%2C%20Kompally%2C%20Behind%20Subway%2C%20Hyderabad%2C%20Telangana%20500067,17.50824165,78.47886658,4.5,Facebook (26),Hair salon,Open · Closes 21:00,https://www.lakmesalon.in/,091772 72069,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x11931872634045110482,RAGA’s SALON,"Beside Lane To Venkatadri Theatre, Dilsukh Nagar, Hyderabad, Telangana, Telangana 500060",https://www.bing.com/th?id=OLC.tsXNW/BNddjbUQ480x360&pid=Local,https://www.bing.com/maps?cp=17.368648529052734%7E78.52538299560547&lvl=16.0&q=RAGA%E2%80%99s%20SALON%20%2C%20Beside%20Lane%20To%20Venkatadri%20Theatre%2C%20Dilsukh%20Nagar%2C%20Hyderabad%2C%20Telangana%2C%20Telangana%20500060,17.36864853,78.525383,,,Hair salon,Open · Closes 20:00,https://iconicsaloon.in/,040 4852 0353,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x15930786663144671953,Wow The Salon,"Azampura, Malakpet, Hyderabad, Telangana 500024, India, Azampura, Malakpet, Telangana 500024",https://www.bing.com/th?id=OLC.zQbkwP0boY/kyA480x360&pid=Local,https://www.bing.com/maps?cp=17.376693725585938%7E78.4921875&lvl=16.0&q=Wow%20The%20Salon%20%2C%20Azampura%2C%20Malakpet%2C%20Hyderabad%2C%20Telangana%20500024%2C%20India%2C%20Azampura%2C%20Malakpet%2C%20Telangana%20500024,17.37669373,78.4921875,4,Facebook (10),Hair salon,Closed · Opens 09:00,http://wowthesalon.com,090007 79029,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x6790499045758309417,"Mirrors Luxury Salons, Banjara Hills","Road Number 12, Hyderabad, Telangana 500034",https://www.bing.com/th?id=OLC.3uDdXwN1OAsROw480x360&pid=Local,https://www.bing.com/maps?cp=17.411911010742188%7E78.43336486816406&lvl=16.0&q=Mirrors%20Luxury%20Salons%2C%20Banjara%20Hills%20%2C%20Road%20Number%2012%2C%20Hyderabad%2C%20Telangana%20500034,17.41191101,78.43336487,,,Beauty & spa,Open · Closes 22:00,https://www.mirrorsspaandsalon.com/,040 4002 1818,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x1422671096119691922,Studio11 Salon & Spa Hanamkonda,"H.No.1-8-527, Beside Creamstone/ Haritha Resorts, Vaddiraj Complex, Ground Floor, Nakkalagutta, Warangal Central Prison Area, Telangana 506001",https://www.bing.com/th?id=OLC.8YW9yY0wWWUAvA480x360&pid=Local,https://www.bing.com/maps?cp=17.994619369506836%7E79.54535675048828&lvl=16.0&q=Studio11%20Salon%20%26%20Spa%20Hanamkonda%20%2C%20H.No.1-8-527%2C%20Beside%20Creamstone%2F%20Haritha%20Resorts%2C%20Vaddiraj%20Complex%2C%20Ground%20Floor%2C%20Nakkalagutta%2C%20Warangal%20Central%20Prison%20Area%2C%20Telangana%20506001,17.99461937,79.54535675,,,Beauty & spa,Open · Closes 21:00,https://www.studio11.co/find-a-salon/,089773 83844,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x8516540438634993736,Naturals Signature Salon,"First Floor, #24 & 25, Vaishnavi Splendora, P.Janardan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",https://www.bing.com/th?id=OLC.ixMdGic005abFQ480x360&pid=Local,https://www.bing.com/maps?cp=17.444664001464844%7E78.36177062988281&lvl=16.0&q=Naturals%20Signature%20Salon%20%2C%20First%20Floor%2C%20%2324%20%26%2025%2C%20Vaishnavi%20Splendora%2C%20P.Janardan%20Reddy%20Nagar%2C%20Gachibowli%2C%20Hyderabad%2C%20Telangana%20500032,17.444664,78.36177063,,,Hair salon,Open · Closes 21:00,https://naturalshyderabad.com/,093555 41663,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x3551192856364348467,Jawed Habib Hair & Beauty At Alwal,"Plot No 4, Sreenilayam, Reddy Enclave, old Alwal, Secunderabad, Telangana, Telangana 500010",,https://www.bing.com/maps?cp=17.50847625732422%7E78.50961303710938&lvl=16.0&q=Jawed%20Habib%20Hair%20%26%20Beauty%20At%20Alwal%20%2C%20Plot%20No%204%2C%20Sreenilayam%2C%20Reddy%20Enclave%2C%20old%20Alwal%2C%20Secunderabad%2C%20Telangana%2C%20Telangana%20500010,17.50847626,78.50961304,,,Hair salon,,https://jawedhabib.com/,096669 01213,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x1775116064649543584,Ashv Family Salon,"Opp Sbi Bank, Hyderabad, Telangana 500062",https://www.bing.com/th?id=OLC.8nRqMevaz2WwTg480x360&pid=Local,https://www.bing.com/maps?cp=17.47659683227539%7E78.57342529296875&lvl=16.0&q=Ashv%20Family%20Salon%20%2C%20Opp%20Sbi%20Bank%2C%20Hyderabad%2C%20Telangana%20500062,17.47659683,78.57342529,,,Hair salon,Open · Closes 21:00,https://www.facebook.com/people/Ashv-Family-Salon/100054308600637/,096038 05805,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x500330412,Manea Salon - As rao nagar,"2nd Floor, Above Hdfc Bank, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana",https://www.bing.com/th?id=OLC.qBI5aYYL7+deMg480x360&pid=Local,https://www.bing.com/maps?cp=17.42328453063965%7E78.45443725585938&lvl=16.0&q=Manea%20Salon%20-%20As%20rao%20nagar%20%2C%202nd%20Floor%2C%20Above%20Hdfc%20Bank%2C%20Irram%20Manzil%20Colony%2C%20Punjagutta%2C%20Hyderabad%2C%20Telangana,17.42328453,78.45443726,,,Hair salon,Open · Closes 21:00,https://www.maneathesalon.com/,040 4856 0460,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x520068620,Bubbles Hair & Beauty,"Level 2 & 3, Clubhouse, Rainbow Vistas, Rock Garden Apartment, Above FM Office, Cybercity, Green Hills Road, Moosapet, Hyderabad, Telangana 500018",https://www.bing.com/th?id=OLC.AI5WsICix3HpeA480x360&pid=Local,https://www.bing.com/maps?cp=17.417484283447266%7E78.41433715820312&lvl=16.0&q=Bubbles%20Hair%20%26%20Beauty%20%2C%20Level%202%20%26%203%2C%20Clubhouse%2C%20Rainbow%20Vistas%2C%20Rock%20Garden%20Apartment%2C%20Above%20FM%20Office%2C%20Cybercity%2C%20Green%20Hills%20Road%2C%20Moosapet%2C%20Hyderabad%2C%20Telangana%20500018,17.41748428,78.41433716,,,Hair salon,Open · Closes 21:00,https://www.bubblesindia.com/,090327 65577,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x15004041188674639164,Rajarajeshwara Hair Style,"14-42 Kothapelli Market Road, Karimnagar, Telangana 505001",,https://www.bing.com/maps?cp=18.494552612304688%7E79.0933837890625&lvl=16.0&q=Rajarajeshwara%20Hair%20Style%20%2C%2014-42%20Kothapelli%20Market%20Road%2C%20Karimnagar%2C%20Telangana%20505001,18.49455261,79.09338379,,,Hair stylist,,,096035 85940,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x16431043407730028915,Thirumala Hair Saloon,"8-7-36/A Building Kotirampoor, Karimnagar, Telangana 505001",,https://www.bing.com/maps?cp=18.43832015991211%7E79.1072769165039&lvl=16.0&q=Thirumala%20Hair%20Saloon%20%2C%208-7-36%2FA%20Building%20Kotirampoor%2C%20Karimnagar%2C%20Telangana%20505001,18.43832016,79.10727692,,,Hair salon,,,098660 27266,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x16572783720936875371,Juicy Beauty Parlour,"8\13, Kistaraopalli, Velichala, Ramadugu, Karimnagar, Telangana 505451",,https://www.bing.com/maps?cp=18.460920333862305%7E79.07984161376953&lvl=16.0&q=Juicy%20Beauty%20Parlour%20%2C%208%5C13%2C%20Kistaraopalli%2C%20Velichala%2C%20Ramadugu%2C%20Karimnagar%2C%20Telangana%20505451,18.46092033,79.07984161,,,Hair salon,,,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
