"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone","Website"
"","","","","","","",""
"","","","","","","",""
"https://www.google.com/maps/place/Rockwoods+International+School+-+The+CBSE+School+in+Ghatkesar,+Hyderabad/data=!4m7!3m6!1s0x3bcb76039e410ddd:0x2a6148c3154b5dd6!8m2!3d17.4492072!4d78.6614787!16s%2Fg%2F11f3jmn3gm!19sChIJ3Q1BngN2yzsR1l1LFcNIYSo?authuser=0&hl=en&rclk=1","Rockwoods International School - The CBSE School in Ghatkesar, Hyderabad","4.8","(386)","CBSE School","·","091600 19134","http://rockwoodsinternationalschool.com/"
"https://www.google.com/maps/place/Delhi+School+of+Excellence+Banjara+Hills-Top+CBSE+Schools+in+Hyderabad/data=!4m7!3m6!1s0x3bcb973237d48809:0x5aac81418553eec9!8m2!3d17.4212514!4d78.4434421!16s%2Fg%2F1td70g6v!19sChIJCYjUNzKXyzsRye5ThUGBrFo?authuser=0&hl=en&rclk=1","Delhi School of Excellence Banjara Hills-Top CBSE Schools in Hyderabad","4.5","(157)","CBSE School","·","092480 72019","https://www.dsehyd.com/"
"https://www.google.com/maps/place/Guru+The+Global+school+-+Best+Educational+Institution+for+CBSE+School+Near+Me+in+Nizampet,+Hyderabad/data=!4m7!3m6!1s0x3bcb935c4719f735:0x56fa6b4690ccf8dd!8m2!3d17.5064167!4d78.3797012!16s%2Fg%2F11rkzhg29q!19sChIJNfcZR1yTyzsR3fjMkEZr-lY?authuser=0&hl=en&rclk=1","Guru The Global school - Best Educational Institution for CBSE School Near Me in Nizampet, Hyderabad","4.7","(106)","Primary school","","081790 15638","https://www.gurutheglobalschool.com/"
"https://www.google.com/maps/place/Tatva+Global+School,+Hyderabad/data=!4m7!3m6!1s0x3bcb8e31fa2b6f13:0xdf748371e2471edb!8m2!3d17.5298546!4d78.4236603!16s%2Fg%2F11b60ksq8b!19sChIJE28r-jGOyzsR2x5H4nGDdN8?authuser=0&hl=en&rclk=1","Tatva Global School, Hyderabad","4.6","(606)","CBSE School","·","099494 12666","https://www.tatvaglobalschool.com/?utm_source=gmb&utm_medium=organic&utm_campaign=tatva_gmb"
"https://www.google.com/maps/place/Kakatiya+group+of+schools/data=!4m7!3m6!1s0x3bcba36f5eb757a5:0x656fb8dc13b669c9!8m2!3d17.3185793!4d78.5637777!16s%2Fg%2F11fct4gyzt!19sChIJpVe3Xm-jyzsRyWm2E9y4b2U?authuser=0&hl=en&rclk=1","Kakatiya group of schools","4.9","(64)","General education school","·","078422 44344",""
"https://www.google.com/maps/place/Hyderabad+International+School/data=!4m7!3m6!1s0x3bcb982079db7625:0x4feb62f305a60ee0!8m2!3d17.3588253!4d78.4762316!16s%2Fg%2F1q62d1j1b!19sChIJJXbbeSCYyzsR4A6mBfNi608?authuser=0&hl=en&rclk=1","Hyderabad International School","4.5","(99)","International school","·","088019 25252","http://hyderabadinternationalschool.com/"
"https://www.google.com/maps/place/HYDERABAD+SCHOOL+OF+EXCELLENCE/data=!4m7!3m6!1s0x3bcb96760f56dd73:0xd165f42cd9e6c08b!8m2!3d17.3521016!4d78.3875529!16s%2Fg%2F11g6r1qj41!19sChIJc91WD3aWyzsRi8Dm2Sz0ZdE?authuser=0&hl=en&rclk=1","HYDERABAD SCHOOL OF EXCELLENCE","4.3","(115)","CBSE School","","099598 06999","https://www.hseschool.in/#"
"https://www.google.com/maps/place/Telangana+Scholar%E2%80%99s+School/data=!4m7!3m6!1s0x3bcba2a5ffffd2df:0xc1a1423e09fcce19!8m2!3d17.3205643!4d78.4911081!16s%2Fg%2F11clzbg66q!19sChIJ39L__6WiyzsRGc78CT5CocE?authuser=0&hl=en&rclk=1","Telangana Scholar’s School","4.8","(41)","General education school","·","086861 76621",""
