"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN4070x8101863490023139224,Lakshmi Devi Ikkat Silks,"Bhavanarushipeta, B Pochampally, Telangana 508284",https://www.bing.com/th?id=OLC.iF1GGeJH9ganLA480x360&pid=Local,https://www.bing.com/maps?cp=17.346725463867188%7E78.81635284423828&lvl=16.0&q=Lakshmi%20Devi%20Ikkat%20Silks%20%2C%20Bhavanarushipeta%2C%20B%20Pochampally%2C%20Telangana%20508284,17.34672546,78.81635284,5,Facebook (39),Saree shop,,,075695 28539,,,,,
ypid:YN4070x10045808503882792837,S.S.R. Silk Sarees,"2-2-34/22/a/1, Mallikarjuna Nagar, Amberpet, Hyderabad, Telangana",,https://www.bing.com/maps?cp=17.395984649658203%7E78.52837371826172&lvl=16.0&q=S.S.R.%20Silk%20Sarees%20%2C%202-2-34%2F22%2Fa%2F1%2C%20Mallikarjuna%20Nagar%2C%20Amberpet%2C%20Hyderabad%2C%20Telangana,17.39598465,78.52837372,,,Saree shop,,,,,,,,
ypid:YN4070x9843745839569248396,Seethara Tie and Dye Silk Sarees,"1\30\9, Yellamla, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=17.963394165039062%7E79.47855377197266&lvl=16.0&q=Seethara%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C30%5C9%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201,17.96339417,79.47855377,,,Fabric store,,,,,,,,
ypid:YN4070x8344683710430804411,S.R.Silk Sarees,"Godgift Market, 21-1-638, Rikab Gunj, Hyderabad, Telangana 500002",,https://www.bing.com/maps?cp=17.366960525512695%7E78.47317504882812&lvl=16.0&q=S.R.Silk%20Sarees%20%2C%20Godgift%20Market%2C%2021-1-638%2C%20Rikab%20Gunj%2C%20Hyderabad%2C%20Telangana%20500002,17.36696053,78.47317505,,,Saree shop,,,,,https://www.facebook.com/hyderabadlife/videos/sankranthi-special-lightweight-pattu-sarees-wholesale-rate-madina-market-charmin/786354751868092/,https://www.facebook.com/hyderabadlife/videos/sankranthi-special-lightweight-pattu-sarees-wholesale-rate-madina-market-charmin/786354751868092/,,
ypid:YN4070x16996196052137671358,Chenna Srinivas Tie and Dye Silk Sarees,"4\64, Yellamla, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=18.09443473815918%7E78.84947204589844&lvl=16.0&q=Chenna%20Srinivas%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%204%5C64%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201,18.09443474,78.84947205,,,Fabric store,,,,online@thechennaisilks.com,https://www.youtube.com/watch?v=lprn4qmodho,,,
ypid:YN4070x8053444131706088044,Satyanarayana Tie and Dye Silk Sarees,"1\116\27, Siddenki, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=18.097272872924805%7E78.84941101074219&lvl=16.0&q=Satyanarayana%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C116%5C27%2C%20Siddenki%2C%20Jangaon%2C%20Telangana%20506201,18.09727287,78.84941101,,,Fabric store,,,,,https://www.instagram.com/satyanarayansilks/,,https://www.instagram.com/satyanarayansilks/,
ypid:YN4070x13440249417696492080,Chandra Mouli Tie and Dye Silk Sarees,"3\41, Yellamla, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=18.107681274414062%7E78.8279800415039&lvl=16.0&q=Chandra%20Mouli%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%203%5C41%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201,18.10768127,78.82798004,,,Fabric store,,,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
ypid:YN4070x5097655920189346733,Venkatesh Tie and Dye Silk Sarees,"2\4, Yellamla, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=18.107349395751953%7E78.82881927490234&lvl=16.0&q=Venkatesh%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%202%5C4%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201,18.1073494,78.82881927,,,Saree shop,,,,,,,,
ypid:YN4070x5037771280737001736,Suresh Tie and Dye Silk Sarees,"4\64, Yellamla, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=18.09443473815918%7E78.84947204589844&lvl=16.0&q=Suresh%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%204%5C64%2C%20Yellamla%2C%20Jangaon%2C%20Telangana%20506201,18.09443474,78.84947205,,,Fabric store,,,,,,,,
ypid:YN4070x18029704654460623455,Vedavathi Tie and Dye Silk Sarees,"1\119, Siddenki, Jangaon, Telangana 506201",,https://www.bing.com/maps?cp=17.70066261291504%7E79.14865112304688&lvl=16.0&q=Vedavathi%20Tie%20and%20Dye%20Silk%20Sarees%20%2C%201%5C119%2C%20Siddenki%2C%20Jangaon%2C%20Telangana%20506201,17.70066261,79.14865112,,,Fabric store,,,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
