"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"","","","","","",""
"","","","","","",""
"https://www.google.com/maps/place/Rajlaxmi+Textiles+India+Pvt.Ltd/data=!4m7!3m6!1s0x3bcb9798425fe301:0xb1947d734b8aa70b!8m2!3d17.3675966!4d78.4733259!16s%2Fg%2F11jtyrcpf4!19sChIJAeNfQpiXyzsRC6eKS3N9lLE?authuser=0&hl=en&rclk=1","Rajlaxmi Textiles India Pvt.Ltd","4.9","(4,216)","Saree Shop","No-5, 21-1-471 Rajlaxmi Textiles House Opp High Court Gate.5 Lane 2nd Left Near Madina Circle Rikabgunj Hyderabad-02, near, High Court Rd","098663 59215"
"https://www.google.com/maps/place/Alankar+Textiles+%7C+Men%E2%80%99s+Designer+Clothing+Store+%7C/data=!4m7!3m6!1s0x3bcb93b416b4bccf:0x7eb2e44dfda84be3!8m2!3d17.462482!4d78.3659976!16s%2Fg%2F11bw49ngkc!19sChIJz7y0FrSTyzsR40uo_U3ksn4?authuser=0&hl=en&rclk=1","Alankar Textiles | Men’s Designer Clothing Store |","4.7","(194)","Clothing store","·","090146 59032"
"https://www.google.com/maps/place/Kunal+Textiles/data=!4m7!3m6!1s0x3bcb9a1a4bcb2f9f:0xbee120d422a33175!8m2!3d17.4371893!4d78.4901789!16s%2Fg%2F11b_3g6svc!19sChIJny_LSxqayzsRdTGjItQg4b4?authuser=0&hl=en&rclk=1","Kunal Textiles","4.9","(45)","Uniform store","3-4-150,155 & 165, Opp: Kallappa Market, near Mahakali Temple",""
"https://www.google.com/maps/place/Narendra+Textiles+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb999982f4a557:0x2e0156e4ab00e6a6!8m2!3d17.3644327!4d78.4729184!16s%2Fg%2F11lgqbztl6!19sChIJV6X0gpmZyzsRpuYAq-RWAS4?authuser=0&hl=en&rclk=1","Narendra Textiles Pvt Ltd","4.7","(28)","Clothing store","·",""
"https://www.google.com/maps/place/SRINIVASA+TEXTILES+,+Ramnagar/data=!4m7!3m6!1s0x3bcb9997909b7159:0x7d63d93ee0a5db87!8m2!3d17.4081348!4d78.5088312!16s%2Fg%2F1wh4d9p2!19sChIJWXGbkJeZyzsRh9ul4D7ZY30?authuser=0&hl=en&rclk=1","SRINIVASA TEXTILES , Ramnagar","4.1","(820)","Saree Shop","·","081211 25103"
"https://www.google.com/maps/place/Bhargavi+Textiles/data=!4m7!3m6!1s0x3bcb90cec5c78c67:0xf8d1a7546bff9c00!8m2!3d17.433388!4d78.445937!16s%2Fg%2F11bw4pjb68!19sChIJZ4zHxc6QyzsRAJz_a1Sn0fg?authuser=0&hl=en&rclk=1","Bhargavi Textiles","4.4","(343)","Clothing store","·","092465 52744"
"https://www.google.com/maps/place/Rama+Textiles/data=!4m7!3m6!1s0x3bcb97a3e20b60c5:0xcca4c8b36efddab0!8m2!3d17.3641054!4d78.4663841!16s%2Fg%2F11g0hbbckq!19sChIJxWAL4qOXyzsRsNr9brPIpMw?authuser=0&hl=en&rclk=1","Rama Textiles","4.3","(116)","Men's clothing store","Hussiani Alam, Moosa Bowli Rd",""
"https://www.google.com/maps/place/Madan+Textiles+wholesale/data=!4m7!3m6!1s0x3bcb982710000001:0xe6685ebec60bcf43!8m2!3d17.3675487!4d78.4737982!16s%2Fg%2F1td31hfd!19sChIJAQAAECeYyzsRQ88Lxr5eaOY?authuser=0&hl=en&rclk=1","Madan Textiles wholesale","4.6","(39)","Clothes and fabric wholesaler","Bus Stop, 21-1-593/A, lane beside 94","092465 45919"
