index,Name,Address,Category,Phone,Avg_review,Reviews,Website,Maps_url
2,Prathima Hospitals - Best Hospital in Hyderabad,"3/4/3, Kachiguda Station Rd",Hospital,040 4345 4345,4.5,"(2,251)",https://prathimahospitals.com/,https://www.google.com/maps/place/Prathima+Hospitals+-+Best+Hospital+in+Hyderabad/data=!4m7!3m6!1s0x3bcb99c9a80dbcf9:0x8b26a48d31a71f13!8m2!3d17.3900269!4d78.4952152!16s%2Fg%2F11c4t106m9!19sChIJ-bwNqMmZyzsREx-nMY2kJos?authuser=0&hl=en&rclk=1
3,Best Hospital in Somajiguda | Yashoda Hospitals,·,General hospital,040 4567 4567,4.8,"(30,077)",https://www.yashodahospitals.com/locations/somajiguda//?utm_source=Google-Business-Page&utm_medium=Somajiguda,https://www.google.com/maps/place/Best+Hospital+in+Somajiguda+%7C+Yashoda+Hospitals/data=!4m7!3m6!1s0x3bcb97b36c533e8d:0x3acfb01936398552!8m2!3d17.4244593!4d78.4566648!16s%2Fg%2F11p67mkc3j!19sChIJjT5TbLOXyzsRUoU5Nhmwzzo?authuser=0&hl=en&rclk=1
4,KIMS Hospitals,·,General hospital,040 4488 5000,4.5,"(27,973)",https://www.kimshospitals.com/secunderabad/,https://www.google.com/maps/place/KIMS+Hospitals/data=!4m7!3m6!1s0x3bcb9a044ce8779d:0xe3d099b2316a1d2b!8m2!3d17.4369077!4d78.4829184!16s%2Fg%2F11cn8ytwv9!19sChIJnXfoTASayzsRKx1qMbKZ0OM?authuser=0&hl=en&rclk=1
5,Yashoda Hospitals - Malakpet,·,Private hospital,040 4567 4567,4.8,"(29,478)",https://www.yashodahospitals.com/,https://www.google.com/maps/place/Yashoda+Hospitals+-+Malakpet/data=!4m7!3m6!1s0x3bcb990006b4cfad:0xdd23b7e40a9b2cbc!8m2!3d17.3744095!4d78.4999068!16s%2Fg%2F1tplj5ht!19sChIJrc-0BgCZyzsRvCybCuS3I90?authuser=0&hl=en&rclk=1
6,Ozone Hospitals,·,Hospital,095333 88108,4.8,"(2,163)",https://www.ozonehospitals.com/,https://www.google.com/maps/place/Ozone+Hospitals/data=!4m7!3m6!1s0x3bcb98c74bbec717:0x76482d54d930ec79!8m2!3d17.3594018!4d78.5449848!16s%2Fg%2F11h7rr3r5v!19sChIJF8e-S8eYyzsReeww2VQtSHY?authuser=0&hl=en&rclk=1
7,"Medicover Hospitals | Best Multi-speciality Hospital in Hitech City, Hyderabad",·,Hospital,040 6833 4455,4.6,"(12,700)",https://www.medicoverhospitals.in/hospitals/telangana/hyderabad/hitec-city/?utm_source=google&utm_medium=organic&utm_campaign=gmb-hitech-hyderabad,"https://www.google.com/maps/place/Medicover+Hospitals+%7C+Best+Multi-speciality+Hospital+in+Hitech+City,+Hyderabad/data=!4m7!3m6!1s0x3bcb93ddedcbbfd5:0x53c9001a66216872!8m2!3d17.4466685!4d78.3801261!16s%2Fg%2F11b6hyb781!19sChIJ1b_L7d2TyzsRcmghZhoAyVM?authuser=0&hl=en&rclk=1"
8,Olive Hospitals,·,General hospital,040 4049 9500,4.5,"(4,620)",http://www.olivehospitals.com/,https://www.google.com/maps/place/Olive+Hospitals/data=!4m7!3m6!1s0x3bcb96e24ec92bc3:0xccfd9d3502e362e9!8m2!3d17.3936095!4d78.4271174!16s%2Fg%2F1tr8k06h!19sChIJwyvJTuKWyzsR6WLjAjWd_cw?authuser=0&hl=en&rclk=1
9,Continental Hospitals,·,General hospital,040 6700 0000,4.6,"(20,853)",https://www.continentalhospitals.com/,https://www.google.com/maps/place/Continental+Hospitals/data=!4m7!3m6!1s0x3bcb947fdee4f5a1:0x2ca09b4d2e3a79f!8m2!3d17.4175264!4d78.3394579!16s%2Fg%2F1hf2skrky!19sChIJofXk3n-UyzsRn6fj0rQJygI?authuser=0&hl=en&rclk=1
10,Wellness Hospitals,·,Hospital,092992 00010,4.7,"(1,874)",https://wellnesshospitals.in/,https://www.google.com/maps/place/Wellness+Hospitals/data=!4m7!3m6!1s0x3bcba21ac9d4afb7:0x6d60f4b50e491577!8m2!3d17.3266492!4d78.5562432!16s%2Fg%2F11b7rxkk0w!19sChIJt6_UyRqiyzsRdxVJDrX0YG0?authuser=0&hl=en&rclk=1
11,Kamineni Hospitals,·,General hospital,040 3987 9999,4.4,"(5,607)",https://kaminenihospitals.com/,https://www.google.com/maps/place/Kamineni+Hospitals/data=!4m7!3m6!1s0x3bcb9f30dd0a5fd3:0x60740f5f364999bb!8m2!3d17.3516773!4d78.5556036!16s%2Fg%2F1v5k1gg2!19sChIJ018K3TCfyzsRu5lJNl8PdGA?authuser=0&hl=en&rclk=1
12,Apollo Hospitals Jubilee Hills Hyderabad,·,Hospital,040 6907 1200,4.8,"(33,234)",https://www.apollohospitals.com/hyderabad/our-centres/best-hospital-in-jubilee-hills/,https://www.google.com/maps/place/Apollo+Hospitals+Jubilee+Hills+Hyderabad/data=!4m7!3m6!1s0x3bcb976634652a37:0xeb778fba80ddd5bf!8m2!3d17.4153318!4d78.4127627!16s%2Fg%2F1tfkd0pr!19sChIJNyplNGaXyzsRv9XdgLqPd-s?authuser=0&hl=en&rclk=1
13,Aster Prime Hospital,·,General hospital,040 4959 4959,4.8,"(20,911)",https://www.asterhospitals.in/hospitals/aster-prime-hyderabad,https://www.google.com/maps/place/Aster+Prime+Hospital/data=!4m7!3m6!1s0x3bcb90c518f1af29:0xcce594ffcc57ef98!8m2!3d17.437562!4d78.4460392!16s%2Fg%2F11c5_rcypf!19sChIJKa_xGMWQyzsRmO9XzP-U5cw?authuser=0&hl=en&rclk=1
14,Premier Hospital,·,General hospital,083747 18100,4.4,"(3,064)",http://www.premierhospital.in/,https://www.google.com/maps/place/Premier+Hospital/data=!4m7!3m6!1s0x3bcb971f00000001:0xe6dd99b47b8c1ed0!8m2!3d17.3915846!4d78.4269006!16s%2Fg%2F1vppqz_g!19sChIJAQAAAB-XyzsR0B6Me7SZ3eY?authuser=0&hl=en&rclk=1
15,"CARE Hospitals, Banjara Hills",·,General hospital,040 6810 6589,4.5,"(6,203)",https://www.carehospitals.com/hospital-detail/care-hospital-banjara-hills,"https://www.google.com/maps/place/CARE+Hospitals,+Banjara+Hills/data=!4m7!3m6!1s0x3bcb972ff51ff959:0x55376a3d51b6637!8m2!3d17.4126129!4d78.4502437!16s%2Fg%2F1thk75t6!19sChIJWfkf9S-XyzsRN2Yb1aN2UwU?authuser=0&hl=en&rclk=1"
16,"KIMS Hospitals, Gachibowli",·,General hospital,040 4455 0000,4.5,"(4,517)",https://www.kimshospitals.com/gachibowli/?utm_source=gmb&utm_medium=organic&utm_campaign=maps,"https://www.google.com/maps/place/KIMS+Hospitals,+Gachibowli/data=!4m7!3m6!1s0x3bcb96aa9399e941:0x855d41d611b5c14b!8m2!3d17.4200752!4d78.3850206!16s%2Fg%2F11c67wm_pv!19sChIJQemZk6qWyzsRS8G1EdZBXYU?authuser=0&hl=en&rclk=1"
17,Russh Super Speciality Hospital,·,Hospital,088866 11107,4.5,"(3,315)",https://russhhospital.com/,https://www.google.com/maps/place/Russh+Super+Speciality+Hospital/data=!4m7!3m6!1s0x3bcb9aa0458a043f:0xf4a5e7b0c07ffb0e!8m2!3d17.499739!4d78.477503!16s%2Fg%2F11b5q_8jy9!19sChIJPwSKRaCayzsRDvt_wLDnpfQ?authuser=0&hl=en&rclk=1
18,Treatment Range Hospitals - Multi-Specialty Hospital in Hyderabad,·,Hospital,078159 49417,4.8,"(2,036)",https://treatmentrangehospitals.com/,https://www.google.com/maps/place/Treatment+Range+Hospitals+-+Multi-Specialty+Hospital+in+Hyderabad/data=!4m7!3m6!1s0x3bcb91866ee77883:0xa6198b89919b11d6!8m2!3d17.4938953!4d78.3981869!16s%2Fg%2F11fl5nm1cb!19sChIJg3jnboaRyzsR1hGbkYmLGaY?authuser=0&hl=en&rclk=1
19,Hyderabad MultiSpeciality Hospital,·,General hospital,083097 71005,4.6,(330),https://www.hmhcare.com/,https://www.google.com/maps/place/Hyderabad+MultiSpeciality+Hospital/data=!4m7!3m6!1s0x3bcb9846217d666b:0x38ab4fa583b7421e!8m2!3d17.3716265!4d78.5004938!16s%2Fg%2F11b6dfnspm!19sChIJa2Z9IUaYyzsRHkK3g6VPqzg?authuser=0&hl=en&rclk=1
20,Owaisi Hospital & Research Centre,·,General hospital,040 2434 9999,3.8,"(1,035)",http://owaisihospital.com/,https://www.google.com/maps/place/Owaisi+Hospital+%26+Research+Centre/data=!4m7!3m6!1s0x3bcb99cd87dc821b:0x547c5c559ab658fc!8m2!3d17.3410226!4d78.5067136!16s%2Fg%2F1tgfnlbl!19sChIJG4Lch82ZyzsR_Fi2mlVcfFQ?authuser=0&hl=en&rclk=1
21,SLG Hospitals,·,Hospital,040 2378 5678,4.3,"(4,035)",http://www.slghospitals.com/,https://www.google.com/maps/place/SLG+Hospitals/data=!4m7!3m6!1s0x3bcb8decdf97cb1d:0x5b7dc20fee444ec4!8m2!3d17.5286733!4d78.3628087!16s%2Fg%2F11cjj5xlwk!19sChIJHcuX3-yNyzsRxE5E7g_CfVs?authuser=0&hl=en&rclk=1
22,Virinchi People's Hospital,·,Hospital,040 4699 9999,4.5,"(3,605)",http://virinchihospitals.com/,https://www.google.com/maps/place/Virinchi+People%27s+Hospital/data=!4m7!3m6!1s0x3bcb973f4e6167ff:0xf44aeab88e4a81f4!8m2!3d17.4080202!4d78.4512576!16s%2Fg%2F11bxd7phjf!19sChIJ_2dhTj-XyzsR9IFKjrjqSvQ?authuser=0&hl=en&rclk=1
23,Renova Hospitals,·,Private hospital,099123 41701,4.4,"(1,800)",,https://www.google.com/maps/place/Renova+Hospitals/data=!4m7!3m6!1s0x3bcb96febf109379:0x3e4d419f2a2fdf27!8m2!3d17.3732511!4d78.4144672!16s%2Fg%2F1tfvfnrq!19sChIJeZMQv_6WyzsRJ98vKp9BTT4?authuser=0&hl=en&rclk=1
24,Renova Neelima Hospital,·,Private hospital,040 2111 1100,4.2,"(2,466)",,https://www.google.com/maps/place/Renova+Neelima+Hospital/data=!4m7!3m6!1s0x3bcb90e1587850af:0x1ff3f481eeb69451!8m2!3d17.4564605!4d78.4388178!16s%2Fg%2F1td0dz2x!19sChIJr1B4WOGQyzsRUZS27oH08x8?authuser=0&hl=en&rclk=1
25,RR Hospitals,·,Hospital,081420 12568,5.0,(888),http://rrhospitals.in/,https://www.google.com/maps/place/RR+Hospitals/data=!4m7!3m6!1s0x3bcb9cf06c963ed3:0xe0d69fb1a04fbeff!8m2!3d17.4997974!4d78.5927646!16s%2Fg%2F11t_r077gg!19sChIJ0z6WbPCcyzsR_75PoLGf1uA?authuser=0&hl=en&rclk=1
26,"GSS Hospitals, Warangal Highway",·,Hospital,073373 68777,4.0,(171),,"https://www.google.com/maps/place/GSS+Hospitals,+Warangal+Highway/data=!4m7!3m6!1s0x3bcb9f564dd491ad:0xec8a3c528821ea62!8m2!3d17.422319!4d78.6397356!16s%2Fg%2F11hyxkjch2!19sChIJrZHUTVafyzsRYuohiFI8iuw?authuser=0&hl=en&rclk=1"
27,CARE Hospitals Nampally | Best hospital in Nampally,·,Hospital,040 6810 6589,4.5,"(4,242)",https://www.carehospitals.com/hospitals/nampally/,https://www.google.com/maps/place/CARE+Hospitals+Nampally+%7C+Best+hospital+in+Nampally/data=!4m7!3m6!1s0x3bcb977e11bad347:0xe5e97278d79d0e21!8m2!3d17.3856958!4d78.474113!16s%2Fg%2F1tl0vsyd!19sChIJR9O6EX6XyzsRIQ6d13hy6eU?authuser=0&hl=en&rclk=1
28,Star Hospitals,·,Hospital,1800 102 7827,4.7,"(8,588)",https://starhospitals.in/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB-Listings&utm_term=Best-Hospitals-in-Hyderabad,https://www.google.com/maps/place/Star+Hospitals/data=!4m7!3m6!1s0x3bcb96b370994307:0x6211411519d85a52!8m2!3d17.415723!4d78.4455321!16s%2Fg%2F11ddwhqh26!19sChIJB0OZcLOWyzsRUlrYGRVBEWI?authuser=0&hl=en&rclk=1
29,"Guru Nanak CARE Hospitals, Musheerabad | Best Hospital in Musheerabad",·,Hospital,040 6810 6589,4.3,"(1,326)",https://www.carehospitals.com/hospitals/musheerabad/,"https://www.google.com/maps/place/Guru+Nanak+CARE+Hospitals,+Musheerabad+%7C+Best+Hospital+in+Musheerabad/data=!4m7!3m6!1s0x3bcb998d215508fd:0xcb0cc9cf6025d772!8m2!3d17.4154622!4d78.4978341!16s%2Fg%2F1ttdlftx!19sChIJ_QhVIY2ZyzsRctclYM_JDMs?authuser=0&hl=en&rclk=1"
30,Apollo Hospitals | Hyderguda,·,General hospital,040 6907 1298,4.7,"(4,976)",https://www.apollohospitals.com/hyderabad/our-centres/hyderguda/,https://www.google.com/maps/place/Apollo+Hospitals+%7C+Hyderguda/data=!4m7!3m6!1s0x3bcb99b5be5befb1:0x59937b43fb2f9dda!8m2!3d17.3994805!4d78.4793278!16s%2Fg%2F1v3gqcf1!19sChIJse9bvrWZyzsR2p0v-0N7k1k?authuser=0&hl=en&rclk=1
31,PRK Hospitals,·,Hospital,095587 86830,4.3,"(2,320)",http://www.prkhospitals.com/,https://www.google.com/maps/place/PRK+Hospitals/data=!4m7!3m6!1s0x3bcb929154b3c47b:0x9e56459887f55e90!8m2!3d17.4946856!4d78.3217!16s%2Fg%2F11f4pn7ml3!19sChIJe8SzVJGSyzsRkF71h5hFVp4?authuser=0&hl=en&rclk=1
32,CARE Hospitals - Hitec City | Best Hospital in Hyderabad,·,Hospital,040 6810 6589,4.6,"(8,980)",https://www.carehospitals.com/hospital-detail/care-hospital-hi-tech-city,https://www.google.com/maps/place/CARE+Hospitals+-+Hitec+City+%7C+Best+Hospital+in+Hyderabad/data=!4m7!3m6!1s0x3bcb93f07b310913:0x5b01a891704ac369!8m2!3d17.4305169!4d78.372226!16s%2Fg%2F11c1lxlm16!19sChIJEwkxe_CTyzsRacNKcJGoAVs?authuser=0&hl=en&rclk=1
33,Apex Hospitals,·,General hospital,088978 11811,3.9,(507),,https://www.google.com/maps/place/Apex+Hospitals/data=!4m7!3m6!1s0x3bcb9eed9f39d56b:0xa926afe3a45ba033!8m2!3d17.4080717!4d78.5987889!16s%2Fg%2F1pp2vj6tc!19sChIJa9U5n-2eyzsRM6BbpOOvJqk?authuser=0&hl=en&rclk=1
34,"Prasad Hospital - Children and Multi-Specialty Hospital - KPHB Colony, Kukatpally, Hyderabad",·,General hospital,040 2315 2315,4.5,"(2,888)",https://prasadhospital.co.in/,"https://www.google.com/maps/place/Prasad+Hospital+-+Children+and+Multi-Specialty+Hospital+-+KPHB+Colony,+Kukatpally,+Hyderabad/data=!4m7!3m6!1s0x3bcb9194a71ce41f:0x6bb75ffbe140f5d7!8m2!3d17.4920547!4d78.4016199!16s%2Fg%2F1td11qjc!19sChIJH-Qcp5SRyzsR1_VA4ftft2s?authuser=0&hl=en&rclk=1"
35,"Prasad Hospitals - Best Hospital in Kukatpally, Pragatinagar, Bachupally, Nizampet",·,Hospital,081212 12707,4.6,"(1,299)",https://www.prasadhospitals.in/,"https://www.google.com/maps/place/Prasad+Hospitals+-+Best+Hospital+in+Kukatpally,+Pragatinagar,+Bachupally,+Nizampet/data=!4m7!3m6!1s0x3bcb9105e13703e9:0x627d9dece7150972!8m2!3d17.5055692!4d78.395652!16s%2Fg%2F11kj31rmx2!19sChIJ6QM34QWRyzsRcgkV5-ydfWI?authuser=0&hl=en&rclk=1"
36,Srikara Hospitals,·,Hospital,040 4747 0000,4.6,"(9,543)",http://www.srikarahospitals.com/,https://www.google.com/maps/place/Srikara+Hospitals/data=!4m7!3m6!1s0x3bcb9267b0771b13:0x395062720fe10d75!8m2!3d17.492121!4d78.3480496!16s%2Fg%2F11b7hplg1n!19sChIJExt3sGeSyzsRdQ3hD3JiUDk?authuser=0&hl=en&rclk=1
37,KIMS Hospitals Kondapur,·,Private hospital,040 4488 5000,4.6,"(13,932)",http://www.kimshospitals.com/Kondapur/,https://www.google.com/maps/place/KIMS+Hospitals+Kondapur/data=!4m7!3m6!1s0x3bcb93239ade09c7:0x85d06a664cd40d56!8m2!3d17.4659598!4d78.3678278!16s%2Fg%2F11gjm5cznc!19sChIJxwnemiOTyzsRVg3UTGZq0IU?authuser=0&hl=en&rclk=1
38,"CARE Hospitals, Malakpet | Best Hospital in malakpet",·,General hospital,040 6810 6589,4.7,"(3,677)",https://www.carehospitals.com/hospital-detail/care-hospitals-malakpet-hyderabad,"https://www.google.com/maps/place/CARE+Hospitals,+Malakpet+%7C+Best+Hospital+in+malakpet/data=!4m7!3m6!1s0x3bcb982df4124f03:0xfe6751b2d0c87cbb!8m2!3d17.3768915!4d78.4905862!16s%2Fg%2F1v5_7wsz!19sChIJA08S9C2YyzsRu3zI0LJRZ_4?authuser=0&hl=en&rclk=1"
