index,Name,Address,Category,Phone,Website,Maps_url
0,Hotel Atlas Stays Kukatpally,"Plot no-20, Phase 2, Hyderabad",,,,https://www.bing.com/maps?cp=17.495990753173828%7E78.39898681640625&lvl=16.0&q=Hotel%20Atlas%20Stays%20Kukatpally%20%2C%20Plot%20no-20%2C%20Phase%202%2C%20Hyderabad
1,Ellaa Hotels,"Hill Ridge Springs, Gachibowli, Hyderabad",,,,https://www.bing.com/maps?cp=17.441843032836914%7E78.34447479248047&lvl=16.0&q=Ellaa%20Hotels%20%2C%20Hill%20Ridge%20Springs%2C%20Gachibowli%2C%20Hyderabad
2,Hotel Meredian Grand,"Kattula Pochaiah Residency, 23161, NH 44, Madhura Nagar, Shamshabad, Hyderabad",,,,https://www.bing.com/maps?cp=17.260984420776367%7E78.3855972290039&lvl=16.0&q=Hotel%20Meredian%20Grand%20%2C%20Kattula%20Pochaiah%20Residency%2C%2023161%2C%20NH%2044%2C%20Madhura%20Nagar%2C%20Shamshabad%2C%20Hyderabad
3,OYO Flagship 35467 Shiridi Residency Near Birla Mandir,"Shiridi Residency 4-1-987 Opposite To, Shanthabai Narsingh Home Rajyalaxi, Hyderabad",,,,https://www.bing.com/maps?cp=17.391437530517578%7E78.47620391845703&lvl=16.0&q=OYO%20Flagship%2035467%20Shiridi%20Residency%20Near%20Birla%20Mandir%20%2C%20Shiridi%20Residency%204-1-987%20Opposite%20To%2C%20Shanthabai%20Narsingh%20Home%20Rajyalaxi%2C%20Hyderabad
4,Flagship 45433 Sree Radha Lodge Near Snow World,"9-4-207, Plot No 57 Regimental Bazaar, Shivaji Nagar, Secunderabad",,,,https://www.bing.com/maps?cp=17.435199737548828%7E78.502197265625&lvl=16.0&q=Flagship%2045433%20Sree%20Radha%20Lodge%20Near%20Snow%20World%20%2C%209-4-207%2C%20Plot%20No%2057%20Regimental%20Bazaar%2C%20Shivaji%20Nagar%2C%20Secunderabad
5,Home Sri Balaji Luxary Rooms Near Inorbit Mall Cyberabad,"Babukhan Lane, Kondapur, Serilingampalle Mandal, Near Double Tree Hilton Hotel, Hyderabad",,,,https://www.bing.com/maps?cp=17.441892623901367%7E78.36756896972656&lvl=16.0&q=Home%20Sri%20Balaji%20Luxary%20Rooms%20Near%20Inorbit%20Mall%20Cyberabad%20%2C%20Babukhan%20Lane%2C%20Kondapur%2C%20Serilingampalle%20Mandal%2C%20Near%20Double%20Tree%20Hilton%20Hotel%2C%20Hyderabad
6,OYO 61549 Shiva Sadan Lodge,"48263, Ecil Bus Terminal Road, Opp, Ecil Main Rd, South Kamala Nagar, SS Enclave, Moula Ali, Secunderabad, Hyderabad",,,,https://www.bing.com/maps?cp=17.472850799560547%7E78.56980895996094&lvl=16.0&q=OYO%2061549%20Shiva%20Sadan%20Lodge%20%2C%2048263%2C%20Ecil%20Bus%20Terminal%20Road%2C%20Opp%2C%20Ecil%20Main%20Rd%2C%20South%20Kamala%20Nagar%2C%20SS%20Enclave%2C%20Moula%20Ali%2C%20Secunderabad%2C%20Hyderabad
7,OYO 46557 Hotel Dolphin,"1/A IDA, N H 163 (old 22), Hyderabad Warangal Hwy Road, IDA Bhongir.Yadadri Bhongir Dist, Nalgonda",,,,https://www.bing.com/maps?cp=17.504371643066406%7E78.86062622070312&lvl=16.0&q=OYO%2046557%20Hotel%20Dolphin%20%2C%201%2FA%20IDA%2C%20N%20H%20163%20(old%2022)%2C%20Hyderabad%20Warangal%20Hwy%20Road%2C%20IDA%20Bhongir.Yadadri%20Bhongir%20Dist%2C%20Nalgonda
8,New Royal Presidency Lodge,"16-10-27/105/20, Municipal Complex, Beside Yashoda Hospital Above Union Bank, Amberpet",,,,https://www.bing.com/maps?cp=17.37408447265625%7E78.501220703125&lvl=16.0&q=New%20Royal%20Presidency%20Lodge%20%2C%2016-10-27%2F105%2F20%2C%20Municipal%20Complex%2C%20Beside%20Yashoda%20Hospital%20Above%20Union%20Bank%2C%20Amberpet
9,SPOT ON Sindhu Lodge,"10, Ennugulagada, Gandhi Nagar, Reddy Colony, Hanamkonda",,,,https://www.bing.com/maps?cp=18.0064697265625%7E79.57079315185547&lvl=16.0&q=SPOT%20ON%20Sindhu%20Lodge%20%2C%2010%2C%20Ennugulagada%2C%20Gandhi%20Nagar%2C%20Reddy%20Colony%2C%20Hanamkonda
