index,Name,Address,Category,Phone,Avg_review,Reviews,Website
2,"Rockwoods International School - The CBSE School in Ghatkesar, Hyderabad",·,CBSE School,091600 19134,4.8,(386),http://rockwoodsinternationalschool.com/
3,Delhi School of Excellence Banjara Hills-Top CBSE Schools in Hyderabad,·,CBSE School,092480 72019,4.5,(157),https://www.dsehyd.com/
4,"Guru The Global school - Best Educational Institution for CBSE School Near Me in Nizampet, Hyderabad",,Primary school,081790 15638,4.7,(106),https://www.gurutheglobalschool.com/
5,"Tatva Global School, Hyderabad",·,CBSE School,099494 12666,4.6,(606),https://www.tatvaglobalschool.com/?utm_source=gmb&utm_medium=organic&utm_campaign=tatva_gmb
6,Kakatiya group of schools,·,General education school,078422 44344,4.9,(64),
7,Hyderabad International School,·,International school,088019 25252,4.5,(99),http://hyderabadinternationalschool.com/
8,HYDERABAD SCHOOL OF EXCELLENCE,,CBSE School,099598 06999,4.3,(115),https://www.hseschool.in/#
9,Telangana Scholar’s School,·,General education school,086861 76621,4.8,(41),
10,Hyderabad International School - Santoshnagar Crida road,"17-1-B/144/1, CRIDA Rd, opp. Alsafa Dairy, near Redan hotel",General education school,088013 16359,4.2,(64),https://www.hyderabadinternationalschool.com/
11,Indus Valley International School | Best CBSE International School in Hyderabad,·,International school,099121 79900,4.7,(128),https://indusvalleyinternationalschool.com/
12,Suchitra Academy International School,·,CBSE School,091773 99900,4.4,(444),http://www.suchitra.in/
13,"Basil Woods School, Shamshabad",·,CBSE School,077108 10867,4.8,(211),http://www.basilwoodshyd.in/
14,Arka International School,,CBSE School,063099 26668,4.2,(170),http://arkainternationalschool.com/
15,World One School,·,CBSE School,073309 99137,4.1,(503),http://worldoneschool.org/
16,EuroSchool Hyderabad - CBSE School,·,CBSE School,080 6983 2141,4.2,(223),https://www.euroschoolindia.com/best-schools-in-hyderabad/cbse-gachibowli-hitech-city/?utm_source=google&utm_medium=organic&utm_id=gmb_listing
17,Vikas The Concept School - Top CBSE School in Hyderabad,·,CBSE School,077029 00900,3.6,(590),https://www.vikasconcept.com/
18,"Excellencia Infinitum CBSE School in Shamirpet, Hyderabad",·,CBSE School,091213 99926,4.6,(186),http://www.excellenciainfinitumschool.co.in/
19,CAL Public School,,Higher secondary school,040 2712 0807,4.5,(528),http://www.calps.in/
20,Discoveri Oaks School,·,International school,098886 40999,4.7,(83),http://discoverioaks.org/
21,Ravindra Bharathi Global School - Best CBSE School in Champapet,"163, 1/2",CBSE School,091549 40925,4.5,(86),https://www.rbschools.in/index.html
22,St.Peter's High School,·,CBSE School,099592 22270,4.5,(231),http://www.stpetersirs.com/
23,Samskar - The Life School,"8-4-377, New, Ashok Marg",General education school,077290 70809,4.7,(367),http://samskarschools.com/
24,The Hyderabad Public School,·,CBSE School,079955 55107,4.3,(359),http://www.hpsramanthapur.org/
25,Rockwoods School in Uppal,·,CBSE School,092468 53904,4.8,(173),https://rockwoodsinternationalschool.com/school/rankers-school-uppal/contact
26,Hyderabad International School,·,School,075691 45151,4.6,(66),https://sites.google.com/view/hyderabad-international-school/
27,Gitanjali International School,·,General education school,073307 77736,4.0,(232),http://gitanjaliinternationalschool.in/
28,Hyderabad International School,·,General education school,075691 48317,4.0,(89),https://sites.google.com/view/hyderabad-international-school
29,Innovious International School,·,CBSE School,088866 62364,4.7,(107),https://innoviousschool.com/
30,Abhyasa International Residential School - Campus,·,Boarding school,091000 93333,4.6,(294),http://www.abhyasaschool.com/
31,Hindu Public School,·,CBSE School,040 2370 4355,3.9,(304),https://hindukids.in/
32,"Meru International School Miyapur, Hyderabad",·,International school,081017 00700,4.5,(616),https://meruinternationalschool.com/
33,Duaa The Global Schools,,General education school,099894 83293,4.6,(212),https://www.duaglobalschools.com/
34,"GD Goenka School, Hyderabad",·,CBSE School,079950 01771,4.4,(188),http://www.gdgoenkahyd.com/
35,Solitaire Global School (Katedan Branch),·,General education school,091549 49719,4.4,(85),https://www.solitaireglobalschools.com/
36,Montfort School,·,General education school,080950 84008,4.6,(31),http://montfortschoolhyd.co.in/
37,International School Shaikpet,·,ICSE School,087900 75977,4.1,(263),https://internationalschoolshaikpet.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button
38,Zikra High School,·,High school,095731 89177,4.7,(225),https://zikrahighschool.com/
39,"Rockwoods School in Nagole, Hyderabad","Plot No. 13, Sai Nagar Colony Rd",General education school,088855 22025,4.8,(127),https://www.rockwoodsinternationalschool.com/school/aakruthi-school-nagole/contact
40,Ambitus World School - Hyderabad,·,International school,090321 91111,4.5,(255),https://www.ambitusworldschool.com/hyderabad
41,NIHOC The International School,·,International school,,4.7,(72),https://www.nihoc.in/
42,The Hyderabad Public School,·,ICSE School,040 2776 1546,4.5,(690),http://www.hpsbegumpet.org.in/
43,Manchester Global School | Best International School in Hyderabad | IB and CBSE,·,International school,072079 75566,4.5,(55),https://www.manchester.global/
44,Vignan Schools - Nizampet,·,CBSE School,097019 33455,4.2,(870),https://vignanschools.org/our-campuses/schools-in-hyderabad/nizampet/
45,"Radcliffe School, Hyderabad | Best CBSE School in Balanagar",·,CBSE School,093939 09991,4.6,(442),https://www.radcliffe.in/hyderabad-school/
46,Green Gables International School,"Green Gables International School, Akshaya Education society Survey Nos 197 & 204,, Mirzaguda village ( Janwada ), Shankarpally Mandal, RR dist",International school,,4.3,(93),http://greengablesinternationalschool.com/
47,Sri Swami Chinna Jeeyar International School,·,CBSE School,099858 59111,4.4,(26),https://sriramschool.in/
48,Rao's International School,15-21-34,General education school,,4.1,(75),
49,Diksha - A Waldorf School,·,CBSE School,090003 45742,4.7,(39),https://www.dikshawaldorfschool.in/
50,Johnson Grammar School Mallapur ICSE,·,ICSE School,040 2717 3333,4.5,(763),http://www.jgschool.org/
51,Kennedy High The Global School,·,CBSE School,098859 07261,3.7,(394),https://www.kennedyhighglobalschool.com/?utm_source=Google%20My%20Business%20Listing&utm_medium=Organic
52,Hyderabad Sainik School Nur to x,·,High school,040 2433 0233,4.1,(150),
53,The Hyderabad Millennium School,Pillar Number 270,CBSE School,099598 20300,4.2,(50),
54,Telangana Model School & College,·,School,,4.2,(78),
55,St.Joseph's Public School,·,ICSE School,040 2323 5665,4.5,(395),http://stjosephspublicschoolkingkoti.com/
56,Niraj Public School,·,ICSE School,040 2341 3543,3.9,(270),http://www.nirajpublicschool.com/
57,"Silver River School - Best School for Toddler to Grade 7 Near me in Madinaguda, Hyderabad",·,Primary school,,4.8,(131),
58,Glendale Academy School - Hyderabad,·,CBSE School,1800 309 9893,4.4,(34),https://www.glendale.edu.in/
59,Silver Oaks International School - Mighty Oaks Campus,·,International school,,4.0,(324),https://www.silveroaks.co.in/home/hyderabad/
60,Ivy League Academy,·,CBSE School,040 6682 4215,4.3,(60),https://ivyleagueacademy.in/
61,Vidyaranya High School for Boys & Girls,·,ICSE School,040 2323 5146,4.3,(155),http://www.vidyaranyaschool.com/
62,Hyderabad sainik school -ll,,School,,4.8,(80),https://www.hyderabadsainikschool.com/
63,Indus International School Hyderabad,·,International school,093477 74204,3.9,(138),https://hyderabad.indusschool.com/
64,Chaitanya Vidyalaya,·,General education school,079951 27262,4.4,(120),http://www.chaitanyavidyalaya.org/
65,Hyderabad School,8FJQ+MH8,Private educational institution,093906 97239,4.4,(38),
