index,Name,Address,Category,Phone,Avg_review,Reviews
2,Rajlaxmi Textiles India Pvt.Ltd,"No-5, 21-1-471 Rajlaxmi Textiles House Opp High Court Gate.5 Lane 2nd Left Near Madina Circle Rikabgunj Hyderabad-02, near, High Court Rd",Saree Shop,098663 59215,4.9,"(4,216)"
3,Alankar Textiles | Men’s Designer Clothing Store |,·,Clothing store,090146 59032,4.7,(194)
4,Kunal Textiles,"3-4-150,155 & 165, Opp: Kallappa Market, near Mahakali Temple",Uniform store,,4.9,(45)
5,Narendra Textiles Pvt Ltd,·,Clothing store,,4.7,(28)
6,"SRINIVASA TEXTILES , Ramnagar",·,Saree Shop,081211 25103,4.1,(820)
7,Bhargavi Textiles,·,Clothing store,092465 52744,4.4,(343)
8,Rama Textiles,"Hussiani Alam, Moosa Bowli Rd",Men's clothing store,,4.3,(116)
9,Madan Textiles wholesale,"Bus Stop, 21-1-593/A, lane beside 94",Clothes and fabric wholesaler,092465 45919,4.6,(39)
10,Gajanand Textiles,·,Clothing store,,4.1,"(1,321)"
11,Sri Rama Textiles,·,Clothing store,040 2400 1114,4.4,(142)
12,SUNITTA TEXTILES MILLS . Pvt,"High Court Road, Pathergatti Rd",Clothing store,040 2457 8346,3.9,(579)
13,J.K Textiles,"Shop No:74, High Court Rd",Clothing store,094405 63019,5.0,(63)
14,GEELAN FABRICS - WHOLESALE LADIES DRESS MATERIAL II PAKISTANI LAWN SUITS II DEEPTEX COTTON,·,Clothing wholesaler,095508 63865,4.5,(394)
15,Chimanlal Suresh Kumar Textiles Private Limited,"R J Market, 21-1-821/1, Agarwal College Rd",Clothing store,040 2456 7139,3.9,"(4,892)"
16,Sana Fabrics -Best wholesale saree shop in telangana,·,Saree Shop,093918 55441,4.4,(149)
17,Krishna Textiles,·,Clothing store,079892 67550,4.0,(76)
18,Mariyam Textiles sarees shop,"21-1-1003, High Court Rd",Saree Shop,093910 49207,4.3,(124)
19,Y.S Textiles Wholesale 3rd Floor,·,Dress store,098493 66271,4.3,(114)
20,PARTH TEXTILES,"LANE, Old MLA Quarters Rd, opposite to DMART, opposite Lane",Clothing store,093962 35879,4.9,(28)
21,"Aslam Textiles | Wholesale Dealer of Deeptex Cotton Suits, Pranjul Readymade, Lawn Suits, Pranjul Dress Material in Hyderabad","2nd Floor, Al, Wahab Complex, Nanal Nagar X Rd, beside Morine Bakery",Clothing store,099856 20202,4.6,(145)
22,Irfan Textiles,"22-7-266/A/1, Devan Devdi Rd",Bridal shop,040 6671 8688,4.0,(889)
23,Irfan Textiles,"# 18-7-434/1, Mir Jumla, beside Nagina Masjid",Clothing store,088014 42958,4.4,(90)
24,L.N.Textiles - Best Designer Saree in Hyderabad,·,Designer Clothing Store,098491 40697,4.6,(302)
25,Sri Ram Enterprises,·,Men's clothing store,090000 91303,4.2,"(1,814)"
26,KALANS FABRIC HOUSE,·,Designer Clothing Store,,4.9,(48)
27,Imran Textiles,"18 12 418 d 78 4, 18-12-418/D/78/4",Clothing store,095509 57739,4.0,(182)
28,TEXTILE FACTORY,"11-2-1033, Battery Line Rd, opp. bharat petrol pump",Clothing store,096181 25875,4.3,(80)
29,Urooj textiles,"1/A, 17_1_182/38, CRIDA Rd, beside turning point school",Women's clothing store,099859 41092,4.9,(51)
30,Deepa Textiles,·,Clothing store,090309 03095,4.8,(266)
31,Saroj Fabrics (Hyderabad),"Shyam Kripa, Rd Number 11",Clothing store,070218 11578,4.9,(344)
32,Pranjal textile house,"MPR Complex, Jeedimetla Main Road",Saree Shop,,5.0,(56)
33,Ismail textile whole sale and retail,"Diwan doudi, near indian post office",Clothing store,,4.5,(13)
34,Siddeshwari Textiles,·,Clothing store,099082 18168,4.4,(43)
35,Ramesh Textile,·,Clothing store,,4.2,(72)
36,Vishnupriya Textiles,"H No, 3-38, Badangpet - Almasguda Rd",Clothing store,099082 20074,4.2,(31)
37,Bhagwati Textiles,·,Men's clothing store,098495 02728,4.1,(537)
38,Sri dhanlaxmi Textile,"21-1-644, 21-1-455/A",Saree Shop,,5.0,(36)
39,Junaid Textiles,"Shop No. 22-6-33/1/1,3, 9F7G+V88 Shahran Market, Shahran Market Rd",Clothing store,089786 78653,4.5,(397)
40,Paramount Textiles,Subhash Rd,Clothing store,097000 38717,4.4,(76)
41,New Sunil Textiles,"21-1-595/1, 2, Amrit Market, beside Hariprasd Hospital",Clothing store,080088 30032,4.3,(68)
42,Omair Textiles,"21-1-1001/10, Masjid Ln",Clothing store,080195 00836,5.0,(19)
43,SRINIVASA TEXTILES Ramnagar,"UNIT-2 Building, 1-9-19/154, behind mee sewa SRINIVASA TEXTILES",Saree Shop,090305 55514,4.6,(11)
44,R.S.Textiles,·,Uniform store,099892 99003,4.7,(39)
45,Diwan Textiles,·,Clothing store,098498 41725,4.2,(59)
46,Ramdev Textiles,5-3-1040/7,Clothing wholesaler,098494 74328,4.7,(59)
47,Sai Ram Selections,"21-3-276, Hussaini Alam Rd, near Hanuman Temple",Clothing store,093812 59520,4.3,"(4,839)"
48,Padmawati textile & Pagdi House,·,Clothing store,080743 69549,4.9,(121)
49,Y Yellappa Textiles,"7-1-930, Rashtrapati Rd",Clothing store,091770 75351,4.6,(18)
50,Dinesh Textiles Bolarum,·,Clothing store,088850 10000,4.0,(822)
51,Mahesh Designer Textiles & Studio,"#21-7-265, Opp.Srinathji Haveli, Beside Pushpa Hospital",Designer Clothing Store,099893 61030,4.1,(308)
52,Mujtaba Textiles,New Ladbazar Rd,Clothing store,092461 02912,4.2,(50)
53,M A Textiles,·,Clothing store,086869 29168,4.8,(14)
54,Arbaz Textiles,Urdu Gali,Clothing wholesaler,079958 62122,3.8,(980)
55,"Yousuf Textiles | Wholesale Dealer of Ladies Dress Material & Readymade, Deeptex Cotton, Pranjul & Lawn Suits in Hyderabad",Chaderghat Cir,Clothing store,098850 10707,3.3,(21)
56,H B N Textile,"New Madina Complex, Madina Building",Saree Shop,089195 57064,4.7,(9)
57,Chimanlal Suresh Kumar Textiles Mehdipatnam,"40, Mehdipatnam Rd",Clothing store,,3.9,"(1,448)"
58,Vijay Textiles,"21-1-662/10,12,13, Ground Floor, Sattar Market, High Court Rd",Clothing store,094415 83337,4.6,(17)
59,A.K TEXTILE Wholesale Fancy Sarees,"21-1-699, near Agarwal School",Saree Shop,080748 89801,5.0,(10)
60,Singhania Fabrics,"Shop no: 7& 10 Ground Floor Jt towers, Urdu Gali",Women's clothing store,,4.6,(38)
61,Disha Textile,"Shop No.21, Sanghi Chamber, 2-623/34, Urdu Gali",Clothing store,092905 41031,4.5,(13)
62,A. Raheem Textiles Wholesale Fancy Sarees,"Bus Stop, beside lane Of 94, opp. to high Court",Women's clothing store,,4.0,(32)
63,Goyal Textiles,·,Clothing store,098667 61634,3.9,(158)
64,Sri GK Textiles,"9F8F+2VR, Urdu Gali",Saree Shop,091543 72144,5.0,(3)
65,JK FABRICS DESIGNER BOUTIQUE,"Gandipet Road, Narsingi Beside KVMR Pride Gardens, Shankarpally Road, opp. Accurate",Boutique,,5.0,(33)
66,Sri Vijaya Laxmi Textiles,"FHJJ+57G Kushaiguda Road, ECIL - Keesara Rd",Clothing store,085019 96789,4.4,(48)
67,Razzak Textiles,3rd floor,Clothing store,040 2450 3649,4.8,(16)
68,Vijay Textile Limited,"Ground Floor, Surya Towers, 104, Sardar Patel Rd",Upholstery shop,040 2784 8479,4.3,(149)
69,Sujata Textiles,,Women's clothing store,,5.0,(51)
70,Fuso Textiles,·,Designer Clothing Store,099662 53581,4.8,(41)
71,M.K.Textiles,"S.No.21-2-576/1, Patel Market, Pathergatti Road & Urdu Galli",Clothing store,040 6632 4124,4.6,(19)
72,Santhosh Textiles,·,Clothing store,040 2452 5970,4.6,(16)
73,Ansari Textiles,"Shop no. 8,9,10, Platinum Tower, next to Agarwal College Road, opp. to RJ Market",Women's clothing store,093969 68046,4.8,(25)
74,GB Textiles (Dailywear saree Manufactures),"21-1-823/10, High Court Rd",Saree Shop,096761 80296,4.3,(23)
75,Sri ram textiles,"jvr complex, S.no 21-1-77/3",Clothing store,091008 27209,4.9,(10)
76,IMRAN TEXTILES,"Shop No. 16 & 17, MB TRADE CENTRE",Clothing store,091604 86786,4.2,(43)
77,Agarwal Textile,"6, Jambagh Rd",Designer Clothing Store,086863 56223,4.0,(19)
78,AZIZ TEXTILES,CF9W+M8V,Men's clothing store,083175 63410,4.7,(30)
79,kaladhar saree house & fabrics,"Near sai baba temple, DD colony, Shivam Rd",Clothing store,,4.7,(722)
80,Santosh Textiles - Jai Bajrang,J/158,Clothing store,098661 14931,4.6,(19)
81,Sheetal Textiles,"Ahuja Estate, Shop No 6,7,8, Ground Floor,Surabhi Shraddha Complex",Clothing store,090004 61621,4.4,(87)
82,Dinesh Fabrics NX,"15-8-501, opp R.K Kitchen, (T.S.), Hyderabad, near Shri Mahavir Swami Jain Shwetamber Mandir",Women's clothing store,076609 72431,4.4,(29)
83,Mahaveer Textiles,·,Clothing store,090143 54875,4.1,(86)
84,NEW TEXTILE PLAZA,"21-1-551, GHANSI BAZAR",Saree Shop,098857 33698,4.5,(46)
85,Nakoda Textiles,"Shop No.# 18, Sri Ganesh Complex, Dilsukh Nagar Main Rd, opp. Kanakadurga Temple",Clothing store,078932 38570,4.0,(29)
86,Madina textiles Afsar best cloth shop in hyd,"Shop no 22 -6, Sharan market, 282 kooch e, Kucha Naseem",Clothing store,099498 68880,4.8,(24)
87,Marwa Fabrics,"shop no 13, Urdu galli Patel market j t tower salaar, 8919347808",Clothing store,089193 47808,4.2,(51)
88,Women's Fabrics,"Ahuja Estate, Abids Road",Clothing store,,4.7,(29)
89,Rangrez Textiles,"8-2, 120/1, Road No. 10",Clothing store,098850 19214,4.5,(11)
90,B k textiles,"#21, Urdu Galli, Pathergatti Rd",Clothing store,,4.4,(33)
91,Lalitha Textiles,"Shop No.6, Maurya Santoshimaa Apartment, D.A.V. School Lane, Road",Clothing store,094903 17875,3.5,(4)
92,Raj laxmi Textiles (India) Pvt.ltd,·,Clothing store,093921 87029,4.5,(2)
93,Sri sai textiles,"8C6Q+9JW, Kattedan Rd, opp. Swapna Talkies 35MM",Clothing store,098487 15274,5.0,(2)
94,"Rohans Matching & fabrics Center,Manikonda",·,Clothing store,099594 11141,4.1,(293)
95,MS Garments and Textiles,"18-2-45/3/1, Falaknuma railway station to X road",Clothing store,091333 01111,4.1,(32)
96,Kachhi Fabrics Hyderabad,"UFG/21, R J Market, 21-1-821/1, Agarwal College Rd",Men's clothing store,,4.8,(33)
97,Ambrish Textiles,3-4-252,Women's clothing store,,4.2,(28)
98,Gita Krishna Textiles,"9G7V+289, NH 65, beside R.S Brothers, Opposite Ashtalaxmi arch",Women's clothing store,096762 92914,3.7,(179)
99,Kusum Textiles,"4-3-720, Near Old Royal Theatre",Clothing store,098490 62273,4.7,(10)
100,Ramesh Textiles,"8-12/1, Balaji Nagar Main Rd",Clothing store,099081 92820,4.8,(8)
101,Rajesh Silks House,·,Saree Shop,096666 10666,4.0,(48)
102,Madina Textiles and Handloom,"S.No 125, A/1, behind Madina Hotel",Clothing store,,5.0,(4)
103,Y.S Textiles Suitings and Shirtings,"Shop no :11, J.T Tower, Urdu Gali",Men's clothing store,093475 74464,4.4,(10)
104,Neelam Binny Textile,"Madina Circle, High Court Rd",Uniform store,098852 99900,4.2,(13)
105,MA TEXTILE,·,Women's clothing store,093906 95768,4.4,(7)
106,INAAYA Textiles,"21-2-554, Lg-10 & Lg 22 Opp: urdu galli, Dargah Rd",Saree Shop,070131 04131,4.0,(14)
107,Sivaram Textiles,"G836+6P4, Mumbai Hwy",Clothing store,098663 94738,4.1,(23)
108,Shanker Textiles,"S.No. 21-1, Gopal Market, Shop no.14, Ground Floor, 732/A, High Court Rd",Women's clothing store,099484 88465,3.7,(3)
109,Younus Textiles,·,Clothing store,,3.7,(39)
110,Suresh Textiles,Karwan Rd,Clothing store,,4.5,(10)
111,Zam Zam Textiles,"22-7-141, Pathergatti Rd",Women's clothing store,040 2452 3442,4.0,(20)
112,Rooplaxmi hyderabad,"S No 12, 29, 30 & 34, Ground Floor, P V T Market, Kothapet Cross Roads, Cross Roads",Saree Shop,092462 87462,4.1,(58)
113,Akbar collections,"SRI KRISHNA RESIDENCY, 8th police battalion road",Clothing store,090002 81063,4.2,(59)
114,Sri Vijay Laxmi Textile India Private Limited,·,Saree Shop,093945 12326,5.0,(1)
115,ANUTEX LKP,"Shop No1314, Ground Floor, Sunshine Complex 6-1-1064, 1198, beside Union Bank Of India, opposite Metro Puller",Clothing store,099488 75545,3.9,(34)
116,Pooja Textiles,·,Clothing store,081064 40020,4.2,(10)
117,Mahendra handloom textiles,2-4-665,Clothing store,,4.9,(8)
118,RAGA Textile,"PJR Road, beside lane Voilet and Purple, behind Women’s World",Saree Shop,078972 55789,5.0,(7)
119,Ayyappa Textiles,"2-157, Jetta Mallaiah Complex, Hyderabad - Warangal - Bhopalpatnam Highway, Uppal Main Rd",Uniform store,090002 06604,3.4,(24)
120,K.M Textiles Wholesale. Dupatta & Leggings,"B/30, Ground, Abbas Tower, 22-7-268",Women's clothing store,,4.3,(6)
121,Rajyog Textiles Best wholesale saress Hyderabad,"Sunder Bhawan, 2-1-86",Clothing store,098850 34042,4.0,(24)
