,Name,Address,Category,Phone,Review,Count
0,SRI SANTHOSHI MATHA POOJA SAMAGRI STORES,"· 1-66/2, Kothaguda, x road, near Sharath city capital mall",Religious goods store,093469 88491,4.9,"(1,188)"
1,Tirumala Pooja Store,· Market Rd,Religious goods store,097002 10846,4.5,(24)
2,Sri Santhoshi Matha Pooja Samagri Stores,"H-1-110/A/92, Lane, beside Appollo Pharmacy ·",Religious goods store,062814 30596,5.0,(214)
3,Kalyan Pooja Gruha (Store),"4-5-527, Opposite Police Station Sultan Bazar ·",Religious goods store,090305 79397,4.7,(6)
4,Sri Venkateswara Pooja Samagri Store,· nan,Home goods store,098663 46038,4.8,(47)
5,Sri Yagnaa Pooja Samagri Stores Manikonda,"Besides Preetam Hospital, Lanco Hills Rd ·",Religious goods store,091004 44933,4.7,(137)
6,SRI SAI POOJA SAMAGRI,"· 7- Oppite:- KANAKA DURGA TEMPLE 7-1, 165, Balkampet Rd",Religious goods store,040 2374 5578,4.1,(947)
7,Sai Pooja Stores,"Shop No-3, Sai Balaji Homes, Beside HP Gas Agency, Near Indra Nagendra Theatre Karmanghat ·",Religious goods store,093932 44204,4.4,(101)
8,"Sri Rudra Pooja Store, Nacharam",Nacharam - Mallapur Rd ·,Religious goods store,089260 23456,4.9,(506)
9,Sri Yagnaa Pooja Samagri Stores Ameerpet,"H.no:8-2, 1/6/B, Srinagar Colony Main Rd, opp. Axis Bank ·",Religious goods store,091004 44933,4.9,(77)
10,Sri Balaji Pooja Samagri,"· X ROADS, opp. Hanuman Temple Road",Religious goods store,077801 27448,4.7,(205)
11,Sri Guru Datta Pooja Stores,"5-29/1/4, Sri Laxmi Nagar colony, opp. to Yati House Restaurant (Aahar Restaurant, near Indira Gandhi Statue ·",Religious goods store,090525 33555,4.2,(115)
12,Sri Gayatri Pooja Stores,"· main gate, Mig 48, beside icici bank, opp. jntu",Religious goods store,097017 02827,4.0,"(1,139)"
13,A. Narsing Rao Pooja Samagri Stores,"10-1, 327, Street Number 7 ·",Religious goods store,092475 82076,4.1,(18)
14,Sai Pooja Samagri,"· 9GCR+JPR, New Nagole Main Rd",Religious goods store,063091 30785,4.0,(144)
15,Jai Bhavani Pooja Samagri,"H. No. 1-153, Shop No. 2, Opp. Venkateswara Temple, Jillelaguda, ·",Religious goods store,084999 84883,4.4,(38)
16,Manikanta Pooja Store,"· 8HHQ+W2R, Rd Number 5",Religious goods store,099491 64321,4.2,(394)
17,Sri Yagnaa Pooja Samagri Stores Krishna Nagar,"· H.No- 8-3-231/F/43/5, Green Bawarchi Line, beside Ganesh Rice Stores",Religious goods store,095023 26964,4.8,(50)
18,Sri Sai Pooja Samagri,"· 7-1-379, Maruthi Veedhi, behind Ragavendra Hotel",Religious goods store,040 2771 1178,3.9,(348)
