"hlink","Name","Review","Count","Category","open_close","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","Phone","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/SRI+SANTHOSHI+MATHA+POOJA+SAMAGRI+STORES/data=!4m7!3m6!1s0x3bcb93bbc4d1628b:0x93201b0a92a842f8!8m2!3d17.4581523!4d78.3656285!16s%2Fg%2F11rn84l5mb!19sChIJi2LRxLuTyzsR-EKokgobIJM?authuser=0&hl=en&rclk=1","SRI SANTHOSHI MATHA POOJA SAMAGRI STORES","4.9","(1,188)","Religious goods store","·","","·","1-66/2, Kothaguda, x road, near Sharath city capital mall","Open","⋅ Closes 9:30 pm","093469 88491","https://lh5.googleusercontent.com/p/AF1QipOAwIhoNPW9vhhSKR1hg1sL8UL5rDAxUq7pa-Qz=w163-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Sri+Tulja+Bhavani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb995c40dbb02f:0xf23bfcf8679656fe!8m2!3d17.4240698!4d78.5473536!16s%2Fg%2F1pp2vgv6p!19sChIJL7DbQFyZyzsR_laWZ_j8O_I?authuser=0&hl=en&rclk=1","Sri Tulja Bhavani Pooja Stores","4.1","(47)","Religious goods store","·","","·","2, Nacharam - Mallapur Rd","Open","⋅ Closes 10 pm","","https://lh5.googleusercontent.com/p/AF1QipNvZEijm_X3eErlPTftjU26Nzh8liYjrRshSj6g=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Tirumala+Pooja+Store/data=!4m7!3m6!1s0x3bcb9a18e9edd839:0x60e74f11a288dd5!8m2!3d17.435902!4d78.49614!16s%2Fg%2F124yqn7w0!19sChIJOdjt6RiayzsR1Y0oGvF0DgY?authuser=0&hl=en&rclk=1","Tirumala Pooja Store","4.5","(24)","Religious goods store","·","","·","Market Rd","Open","⋅ Closes 11 pm","097002 10846","https://lh5.googleusercontent.com/p/AF1QipNt0TUj-IePWf57yFijD1sTXCp8Nn8PHKI5cd8i=w80-h106-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Santhoshi+Matha+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb9396c3da07ad:0x92ed554f48b860bd!8m2!3d17.4737137!4d78.3636082!16s%2Fg%2F11sj7wyb1k!19sChIJrQfaw5aTyzsRvWC4SE9V7ZI?authuser=0&hl=en&rclk=1","Sri Santhoshi Matha Pooja Samagri Stores","5.0","(214)","Religious goods store","·","","H-1-110/A/92, Lane, beside Appollo Pharmacy","·","Open","⋅ Closes 10:30 pm","062814 30596","https://lh5.googleusercontent.com/p/AF1QipNzxBMtbp2EDb1l4bndcwugU9jxnMTtxzu3cikM=w123-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/Kalyan+Pooja+Gruha+%28Store%29/data=!4m7!3m6!1s0x3bcb99ce147b281d:0xefe27818873e551c!8m2!3d17.3884975!4d78.4877478!16s%2Fg%2F11bw4rxgjw!19sChIJHSh7FM6ZyzsRHFU-hxh44u8?authuser=0&hl=en&rclk=1","Kalyan Pooja Gruha (Store)","4.7","(6)","Religious goods store","·","","4-5-527, Opposite Police Station Sultan Bazar","·","Open","⋅ Closes 10 pm","090305 79397","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGrGwYRol62UObmhB29Ow0bGL9yIIN3qW6EwFatuXXn91ncHL9sCiM61pnQyhZEvoCb3oWQxNDWciTXXzNuyUZbFB6tbseHirmEheYnYl7bi4UKNtLMijTBNAm1xu0ibakR-q8G3zHqZ3FDQqfsaq6OZBzBxO7atIOLUW4asg6K5A0V_zNj-9PRiGLkZOkkLWAUEBk=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sri+Venkateswara+Pooja+Samagri+Store/data=!4m7!3m6!1s0x3bcb97c7b6f9a70f:0xcb2395a653b55a03!8m2!3d17.3698378!4d78.3862247!16s%2Fg%2F11jcbfhb3r!19sChIJD6f5tseXyzsRA1q1U6aVI8s?authuser=0&hl=en&rclk=1","Sri Venkateswara Pooja Samagri Store","4.8","(47)","Home goods store","","","·","","Open","⋅ Closes 9 pm","098663 46038","https://lh5.googleusercontent.com/p/AF1QipPuqhqAoskItstkf778u2D128SLlMLKJHRqppFk=w80-h177-k-no","In-store shopping","·","Delivery"
"https://www.google.com/maps/place/Vedajanani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb98cd9ad13305:0xac875396d719d180!8m2!3d17.3734015!4d78.5628682!16s%2Fg%2F11bydjxkq1!19sChIJBTPRms2YyzsRgNEZ15ZTh6w?authuser=0&hl=en&rclk=1","Vedajanani Pooja Stores","4.5","(300)","Store","·","","·","9HC7+X44, Plot No :36/A, Arunodaya Nagar Colony, Road No 3, Bandlaguda, Nagole","Open","⋅ Closes 9 pm","","https://lh5.googleusercontent.com/p/AF1QipPQmtnENTT2Cs9N7F1L0G7cgTZRttX4d_Gm-eWT=w122-h92-k-no","In-store pick-up","·","Delivery"
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores+Manikonda/data=!4m7!3m6!1s0x3bcb9778af184203:0x8956faa125e73a37!8m2!3d17.4073137!4d78.3887752!16s%2Fg%2F11qqgbjdd8!19sChIJA0IYr3iXyzsRNzrnJaH6Vok?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores Manikonda","4.7","(137)","Religious goods store","·","","Besides Preetam Hospital, Lanco Hills Rd","·","Open","⋅ Closes 10 pm","091004 44933","https://lh5.googleusercontent.com/p/AF1QipMa4ADwaWqUWI31bSLMAjuV64ENDwCc4jhZZN2N=w163-h92-k-no","In-store shopping","·","Kerbside pickup"
"https://www.google.com/maps/place/SRI+SAI+POOJA+SAMAGRI/data=!4m7!3m6!1s0x3bcb90c8df927c91:0x2401f575b1206efb!8m2!3d17.4345981!4d78.4481078!16s%2Fg%2F11c139b981!19sChIJkXyS38iQyzsR-24gsXX1ASQ?authuser=0&hl=en&rclk=1","SRI SAI POOJA SAMAGRI","4.1","(947)","Religious goods store","·","","·","7- Oppite:- KANAKA DURGA TEMPLE 7-1, 165, Balkampet Rd","Open","⋅ Closes 9:30 pm","040 2374 5578","https://lh5.googleusercontent.com/p/AF1QipOU_Wp_p1-d91IyliCTuFQ2ZZq8gXxztQLgBeWb=w163-h92-k-no","Delivery","",""
"https://www.google.com/maps/place/Sai+Pooja+Stores/data=!4m7!3m6!1s0x3bcb9885333b8465:0x421569703c0d6fea!8m2!3d17.34718!4d78.531946!16s%2Fg%2F1q2vy85h1!19sChIJZYQ7M4WYyzsR6m8NPHBpFUI?authuser=0&hl=en&rclk=1","Sai Pooja Stores","4.4","(101)","Religious goods store","·","","Shop No-3, Sai Balaji Homes, Beside HP Gas Agency, Near Indra Nagendra Theatre Karmanghat","·","Open","⋅ Closes 9:30 pm","093932 44204","https://lh5.googleusercontent.com/p/AF1QipOe8ge2CaNA8vdUz2AqGKfWyyJjW-R6kfg3Dy-d=w122-h92-k-no","In-store pick-up","",""
